region,reason
Bahrain,"fit_quality_gate:train_mape_too_high(92.6%>40.0%,alpha=1.25,r_s=1.00,doa=-0.11)"
Belarus,"fit_quality_gate:too_many_corners(3>1:alpha@UB,r_s@LB,DoA@UB,mape=12.4)"
Comoros,"fit_quality_gate:train_mape_too_high(100.0%>40.0%,alpha=1.00,r_s=2.00,doa=0.00)"
Egypt,"fit_quality_gate:too_many_corners(2>1:alpha@UB,r_s@LB,mape=8.3)"
Guinea-Bissau,"fit_quality_gate:train_mape_too_high(100.0%>40.0%,alpha=1.00,r_s=2.00,doa=0.00)"
Iceland,"fit_quality_gate:train_mape_too_high(53.4%>40.0%,alpha=1.04,r_s=1.88,doa=-1.05)"
Indonesia,"fit_quality_gate:too_many_corners(2>1:alpha@UB,r_s@LB,mape=5.1)"
Kenya,"fit_quality_gate:too_many_corners(2>1:alpha@UB,r_s@LB,mape=11.1)"
Libya,"fit_quality_gate:train_mape_too_high(100.0%>40.0%,alpha=1.00,r_s=2.00,doa=0.00)"
Moldova,"fit_quality_gate:too_many_corners(2>1:alpha@UB,r_s@LB,mape=5.5)"
Mozambique,"fit_quality_gate:train_mape_too_high(100.0%>40.0%,alpha=1.00,r_s=2.00,doa=0.00)"
Namibia,"fit_quality_gate:nonfinite_train_mape(alpha=1.25,r_s=1.00,doa=-7.36)"
Panama,"fit_quality_gate:too_many_corners(2>1:alpha@UB,r_s@LB,mape=7.3)"
Papua New Guinea,"fit_quality_gate:nonfinite_train_mape(alpha=1.00,r_s=2.00,doa=0.00)"
Rwanda,"fit_quality_gate:too_many_corners(2>1:alpha@UB,r_s@LB,mape=39.7)"
Seychelles,"fit_quality_gate:nonfinite_train_mape(alpha=0.75,r_s=3.00,doa=-10.00)"
South Sudan,"fit_quality_gate:train_mape_too_high(100.0%>40.0%,alpha=1.00,r_s=2.00,doa=0.00)"
Sri Lanka,"fit_quality_gate:too_many_corners(2>1:alpha@UB,r_s@LB,mape=10.9)"
Uganda,"fit_quality_gate:nonfinite_train_mape(alpha=1.00,r_s=2.00,doa=0.00)"
US - Minnesota,"fit_quality_gate:too_many_corners(3>1:alpha@UB,r_s@LB,DoA@UB,mape=2.7)"
Uzbekistan,"fit_quality_gate:too_many_corners(3>1:alpha@UB,r_s@LB,DoA@UB,mape=33.5)"
Vietnam,"fit_quality_gate:nonfinite_train_mape(alpha=1.11,r_s=1.54,doa=-10.00)"
