region,country,province,policy,gamma_region_policy,gamma_observed,is_observed,train_policy_days,k_R
Andorra,Andorra,None,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.08338180095649425,,False,0,0.22882556971784518
Andorra,Andorra,None,Lockdown,0.07151951030880563,,False,0,0.22882556971784518
Andorra,Andorra,None,Mass_Gatherings_Authorized_But_Others_Restricted,0.2216766841931751,0.2216766841931751,True,0,0.22882556971784518
Andorra,Andorra,None,No_Measure,0.22882556971784518,,False,0,0.22882556971784518
Andorra,Andorra,None,Restrict_Mass_Gatherings,0.19976472236367884,,False,0,0.22882556971784518
Andorra,Andorra,None,Restrict_Mass_Gatherings_and_Schools,0.1316649039245277,,False,0,0.22882556971784518
Andorra,Andorra,None,Restrict_Mass_Gatherings_and_Schools_and_Others,0.0838005873921249,,False,0,0.22882556971784518
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.11986542463952939,0.11986542463952939,True,0,0.328947969067158
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Lockdown,0.10281280057018283,,False,0,0.328947969067158
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Mass_Gatherings_Authorized_But_Others_Restricted,0.3186710958647933,,False,0,0.328947969067158
Australia - Australian Capital Territory,Australia,Australian Capital Territory,No_Measure,0.328947969067158,,False,0,0.328947969067158
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Restrict_Mass_Gatherings,0.28717157699562895,,False,0,0.328947969067158
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Restrict_Mass_Gatherings_and_Schools,0.18927475105514063,,False,0,0.328947969067158
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Restrict_Mass_Gatherings_and_Schools_and_Others,0.1204674506580049,,False,0,0.328947969067158
Australia - New South Wales,Australia,New South Wales,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.17384095159906915,0.17384095159906915,True,0,0.4770735859918481
Australia - New South Wales,Australia,New South Wales,Lockdown,0.1491095129511742,,False,0,0.4770735859918481
Australia - New South Wales,Australia,New South Wales,Mass_Gatherings_Authorized_But_Others_Restricted,0.46216902596267617,,False,0,0.4770735859918481
Australia - New South Wales,Australia,New South Wales,No_Measure,0.4770735859918481,,False,0,0.4770735859918481
Australia - New South Wales,Australia,New South Wales,Restrict_Mass_Gatherings,0.41648524057088343,,False,0,0.4770735859918481
Australia - New South Wales,Australia,New South Wales,Restrict_Mass_Gatherings_and_Schools,0.2745053708027455,,False,0,0.4770735859918481
Australia - New South Wales,Australia,New South Wales,Restrict_Mass_Gatherings_and_Schools_and_Others,0.17471407056772853,,False,0,0.4770735859918481
Australia - South Australia,Australia,South Australia,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.10508320559196706,0.10508320559196706,True,0,0.2883809669593801
Australia - South Australia,Australia,South Australia,Lockdown,0.0901335701457942,,False,0,0.2883809669593801
Australia - South Australia,Australia,South Australia,Mass_Gatherings_Authorized_But_Others_Restricted,0.27937147333088524,,False,0,0.2883809669593801
Australia - South Australia,Australia,South Australia,No_Measure,0.2883809669593801,,False,0,0.2883809669593801
Australia - South Australia,Australia,South Australia,Restrict_Mass_Gatherings,0.2517565841555388,,False,0,0.2883809669593801
Australia - South Australia,Australia,South Australia,Restrict_Mass_Gatherings_and_Schools,0.16593273363281866,,False,0,0.2883809669593801
Australia - South Australia,Australia,South Australia,Restrict_Mass_Gatherings_and_Schools_and_Others,0.10561098767809762,,False,0,0.2883809669593801
Australia - Tasmania,Australia,Tasmania,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.3432342928918179,0.3432342928918179,True,0,0.9419415473687082
Australia - Tasmania,Australia,Tasmania,Lockdown,0.2944041537420674,,False,0,0.9419415473687082
Australia - Tasmania,Australia,Tasmania,Mass_Gatherings_Authorized_But_Others_Restricted,0.9125137510099134,,False,0,0.9419415473687082
Australia - Tasmania,Australia,Tasmania,No_Measure,0.9419415473687082,,False,0,0.9419415473687082
Australia - Tasmania,Australia,Tasmania,Restrict_Mass_Gatherings,0.8223149708528822,,False,0,0.9419415473687082
