model,regions,mean_regions_cases_pct,mean_regions_cases_ci_lo,mean_regions_cases_ci_hi,median_regions_cases_pct,median_regions_cases_ci_lo,median_regions_cases_ci_hi,mean_regions_deaths_pct,mean_regions_deaths_ci_lo,mean_regions_deaths_ci_hi,median_regions_deaths_pct,median_regions_deaths_ci_lo,median_regions_deaths_ci_hi,mean_regions_both_pct,mean_regions_both_ci_lo,mean_regions_both_ci_hi,median_regions_both_pct,median_regions_both_ci_lo,median_regions_both_ci_hi,rank_mean_cases,rank_median_cases
themis,40,39.84150976707784,34.82035271615206,46.042834987783856,34.4777414327997,30.455237801591508,39.676999366677094,31.03307007941779,27.569926941536696,34.640182097543736,26.126378693552223,23.777689642567793,32.78422820597743,35.43728992324782,31.456994404397403,39.72736678363101,31.603662928397124,26.922149997028658,34.9927101024652,1.0,1.0
delphi_constant,40,40.0783735571966,36.72943875503212,43.597002045663,37.117813962352216,34.06413676176932,42.18563874921222,33.052037168306136,29.692942765575562,36.50720824559785,31.66198411579215,25.13265107503306,35.17202827467619,36.56520536275137,33.23535375504732,39.91441245707761,35.08644053097132,29.434088478333283,41.22798373645318,2.0,2.0
delphi,40,40.13624446995842,36.692459384393466,43.60362586932386,37.170796766449016,34.22029282409392,42.205338598783634,33.09743322455019,29.708460425808653,36.6309961021667,31.797968607273237,25.526070862137345,35.184702743297755,36.61683884725431,33.43377561003976,39.92147382628546,35.0875482440812,29.44282474146354,41.298283643778696,3.0,3.0
seird,40,889.0636749981088,421.30092385230733,1532.462407716182,191.97396445621024,116.02682366799986,468.1223889744342,5661.952536695327,576.8876632664887,15320.785895583003,526.8250701247755,148.32894612061247,782.3205263410923,3275.5081058467176,529.2896556161967,8367.103342262786,376.3374572723728,156.74274404454462,630.9385003744791,4.0,5.0
seir,40,900.5746493775254,532.3464981108344,1337.2927540268015,329.7391163687136,117.45582114848119,899.2292718054537,1640.695077537922,864.3047018133403,2691.794451105815,654.8608497298083,239.91738209118424,1162.7590469373322,1270.6348634577237,727.8949374683651,1984.1043323970873,517.0527226520373,169.98367511240582,1163.2372261354917,5.0,6.0
sir,40,1315.2597611214355,697.7268713991239,2054.090308901061,178.45512670571497,38.36487586335342,770.3715272109378,99.00606154347206,98.0853727895823,99.70390299607833,100.0,99.9366965084915,100.0,707.1329113324538,403.97744975640825,1075.2499272291182,139.2275633528575,68.78569702669839,434.98077630331,6.0,4.0
