region,country,province,status,elapsed_s,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,MAPE,Data Start Date
Armenia,Armenia,None,ok,267.5,1.25,10.0,1.0,0.05,0.024103870030204474,0.0,0.10205292239778899,0.10549888591302478,0.7515510515061151,0.11154716709175935,0.1,11.851470167769772,2020-03-15
Australia - Australian Capital Territory,Australia,Australian Capital Territory,ok,270.9,0.75,-10.0,3.0,0.14845620873099222,0.03020279286723176,0.24533335798422448,9.42910641706989,10.0,2.8438455547906862,0.0,0.7638971046488118,0.6664435192123198,2020-03-15
Benin,Benin,None,ok,87.9,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Australia - Queensland,Australia,Queensland,ok,278.8,0.75,-10.0,3.0,0.05,0.01,0.4722715105715878,1.786322379451816,0.10063893407904043,5.0,2.4366314249538417,0.7230527763814306,33.931281335123145,2020-03-15
Australia - Western Australia,Australia,Western Australia,ok,279.0,0.7646302002014183,-9.999299882699452,2.999061266605566,0.09171313307825,0.014166602463179022,0.0,3.4906171377606077,2.7104106551570406,3.1450018111284557,3.463472824260302,1.0427531540568913,2.019758807686484,2020-03-15
Australia - Victoria,Australia,Victoria,ok,303.7,0.75,-10.0,1.0503428089316151,0.3956012481715191,0.012087400138156235,0.4307220271226845,0.1,3.265118101348762,0.0,5.622917861924179,0.44790955338400307,1.4624927980484843,2020-03-15
Australia - Tasmania,Australia,Tasmania,ok,317.3,0.75,10.0,3.0,0.14601732410830143,0.05777986482498219,1.9284065999751407e-06,0.9220698516405519,0.1,2.0269505392231566,6.305224681449122,0.5030888094460927,1.442217931473254,2020-03-15
Botswana,Botswana,None,ok,79.7,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Burundi,Burundi,None,ok,76.9,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Cabo Verde,Cabo Verde,None,ok,77.5,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Canada - Nova Scotia,Canada,Nova Scotia,ok,82.5,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Belgium,Belgium,None,ok,275.7,1.220441788176613,-7.111546057319371,1.5197362222337305,0.14999308199328626,0.22893015719929183,0.34967913095066383,0.9945831718582098,0.3752910935669504,2.5829063705778585,4.338401250443011,0.44524560607339436,0.3975976070680192,2020-03-15
Chad,Chad,None,ok,77.0,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Bhutan,Bhutan,None,ok,204.7,1.25,0.4593658625559561,1.0,0.05,0.01,0.0,0.1,0.1,0.0,1.6311173444469955,4.715044759731433,,2020-03-15
Bulgaria,Bulgaria,None,ok,217.0,1.25,0.11116924893320851,1.0,0.07771846651654818,0.07713422562937738,0.1439624523079036,0.1875329825990301,0.16818965787582596,0.0,1.2050426908402696,4.444372866172484,4.532032957950601,2020-03-15
Cambodia,Cambodia,None,ok,212.7,0.75,-10.0,3.0,0.05,0.01,0.2328245485928122,0.1,5.930108324231054,0.0,0.0010334429534034058,0.10344107149813678,,2020-03-15
Bolivia,Bolivia,None,ok,229.0,1.25,10.0,1.0,0.05,0.053397220440330996,0.0,0.10685012283442909,0.29764815786894827,0.7518496481900505,1.7358335934841433,0.1848544895030443,10.498186545346792,2020-03-15
Canada - New Brunswick,Canada,New Brunswick,ok,210.4,0.75,-10.0,1.20985214299715,0.05,0.01,0.04561813095468992,0.1,9.568388416129478,0.0,0.24507300187799166,0.45203730738131254,17.942986162174947,2020-03-15
Bosnia and Herzegovina,Bosnia and Herzegovina,None,ok,238.8,1.25,-9.967452310557068,1.0,0.09713163349916806,0.06414648157505609,0.0,0.10000096242419325,1.9804963910227247,0.0,2.953732371596743,4.755440085110516,2.544940409292325,2020-03-15
Canada - British Columbia,Canada,British Columbia,ok,223.6,0.9520673649392687,-10.0,1.0,0.09287420767296643,0.06557906016159495,0.004741881012902427,0.10070256487756775,2.071930601701723,0.0,3.620098344759345,0.5767624279014413,0.9680935344851869,2020-03-15
Comoros,Comoros,None,ok,79.4,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Cameroon,Cameroon,None,ok,244.7,1.25,10.0,1.0,0.38693155556667114,0.039318871916166946,0.20463164348367585,3.2771449530749415,0.10078811535956154,0.2812998868384301,1.8627435311090608,0.2574637355438959,6.249096670095691,2020-03-15
Canada - Alberta,Canada,Alberta,ok,245.0,1.2499977276724306,-5.607765005280391,1.1892304334865917,0.16218644406509802,0.025852721386483587,0.3174488725948458,3.7026752896334543,1.0558341133060938,0.1424697941379139,1.2670097030320184,0.37674953076131545,0.94774472499296,2020-03-15
Brazil,Brazil,None,ok,263.0,1.25,10.0,1.0,0.05,0.08360672980594824,0.0,0.1,0.1,1.2194924175650645,7.0,5.0,7.566921618028049,2020-03-15
Canada - Saskatchewan,Canada,Saskatchewan,ok,220.9,1.1914892694128716,-10.0,1.0,0.05,0.02013054730464648,0.0,0.1,7.550076215272543,0.0,0.0,0.1,3.8878241923978822,2020-03-15
Burkina Faso,Burkina Faso,None,ok,299.0,0.9688914991260041,-10.0,1.0,0.4370393093240549,0.09139001993598439,0.47178726154165923,8.269174260901375,10.0,0.0,4.842445877666091,1.3854883028499985,1.3453746899017884,2020-03-15
Canada - Ontario,Canada,Ontario,ok,251.8,1.25,-4.043891691132383,1.0,0.16072804467870222,0.08277607907659491,0.0,0.3547854158958401,0.4674861950730297,0.0,0.8842478161499532,2.519618015688677,1.299255078967776,2020-03-15
Central African Republic,Central African Republic,None,ok,229.8,1.25,10.0,1.0,0.05,0.01,0.13171819479104646,0.4287692169755544,0.1,0.2943443561044957,7.0,5.0,47.61800690754184,2020-03-15
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,ok,296.4,0.75,-10.0,3.0,0.2817953208803379,0.01204680376999928,0.49980026197219857,7.928210429948436,7.344036397285898,4.9999906091909505,2.4372854495664766,1.157375165360497,0.8185510082092,2020-03-15
Canada - Manitoba,Canada,Manitoba,ok,319.0,0.7709965836934475,-10.0,2.7973834567217915,0.13132712244520547,0.02456354895224183,0.06772413183801534,0.5463558631537623,0.6867722173923572,4.964554967521059,5.913290389247445,2.0819689586434924,1.1297722065204467,2020-03-15
Djibouti,Djibouti,None,ok,80.1,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Canada - Quebec,Canada,Quebec,ok,280.9,1.25,-5.075679401577161,1.0,0.15206263799773034,0.12906414134272876,0.1500146345493325,3.184362229445164,5.584517774602898,0.0,2.126438085579606,4.423158737811804,0.496956610750449,2020-03-15
Colombia,Colombia,None,ok,232.6,1.25,10.0,1.0,0.05,0.05070039376674298,0.0,0.8865829704241664,0.10185262823627961,0.010906979406462326,0.14295043125829224,1.0044309795667548,9.910507546573088,2020-03-15
El Salvador,El Salvador,None,ok,81.4,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Chile,Chile,None,ok,318.7,1.25,10.0,1.0,0.05,0.019127372548949896,0.0,0.6182235138631669,0.12013655841652443,0.39835645459810975,6.971200727791203,3.10605609098279,20.885811196294647,2020-03-15
Cote d'Ivoire,Cote d'Ivoire,None,ok,237.8,1.25,10.0,1.0,0.5,0.011740499871806993,0.5,1.814825189690668,0.5650481921092764,0.6312022147319035,0.3703507135451254,0.4833160120833785,9.148637532733686,2020-03-15
Gambia,Gambia,None,ok,84.4,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Costa Rica,Costa Rica,None,ok,257.5,1.25,0.7650146677287901,1.0,0.1264190615263151,0.01,0.2833068296313286,0.1,0.1,0.0,1.2969306295784662,0.8778251930287254,10.484852968639707,2020-03-15
Congo (Kinshasa),Congo (Kinshasa),None,ok,261.3,1.25,10.0,1.0,0.06684996064206854,0.04860326692767689,0.3238142004862073,1.6138033725109409,0.12165242378930612,0.025896574734947834,5.061264659499982,1.0183010123675222,8.95417047767822,2020-03-15
Czechia,Czechia,None,ok,252.7,0.9026117236918938,-10.0,1.0,0.09438578413687856,0.04420988249841787,0.33093379534598805,0.1,2.3563854826462776,0.0,2.280659901824075,3.883998496534311,1.5278687548462522,2020-03-15
Denmark,Denmark,None,ok,244.3,1.0311680243060697,-10.0,1.0,0.17812276268548236,0.06754661485152218,0.3832985656627517,0.1,0.4906860176834353,0.0,6.300839387132745,2.2994603117188865,0.5646075940512564,2020-03-15
Egypt,Egypt,None,ok,212.2,1.25,9.733397224204165,1.0,0.05,0.057152547169853775,0.0,0.1,0.1,0.0,4.891293936934874,0.1,8.308950369783377,2020-03-15
Dominican Republic,Dominican Republic,None,ok,254.1,1.25,10.0,1.0,0.5,0.0551820393388114,0.5,0.1,0.688949113604429,0.0,0.0036925968928227595,0.14246692713224382,4.136297227323928,2020-03-15
Congo (Brazzaville),Congo (Brazzaville),None,ok,340.8,1.25,10.0,1.0,0.14307287358237925,0.06621050186720213,0.43203030183224567,0.2959563314953932,0.1086960516622873,0.11524221539449657,6.568387908130951,3.848127488323171,4.063748296718554,2020-03-15
Cyprus,Cyprus,None,ok,298.3,0.75,-10.0,1.1325683769651442,0.5,0.018189902831759273,0.0,0.6278142069186761,1.1176005028596432,1.7652365091730422,6.164370311997482,2.134575020823844,2.023306988877211,2020-03-15
Croatia,Croatia,None,ok,314.2,1.2358323749976101,-2.9134908682102423,2.98670551500714,0.05,0.05015466789952122,0.0,1.2156037251729483,0.5668477522498782,2.4031656425674197,3.9717896588528068,0.6608087976281926,0.49148052677615506,2020-03-15
Ecuador,Ecuador,None,ok,252.5,1.25,-2.581129409342968,1.0,0.08551383703275842,0.09644156058113895,0.0,3.0073701116262344,2.5914108334614703,1.6568894914388879,6.689163745701025,1.7550951090730196,2.040587962102143,2020-03-15
Ethiopia,Ethiopia,None,ok,235.2,1.25,10.0,1.0,0.05,0.02289556585986485,0.0,0.1,0.1,0.7908715728264724,7.0,5.0,31.4264396564466,2020-03-15
