month,decision_date,actual_npi,actual_npi_short,online_npi,online_npi_short,online_cost,online_gammas,ranking
1,2020-03-15,Mass_Gatherings_Authorized_But_Others_Restricted,MG+Oth,Restrict_Mass_Gatherings_and_Schools,MG+Sch,108043038269.07507,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.794, 'Lockdown': 0.239, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.668, 'No_Measure': 1.0, 'Restrict_Mass_Gatherings': 0.873, 'Restrict_Mass_Gatherings_and_Schools': 0.479, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.423}","[{'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 60856023675.27596, 'humanitarian_costs': 47187014593.79912, 'total_costs': 108043038269.07507, 'num_deaths': 1149, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 67378682958.90872, 'humanitarian_costs': 45192864190.85884, 'total_costs': 112571547149.76756, 'num_deaths': 704, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 88858868768.11324, 'humanitarian_costs': 43110581802.07483, 'total_costs': 131969450570.18806, 'num_deaths': 239, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 27361432204.079716, 'humanitarian_costs': 237169749023.93973, 'total_costs': 264531181228.01944, 'num_deaths': 43527, 'full_vector': ['Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 21572381373.319477, 'humanitarian_costs': 538401782487.207, 'total_costs': 559974163860.5265, 'num_deaths': 110719, 'full_vector': ['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 24255322765.66937, 'humanitarian_costs': 1856174135006.99, 'total_costs': 1880429457772.6594, 'num_deaths': 404658, 'full_vector': ['No_Measure', 'No_Measure', 'No_Measure']}]"
2,2020-04-15,Mass_Gatherings_Authorized_But_Others_Restricted,MG+Oth,Lockdown,Lock,101262641777.83171,"{'Mass_Gatherings_Authorized_But_Others_Restricted': 0.9376589092714214, 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 1.1145227155112403, 'Lockdown': 0.3354797594548947, 'No_Measure': 1.4036810019033252, 'Restrict_Mass_Gatherings': 1.225413514661603, 'Restrict_Mass_Gatherings_and_Schools': 0.6723631999116928, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5937570638051065}","[{'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 79591963967.59303, 'humanitarian_costs': 21670677810.238674, 'total_costs': 101262641777.83171, 'num_deaths': 1799, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 65497644020.320915, 'humanitarian_costs': 40187839692.82774, 'total_costs': 105685483713.14865, 'num_deaths': 5929, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 61365650824.24421, 'humanitarian_costs': 57731376926.644455, 'total_costs': 119097027750.88867, 'num_deaths': 9842, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 49575553226.17718, 'humanitarian_costs': 960149599794.539, 'total_costs': 1009725153020.7161, 'num_deaths': 211140, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 54216355145.20269, 'humanitarian_costs': 1786388092786.0977, 'total_costs': 1840604447931.3003, 'num_deaths': 395455, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 69694264433.08975, 'humanitarian_costs': 3683091434775.526, 'total_costs': 3752785699208.6157, 'num_deaths': 818563, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'No_Measure']}]"
3,2020-05-15,Mass_Gatherings_Authorized_But_Others_Restricted,MG+Oth,No_Measure,None,91386987377.0891,"{'Mass_Gatherings_Authorized_But_Others_Restricted': 0.8383369136201096, 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.9964663314586336, 'Lockdown': 0.2999438957413267, 'No_Measure': 1.254995379670823, 'Restrict_Mass_Gatherings': 1.0956109664526286, 'Restrict_Mass_Gatherings_and_Schools': 0.6011427868623243, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5308630456007581}","[{'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 50093538690.33035, 'humanitarian_costs': 41293448686.75874, 'total_costs': 91386987377.0891, 'num_deaths': 3637, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Lockdown', 'No_Measure']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 55016853766.14048, 'humanitarian_costs': 36752280491.825836, 'total_costs': 91769134257.96631, 'num_deaths': 2624, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Lockdown', 'Restrict_Mass_Gatherings']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 58264687290.46869, 'humanitarian_costs': 34851585090.52331, 'total_costs': 93116272380.992, 'num_deaths': 2200, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 70218430015.62001, 'humanitarian_costs': 31139644336.320103, 'total_costs': 101358074351.94011, 'num_deaths': 1372, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 72397087541.84138, 'humanitarian_costs': 30843868515.31549, 'total_costs': 103240956057.15688, 'num_deaths': 1306, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 79557552415.29958, 'humanitarian_costs': 30243005526.99604, 'total_costs': 109800557942.29562, 'num_deaths': 1172, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Lockdown', 'Lockdown']}]"
