month,decision_date,actual_npi,actual_npi_short,online_npi,online_npi_short,online_cost,online_gammas,ranking
1,2020-03-15,Lockdown,Lock,Lockdown,Lock,36111708490980.26,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.794, 'Lockdown': 0.239, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.668, 'No_Measure': 1.0, 'Restrict_Mass_Gatherings': 0.873, 'Restrict_Mass_Gatherings_and_Schools': 0.479, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.423}","[{'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 81705465003.1472, 'humanitarian_costs': 36030003025977.11, 'total_costs': 36111708490980.26, 'num_deaths': 234733, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 75930059010.20084, 'humanitarian_costs': 135719656463681.94, 'total_costs': 135795586522692.14, 'num_deaths': 884443, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 70933387564.43959, 'humanitarian_costs': 143677357387033.53, 'total_costs': 143748290774597.97, 'num_deaths': 936305, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 40820004851.21382, 'humanitarian_costs': 158648544004006.16, 'total_costs': 158689364008857.38, 'num_deaths': 1033880, 'full_vector': ['Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 32899241710.48709, 'humanitarian_costs': 159907371678805.3, 'total_costs': 159940270920515.8, 'num_deaths': 1042085, 'full_vector': ['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 20170252369.910328, 'humanitarian_costs': 161302840093455.34, 'total_costs': 161323010345825.25, 'num_deaths': 1051181, 'full_vector': ['No_Measure', 'No_Measure', 'No_Measure']}]"
2,2020-04-15,Lockdown,Lock,Lockdown,Lock,111958288817465.23,"{'Lockdown': 0.34196959857075615, 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 1.1360831015279513, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.9557978738295612, 'No_Measure': 1.4308351404634148, 'Restrict_Mass_Gatherings': 1.249119077624561, 'Restrict_Mass_Gatherings_and_Schools': 0.6853700322819757, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.6052432644160244}","[{'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 91931712197.71838, 'humanitarian_costs': 111866357105267.52, 'total_costs': 111958288817465.23, 'num_deaths': 729011, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 83411230947.29144, 'humanitarian_costs': 144175968594387.7, 'total_costs': 144259379825334.97, 'num_deaths': 939581, 'full_vector': ['Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 79853252997.78229, 'humanitarian_costs': 146932479879391.78, 'total_costs': 147012333132389.56, 'num_deaths': 957546, 'full_vector': ['Lockdown', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 59399296960.78838, 'humanitarian_costs': 151658211359647.44, 'total_costs': 151717610656608.22, 'num_deaths': 988344, 'full_vector': ['Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 54093883318.886185, 'humanitarian_costs': 151906971243619.12, 'total_costs': 151961065126938.0, 'num_deaths': 989965, 'full_vector': ['Lockdown', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 45587618790.679695, 'humanitarian_costs': 152367009949897.53, 'total_costs': 152412597568688.22, 'num_deaths': 992963, 'full_vector': ['Lockdown', 'No_Measure', 'No_Measure']}]"
3,2020-05-15,Restrict_Mass_Gatherings_and_Schools_and_Others,MG+Sch+Oth,Lockdown,Lock,2487548141761.631,"{'Lockdown': 0.12099640104984125, 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.4019713072534475, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.338182409628845, 'No_Measure': 0.5062610922587499, 'Restrict_Mass_Gatherings': 0.4419659335418887, 'Restrict_Mass_Gatherings_and_Schools': 0.2424990631919412, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.21414844202545122}","[{'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 76504567318.38495, 'humanitarian_costs': 2411043574443.246, 'total_costs': 2487548141761.631, 'num_deaths': 15603, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 70382350289.06697, 'humanitarian_costs': 2655283287053.091, 'total_costs': 2725665637342.1577, 'num_deaths': 17195, 'full_vector': ['Lockdown', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 68487046498.31731, 'humanitarian_costs': 2726054606771.0557, 'total_costs': 2794541653269.373, 'num_deaths': 17656, 'full_vector': ['Lockdown', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 58388146373.23807, 'humanitarian_costs': 4070959278842.6353, 'total_costs': 4129347425215.8735, 'num_deaths': 26421, 'full_vector': ['Lockdown', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 55874501179.79107, 'humanitarian_costs': 4657784127004.186, 'total_costs': 4713658628183.977, 'num_deaths': 30246, 'full_vector': ['Lockdown', 'Lockdown', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 52030434912.8022, 'humanitarian_costs': 6318452008591.574, 'total_costs': 6370482443504.376, 'num_deaths': 41069, 'full_vector': ['Lockdown', 'Lockdown', 'No_Measure']}]"
