month,decision_date,actual_npi,actual_npi_short,online_npi,online_npi_short,online_cost,online_gammas,ranking
1,2020-03-15,Restrict_Mass_Gatherings_and_Schools_and_Others,MG+Sch+T+W,Restrict_Mass_Gatherings_and_Schools_and_Others,MG+Sch+T+W,79003664808.702,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.3091612850831213, 'Lockdown': 0.1673928045251646, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.24709672435688354, 'No_Measure': 0.4504893155814246, 'Restrict_Mass_Gatherings': 0.39327717250258365, 'Restrict_Mass_Gatherings_and_Schools': 0.23877379850681002, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.08042853107496599}","[{'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+T+W', 'economic_costs': 67665535961.709816, 'humanitarian_costs': 11338128846.992186, 'total_costs': 79003664808.702, 'num_deaths': 3841.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 91816560050.73254, 'humanitarian_costs': 49675195165.33364, 'total_costs': 141491755216.0662, 'num_deaths': 35222.0, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 89224059114.08957, 'humanitarian_costs': 330582941068.419, 'total_costs': 419807000182.50854, 'num_deaths': 266528.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Mass_Gatherings_Authorized_But_Others_Restricted', 'npi_short': 'T+W', 'economic_costs': 70043564885.52264, 'humanitarian_costs': 381137626977.7872, 'total_costs': 451181191863.3098, 'num_deaths': 307981.0, 'full_vector': ['Mass_Gatherings_Authorized_But_Others_Restricted', 'Mass_Gatherings_Authorized_But_Others_Restricted', 'Mass_Gatherings_Authorized_But_Others_Restricted']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'MG+T+W', 'economic_costs': 71984973095.8899, 'humanitarian_costs': 673465871744.0155, 'total_costs': 745450844839.9054, 'num_deaths': 554095.0, 'full_vector': ['Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 69552897357.2353, 'humanitarian_costs': 836335449811.7407, 'total_costs': 905888347168.9761, 'num_deaths': 694692.0, 'full_vector': ['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 55872174188.89793, 'humanitarian_costs': 883474879528.7778, 'total_costs': 939347053717.6758, 'num_deaths': 734566.0, 'full_vector': ['No_Measure', 'No_Measure', 'No_Measure']}]"
2,2020-04-15,Restrict_Mass_Gatherings_and_Schools_and_Others,MG+Sch+T+W,Restrict_Mass_Gatherings_and_Schools,MG+Sch,255309169495.42834,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.28307734387142647, 'Lockdown': 0.18768946028782715, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.28399187397619946, 'No_Measure': 0.5831064242110846, 'Restrict_Mass_Gatherings': 0.5090519083362769, 'Restrict_Mass_Gatherings_and_Schools': 0.17263523458572155, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.255134814795719}","[{'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 76937523166.5143, 'humanitarian_costs': 178371646328.91406, 'total_costs': 255309169495.42834, 'num_deaths': 143449.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 98913880232.54016, 'humanitarian_costs': 218753980748.21362, 'total_costs': 317667860980.7538, 'num_deaths': 176086.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+T+W', 'economic_costs': 102640424514.85669, 'humanitarian_costs': 429364535249.5014, 'total_costs': 532004959764.3581, 'num_deaths': 347393.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'MG+T+W', 'economic_costs': 79474708239.79233, 'humanitarian_costs': 510894281487.5579, 'total_costs': 590368989727.3502, 'num_deaths': 417855.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Mass_Gatherings_Authorized_But_Others_Restricted', 'npi_short': 'T+W', 'economic_costs': 89134888893.04692, 'humanitarian_costs': 513597184043.1654, 'total_costs': 602732072936.2123, 'num_deaths': 420103.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Mass_Gatherings_Authorized_But_Others_Restricted', 'Mass_Gatherings_Authorized_But_Others_Restricted']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 88679443284.85432, 'humanitarian_costs': 819027979355.9473, 'total_costs': 907707422640.8016, 'num_deaths': 678765.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 79343910023.12772, 'humanitarian_costs': 846063135885.7965, 'total_costs': 925407045908.9242, 'num_deaths': 701741.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure', 'No_Measure']}]"
3,2020-05-15,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,MG+T+W,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,MG+T+W,69967488167.3623,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.12951268248721431, 'Lockdown': 0.09573059324633558, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.1393546130978195, 'No_Measure': 0.2744101355838441, 'Restrict_Mass_Gatherings': 0.23956004836469588, 'Restrict_Mass_Gatherings_and_Schools': 0.16123613713757748, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.1068404878927165}","[{'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'MG+T+W', 'economic_costs': 51489383772.47211, 'humanitarian_costs': 18478104394.8902, 'total_costs': 69967488167.3623, 'num_deaths': 9790.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 44873190678.18357, 'humanitarian_costs': 26486413938.009033, 'total_costs': 71359604616.1926, 'num_deaths': 16171.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 49331552052.76543, 'humanitarian_costs': 22880881042.033844, 'total_costs': 72212433094.79927, 'num_deaths': 13295.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']}, {'npi': 'Mass_Gatherings_Authorized_But_Others_Restricted', 'npi_short': 'T+W', 'economic_costs': 56269830324.48629, 'humanitarian_costs': 18799628897.233223, 'total_costs': 75069459221.71951, 'num_deaths': 10011.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'Mass_Gatherings_Authorized_But_Others_Restricted']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 63965704256.3452, 'humanitarian_costs': 19486978190.53064, 'total_costs': 83452682446.87584, 'num_deaths': 10572.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+T+W', 'economic_costs': 65967196740.11254, 'humanitarian_costs': 17982179133.734726, 'total_costs': 83949375873.84726, 'num_deaths': 9343.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 72891323231.62589, 'humanitarian_costs': 17718165904.88407, 'total_costs': 90609489136.50995, 'num_deaths': 9154.0, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']}]"
