policy,st_term_unemployment_costs,st_term_gdp_impact,st_term_sick_worker_cost,st_term_sick_worker_cost_lb,st_term_sick_worker_cost_ub,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,region,dict_region_policy_gamma,dict_region_policy_counts,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub,country,start_date,policy_length
actual,3294568747.88475,23800000000.0,0.0,0.0,0.0,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,49983776040.07838,,,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,,BR,2020-03-15,3
No_Measure-No_Measure-No_Measure,0.0,-0.0,67182278493.827675,50044201230.01407,84320355757.64128,67182278493.827675,50044201230.01407,84320355757.64128,0,5003326677668.419,4621409889587.54,5385243465749.298,24843769810.68293,24843769810.68293,24843769810.68293,103638924866.38057,89436370225.62874,117841479507.13239,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",24620677,18339987.0,30901367.0,1133861,1055809.0,1211913.0,33342752.11764706,33342752.11764706,33342752.11764706,1280778.8823529412,1280778.8823529412,1280778.8823529412,7257747,7257747.0,7257747.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings,1882610713.077,3103333333.3333335,58522120603.67527,43593234435.73528,73451006771.61526,63508064650.0856,48579178482.145615,78436950818.0256,0,4364239849467.792,4031150493038.9717,4697329205896.613,22026041373.439026,22026041373.439026,22026041373.439026,96462135793.77383,84090367463.99615,108833904123.5515,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",21446939,15975864.0,26918014.0,989086,921000.0,1057172.0,29590729.82352941,29590729.82352941,29590729.82352941,1131069.1764705882,1131069.1764705882,1131069.1764705882,6409392,6409392.0,6409392.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,8471748208.8465,11792666666.666666,34738779933.01805,25876979787.705147,43600580078.330956,55003194808.53122,46141394663.218315,63864994953.844124,0,2618439721524.513,2418802947006.498,2818076496042.528,14910370474.463417,14910370474.463417,14910370474.463417,76752562180.87836,69408669465.15475,84096454896.60196,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",12730921,9483286.0,15978556.0,593692,552824.0,634560.0,20126584.76470588,20126584.76470588,20126584.76470588,751366.2352941177,751366.2352941177,751366.2352941177,4257742,4257742.0,4257742.0,BR,2020-03-15,3
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3294568747.88475,4965333333.333333,39156921999.74729,29168062338.195644,49145781661.29895,47416824080.96538,37427964419.41373,57405683742.51703,0,2942323311890.457,2717921749904.468,3166724873876.4453,16208124204.585367,16208124204.585367,16208124204.585367,80413935808.00153,72136033744.76735,88691837871.23569,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",14350063,10689388.0,18010738.0,667042,621124.0,712960.0,21852522.11764706,21852522.11764706,21852522.11764706,820635.8823529412,820635.8823529412,820635.8823529412,4650270,4650270.0,4650270.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,9413053565.385,13034000000.0,30304342109.38639,22573760009.032818,38034924209.73996,52751395674.77139,45020813574.417816,60481977775.12496,0,2293215595991.4224,2118440773045.7522,2467990418937.0923,13594389044.634148,13594389044.634148,13594389044.634148,73077684041.30281,66671246901.65263,79484121180.95297,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",11105807,8272736.0,13938878.0,520037,484239.0,555835.0,18375825.29411765,18375825.29411765,18375825.29411765,681210.705882353,681210.705882353,681210.705882353,3860194,3860194.0,3860194.0,BR,2020-03-15,3
No_Measure-No_Measure-Lockdown,12236969635.000502,17378666666.666664,29394344694.633583,21895900726.72477,36892788662.54241,59009980996.30075,51511537028.39194,66508424964.20958,0,2226437127892.562,2056766707450.3154,2396107548334.8086,13321163371.463417,13321163371.463417,13321163371.463417,72323556970.51065,66109495816.77168,78537618124.2496,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",10772315,8024317.0,13520313.0,504913,470156.0,539670.0,18012218.23529412,18012218.23529412,18012218.23529412,666661.7647058824,666661.7647058824,666661.7647058824,3777750,3777750.0,3777750.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-No_Measure,1882610713.077,3103333333.3333335,53387950291.551735,39768782375.12316,67007118207.9803,58373894337.96207,44754726421.53349,71993062254.39064,0,3950628990742.427,3648878341645.7607,4252379639839.0933,17879557642.60976,17879557642.60976,17879557642.60976,92207379949.78983,80920992712.92838,103493767186.65125,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",19565390,14574295.0,24556485.0,895056,833443.0,956669.0,23942868.17647059,23942868.17647059,23942868.17647059,929735.8235294118,929735.8235294118,929735.8235294118,5268503,5268503.0,5268503.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,3765221426.154,6206666666.666667,43976981501.41106,32758534398.327324,55195428604.4948,53948869594.23172,42730422491.147995,65167316697.31546,0,3261253587498.546,3012207719247.136,3510299455749.956,15205866472.09756,15205866472.09756,15205866472.09756,84408383807.63794,75111506129.16281,93705261486.11307,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",16116498,12005209.0,20227787.0,738938,688071.0,789805.0,20392899.529411763,20392899.529411763,20392899.529411763,786140.4705882353,786140.4705882353,786140.4705882353,4454796,4454796.0,4454796.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,10354358921.923502,14896000000.0,22427851316.285572,16706548048.251966,28149154584.319183,47678210238.209076,41956906970.17547,53399513506.24268,0,1687948179431.517,1559233318788.4656,1816663040074.568,9365776262.780489,9365776262.780489,9365776262.780489,66550330409.7146,61809009605.18476,71291651214.24445,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7069019730609881, 'Lockdown': 0.5166956014327516, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1750984260159683, 'Restrict_Mass_Gatherings': 1.0258609259119402, 'Restrict_Mass_Gatherings_and_Schools': 0.6261780041814008, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5365864303046903}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",8219264,6122545.0,10315983.0,382693,356349.0,409037.0,12641348.11764706,12641348.11764706,12641348.11764706,472101.8823529412,472101.8823529412,472101.8823529412,2675244,2675244.0,2675244.0,BR,2020-03-15,3
