,,,,MSE,MSE,MAE,MAE,MAPE,MAPE
target,,,,Total Detected Cases,Total Detected Deaths,Total Detected Cases,Total Detected Deaths,Total Detected Cases,Total Detected Deaths
region,start_date,split_date,end_date,,,,,,
BR,2020-03-13,2020-04-13,2020-06-13,106613337224.5,214907919.7580645,226309.43548387097,10364.983870967742,56.933013483209486,43.07703888555886
DE,2020-03-01,2020-04-01,2020-06-01,10220750781.951612,674887.0161290322,89716.82258064517,718.6935483870968,53.83751860873522,13.694773410165272
ES,2020-03-02,2020-04-02,2020-06-02,16000089387.016129,653704960.016129,113599.40322580645,22407.24193548387,51.79378784509391,88.48377858852908
SG,2020-03-01,2020-04-01,2020-06-01,326773901.0,5.806451612903226,14392.838709677419,1.8709677419354838,67.6635121433485,11.201798412424598
US-FL,2020-03-15,2020-04-15,2020-06-15,336918419.0967742,242818.6935483871,13932.677419354839,376.758064516129,25.25390160148509,16.27793712635792
US-NY,2020-03-08,2020-04-08,2020-06-08,15884494848.225807,1196136892.3709676,111475.70967741935,28391.24193548387,32.66700119035883,99.15546806740892
