policy,gamma,pred_gdp_impact,gdp_r2,pred_unemployment_gain,unemployment_r2,region_gamma,region
Restrict_Mass_Gatherings,0.873,-0.47251303818927703,-4.304489795918369,0.43990963855421694,-4.8324260355029605,0.5875129577113125,BR
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-0.7664384713936303,-4.304489795918369,0.7135542168674698,-4.8324260355029605,0.5343474094189944,BR
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-1.2352309344790549,-4.304489795918369,1.15,-4.8324260355029605,0.5938522562942523,BR
Restrict_Mass_Gatherings_and_Schools,0.479,-1.9384196291071918,-4.304489795918369,1.8046686746987954,-4.8324260355029605,0.3223581978736754,BR
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-2.146771834922936,-4.304489795918369,1.9986445783132532,-4.8324260355029605,0.2846712269322854,BR
Lockdown,0.239,-2.8313576540318097,-4.304489795918369,2.635993975903615,-4.8324260355029605,0.16084260812486104,BR
No_Measure,1.0,-0.0,0.6427758015602785,0.0,-9.318660800323897,0.0668005721466801,SG
Restrict_Mass_Gatherings,0.873,-4.01238873499162,0.6427758015602785,0.16153008071818412,-9.318660800323897,0.05831689948405173,SG
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-6.508284089828925,0.6427758015602785,0.26200942226729074,-9.318660800323897,0.019679798219002148,SG
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-10.489079212733998,0.6427758015602785,0.42226761258611906,-9.318660800323897,0.3504215425969684,SG
Restrict_Mass_Gatherings_and_Schools,0.479,-16.460271897091605,0.6427758015602785,0.6626548980643616,-9.318660800323897,0.03199747405825977,SG
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-18.229514173938302,0.6427758015602785,0.7338807604282852,-9.318660800323897,0.02825664201804568,SG
Lockdown,0.239,-24.04273879786317,0.6427758015602785,0.9679085939097489,-9.318660800323897,0.028691834513819982,SG
