,region,mape_cases,mape_deaths
0,DE,47.735073136059526,20.47162924846315
1,US-FL,67.13180040475063,56.90850970111074
2,US-NY,23.652539596305797,6.117162808066766
3,ES,58.86721875275541,18.94249921346247
4,BR,67.1901210278782,44.62368347901298
5,SG,90.64580792420941,80.88903343999712
