policy,st_term_unemployment_costs,st_term_gdp_impact,st_term_sick_worker_cost,st_term_sick_worker_cost_lb,st_term_sick_worker_cost_ub,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,region,dict_region_policy_gamma,dict_region_policy_counts,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub,country,start_date,policy_length
actual,3294568747.88475,23800000000.0,0.0,0.0,0.0,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,50393766103.0093,,,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,,BR,2020-03-15,3
No_Measure-No_Measure-No_Measure,0.0,-0.0,68097918846.503136,50726265428.83026,85469572264.17604,68097918846.503136,50726265428.83026,85469572264.17604,0,5073544000639.967,4686281336087.264,5460806665192.669,25327381624.975613,25327381624.975613,25327381624.975613,104807718378.49472,90411596044.18561,119203840712.80386,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",24956237,18589947.0,31322527.0,1149793,1070644.0,1228942.0,33996689.88235294,33996689.88235294,33996689.88235294,1304978.1176470588,1304978.1176470588,1304978.1176470588,7394876,7394876.0,7394876.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings,1882610713.077,3103333333.3333335,59505391621.927864,44325675771.84762,74685107472.00812,64491335668.338196,49311619818.25795,79671051518.41846,0,4439115155073.123,4100323290091.6685,4777907020054.578,22506684246.146343,22506684246.146343,22506684246.146343,97686975746.1312,85107341492.34805,110266609999.9143,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",21807284,16244286.0,27370282.0,1006070,936815.0,1075325.0,30240003.76470588,30240003.76470588,30240003.76470588,1155217.2352941178,1155217.2352941178,1155217.2352941178,6546231,6546231.0,6546231.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,8471748208.8465,11792666666.666666,36267093811.69848,27015423412.751156,45518764210.6458,56531508687.21165,47279838288.26433,65783179086.158966,0,2732695702484.5596,2524339395911.5044,2941052009057.6147,15507872786.195126,15507872786.195126,15507872786.195126,78429086466.7591,70762103039.35233,86096069894.16586,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",13291011,9900498.0,16681524.0,619589,576938.0,662240.0,20930090.470588237,20930090.470588237,20930090.470588237,781929.5294117647,781929.5294117647,781929.5294117647,4430934,4430934.0,4430934.0,BR,2020-03-15,3
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3294568747.88475,4965333333.333333,38905257337.43085,28980598373.869865,48829916300.991844,47165159418.648926,37240500455.08795,57089818382.20993,0,2926132245570.466,2702986088858.948,3149278402281.983,16286118092.414637,16286118092.414637,16286118092.414637,80615367987.64862,72390669904.48473,88840066070.8125,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",14257834,10620687.0,17894981.0,663397,617730.0,709064.0,21965211.352941178,21965211.352941178,21965211.352941178,823454.6470588236,823454.6470588236,823454.6470588236,4666243,4666243.0,4666243.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,9413053565.385,13034000000.0,31190354309.27442,23233751807.04798,39146956811.50087,53637407874.659424,45680805372.43298,61594010376.88587,0,2360307575958.4966,2180421274013.7588,2540193877903.234,13997777150.634148,13997777150.634148,13997777150.634148,74221924305.55896,67628181025.429306,80815667585.68863,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",11430509,8514607.0,14346411.0,535252,498407.0,572097.0,18921006.588235293,18921006.588235293,18921006.588235293,701437.4117647059,701437.4117647059,701437.4117647059,3974812,3974812.0,3974812.0,BR,2020-03-15,3
No_Measure-No_Measure-Lockdown,12236969635.000502,17378666666.666664,30321923080.87371,22586855008.593216,38056991153.154205,59937559382.54088,52202491310.26038,67672627454.82137,0,2296571645261.2036,2121554684226.058,2471588606296.3486,13736451564.804878,13736451564.804878,13736451564.804878,73502243691.26164,67092088966.46886,79912398416.05444,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",11112250,8277535.0,13946965.0,520817,484965.0,556669.0,18573221.70588235,18573221.70588235,18573221.70588235,687524.2941176471,687524.2941176471,687524.2941176471,3895971,3895971.0,3895971.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-No_Measure,1882610713.077,3103333333.3333335,54349260785.432144,40484865194.38519,68213656376.47911,59335204831.842476,45470809240.795525,73199600422.88945,0,4022956727487.8975,3715689761424.6396,4330223693551.156,18283853337.146343,18283853337.146343,18283853337.146343,93414020920.86505,81924410218.81677,104903631622.91333,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",19917687,14836722.0,24998652.0,911454,848712.0,974196.0,24486424.17647059,24486424.17647059,24486424.17647059,950435.8235294118,950435.8235294118,950435.8235294118,5385803,5385803.0,5385803.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,3765221426.154,6206666666.666667,44902057675.81603,33447624982.613,56356490369.01906,54873945768.6367,43419513075.43367,66328378461.83972,0,3330571706013.228,3076240501811.4434,3584902910215.013,15576555883.390244,15576555883.390244,15576555883.390244,85584996911.85866,76092554807.66022,95077439016.0571,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",16455516,12257744.0,20653288.0,754651,702703.0,806599.0,20891224.88235294,20891224.88235294,20891224.88235294,805127.1176470589,805127.1176470589,805127.1176470589,4562387,4562387.0,4562387.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,10354358921.923502,14896000000.0,23662475925.808594,17626221409.75225,29698730441.86493,48912834847.73209,42876580331.67575,54949089363.78843,0,1779636175724.4807,1643921287612.7463,1915351063836.215,9806654300.487804,9806654300.487804,9806654300.487804,67983470456.60502,62981145325.839554,72985795587.3705,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.688462526374155, 'Lockdown': 0.5213534410489062, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1792405436542464, 'Restrict_Mass_Gatherings': 1.029476994610157, 'Restrict_Mass_Gatherings_and_Schools': 0.6404827544776223, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5400056629498887}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",8671724,6459583.0,10883865.0,403469,375695.0,431243.0,13232771.764705881,13232771.764705881,13232771.764705881,494872.23529411765,494872.23529411765,494872.23529411765,2804276,2804276.0,2804276.0,BR,2020-03-15,3
