,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others
Afghanistan__None,1.1082284364399486,0.3335851338906142,0.9323634704557754,1.3957536982870888,1.2184929786046286,0.6685660214795155,0.5904038143754385
Albania__None,1.6624782686867494,0.5004185216827872,1.3986592990966609,2.093801345953085,1.827888575017043,1.0029308447115277,0.8856779693381549
Algeria__None,1.3175117162645176,0.39658098260355124,1.1084355497036495,1.6593346552449844,1.4485991540288714,0.7948212998623475,0.7018985591686283
Andorra__None,0.27553430981270355,0.08293790937687172,0.23180972160564986,0.3470205413258231,0.3029489325774436,0.16622283929506926,0.14678968898082317
Angola__None,2.1884872822764296,0.6587512096524769,1.8411958495726135,2.75628121193505,2.4062334980192985,1.3202587005168889,1.1659069526485262
Argentina__None,1.5515057404822763,0.4670149521099043,1.3052970209599,1.9540374565267962,1.705874699547893,0.9359839416763354,0.8265578441108348
Australia__Australian_Capital_Territory,0.30472420841736003,0.0917242894354522,0.25636747005389987,0.38378363780523933,0.33504311580397395,0.18383236250870963,0.16234047879161623
Australia__New_South_Wales,0.21500724207053767,0.06471880460309634,0.1808877049157672,0.27078997741881317,0.23639965028662388,0.1297083991836115,0.11454416044815796
Australia__Queensland,0.22532301805753008,0.06782393112814822,0.18956646859248122,0.2837821386114988,0.24774180700783846,0.13593164439490793,0.120039844632664
Australia__South_Australia,0.002326119260271653,0.0007001794750691752,0.0019569869847121716,0.0029296212345990592,0.002557559337804979,0.0014032885713729493,0.001239229782235402
Australia__Tasmania,0.0032000416138307573,0.0009632367074377215,0.002692226445892879,0.004030279110618082,0.0035184336635695856,0.0019305036939860612,0.0017048080637914486
Australia__Victoria,0.9928402167016604,0.29885240779810684,0.8352862276532861,1.2504284845109073,1.091624066978022,0.5989552440807245,0.5289312489481137
Australia__Western_Australia,0.3423253278076844,0.10304251051138105,0.2880016611782533,0.4311402113446906,0.3763854045039149,0.2065161612341068,0.1823723093988041
Austria__None,0.6365204916648446,0.19159747796964463,0.5355109426097181,0.8016630877390989,0.6998518755962333,0.38399661902702836,0.33910348611363883
Azerbaijan__None,1.2541976348714976,0.3775229656603122,1.0551687910505798,1.5795939985787122,1.3789855607592156,0.7566255253192031,0.6681682613987953
Bahrain__None,1.255457349097481,0.3779021491615843,1.0562286010039261,1.581180540425039,1.380370611791059,0.7573854788635936,0.6688393685997914
Bangladesh__None,1.4692939816797457,0.4422685914627949,1.236131460657519,1.8504961985891002,1.6154831813682844,0.8863876791241789,0.7827598920031894
Belarus__None,0.9286589759073037,0.27953336932222367,0.7812899192771775,1.1695956875406848,1.0210570352230177,0.5602363343319879,0.49473897582970966
Belgium__None,0.6820646747953754,0.20530662125452734,0.5738277112888045,0.8590235198934199,0.7499275328669556,0.4114722660289481,0.3633669489149166
Benin__None,1.8858248756360732,0.5676475381322688,1.5865629936081824,2.375094301808656,2.0734573254789566,1.1376701705663463,1.0046648896650614
Bolivia__None,1.575708602847962,0.4743001965751422,1.325659126829268,1.9845196509420178,1.7324856552723815,0.9505849128012265,0.8394518123484734
Bosnia_and_Herzegovina__None,2.1604036592559677,0.6502978269045041,1.8175688216410408,2.7209114096422766,2.3753556606177075,1.3033165652186505,1.150945526278683
Brazil__None,0.8282760353967928,0.24931734566729657,0.6968367652960424,1.0431688103234167,0.9106863714123428,0.49967786014491655,0.4412604067668052
Bulgaria__None,0.545338429729819,0.16415098829398836,0.4587985781606035,0.6868242188032986,0.5995975430152797,0.32898880080678,0.2905266445537953
Burkina_Faso__None,0.32088306280385215,0.09658822671299831,0.2699620729886313,0.40413483980334025,0.35280971514831605,0.19358058826579996,0.17094903723681293
Burundi__None,1.6868595534054236,0.5077574726245544,1.4191715134443614,2.1245082536592235,1.8546957054445021,1.017639453502768,0.8986669912978515
Cambodia__None,0.331732582385323,0.0998540140933151,0.279089880394705,0.41779922214776194,0.36473872093499615,0.20012582740877796,0.1767290709685033
Cameroon__None,0.42353117341287627,0.12748608368473227,0.3563209368259463,0.5334145760867459,0.4656709249237292,0.2555055819455513,0.22563436568469353
Canada__Alberta,1.1059307382799026,0.33289350938148193,0.9304303944218827,1.392859871889046,1.215966668159137,0.667179878634853,0.5891797258090664
Canada__British_Columbia,0.6773850011959679,0.2038980041383329,0.5698906559180184,0.8531297244281711,0.7447822494257934,0.408649138001094,0.3608738734331164
Canada__Manitoba,0.26727771046951476,0.08045261058213354,0.22486336346805527,0.3366218015988851,0.2938708327958267,0.16124184296586597,0.1423910220763284
Canada__New_Brunswick,0.10927477143919535,0.03289253195713814,0.0919339386919175,0.1376256567244274,0.12014719832042511,0.06592268957100071,0.05821565279443278
Canada__Newfoundland_and_Labrador,0.0012923318013645661,0.00038900163794223087,0.001087251439938955,0.0016276219160762798,0.0014209139327345922,0.000779630897800538,0.0006884840705002664
Canada__Nova_Scotia,1.1537467833781994,0.3472865002863849,0.9706585028924901,1.4530815911564223,1.2685402290795567,0.6960260821639263,0.6146535130591666
Canada__Ontario,0.8129234128276953,0.2446960902592181,0.6839204531094465,1.0238330136368958,0.89380622090501,0.4904160135320731,0.4330813647684069
Canada__Quebec,0.7843647885612156,0.2360997285467639,0.6598938019633401,0.9878649729990121,0.8624061214281376,0.4731873220665268,0.4178668835785821
Canada__Saskatchewan,0.8581024337102376,0.2582953169480438,0.7219300072020639,1.0807335437156644,0.9434803836637751,0.5176713674398032,0.45715028899172605
Central_African_Republic__None,1.802405402265769,0.5425376462739531,1.516381371175735,2.2700319927780463,1.9817379296952344,1.087345324540684,0.9602235329451135
Chad__None,1.9160213006591422,0.5767368902487846,1.611967542620034,2.413125063802446,2.1066581806995353,1.1558869055613716,1.0207519019884346
Chile__None,0.7410944622310544,0.2230750333415894,0.6234900513480407,0.9333683403413783,0.8148305611180232,0.44708343502352016,0.394814807964403
Colombia__None,2.1722918323114846,0.6538762568292755,1.8275704584182264,2.735883919787764,2.388426661974718,1.310488397578339,1.1572788980702242
Congo_(Kinshasa)__None,0.6933766050467124,0.208711597740761,0.5833445493340099,0.8732702834341465,0.7623649574380099,0.41829646576495616,0.36939332989264395
Costa_Rica__None,1.3627412695730023,0.4101954199344427,1.1464876172226266,1.7162988281775846,1.4983288769990313,0.822107138697063,0.7259944043191182
Cote_d'Ivoire__None,1.0042609124597088,0.3022901235237663,0.8448945711877652,1.2648122323170137,1.1041810788127528,0.6058450592798496,0.5350155742700967
Croatia__None,0.17597381441314228,0.05296944791529093,0.14804849877579224,0.22162948918531772,0.19348254405878237,0.10616052531976718,0.0937492739253894
Cuba__None,0.6669065365771379,0.2007439071057128,0.5610750206971388,0.8399326657142795,0.733261217168566,0.40232774687713985,0.3552915175971402
Cyprus__None,0.17670975742227926,0.053190972322323345,0.148667654859046,0.22255636954947008,0.19429171061668737,0.10660450101419616,0.09414134431942585
Czechia__None,0.7920686558229586,0.23841865080817012,0.6663751411709525,0.9975675766032224,0.8708764943746131,0.4778348691929435,0.42197108490316304
Denmark__None,1.1546900545713898,0.34757043204352916,0.9714520862137134,1.4542695901402893,1.2695773521924727,0.6965951336771986,0.6151560366293424
Djibouti__None,0.68721207985631,0.20685602907513614,0.5781582737330165,0.8655063978039169,0.7555870852828195,0.4145775645480762,0.36610920627105686
Dominican_Republic__None,0.9556416744350664,0.28765536547856535,0.8039907286179149,1.2035789350567587,1.0507244103045503,0.5765143098921874,0.5091138895290089
Ecuador__None,1.487157541287472,0.447645657893836,1.2511602488413491,1.8729943844930377,1.635124097662422,0.897164310172165,0.7922766246405549
Egypt__None,1.6618531714353308,0.5002303626864535,1.3981333986382884,2.093014069817797,1.8272012829509368,1.0025537394427246,0.8853449515329281
El_Salvador__None,1.5747417850939327,0.4740091771252517,1.324845733555097,1.9833019963399654,1.7314226428047899,0.9500016562468434,0.8389367444518053
Estonia__None,0.21902089841576572,0.0659269454929068,0.18426443342787344,0.2758449602213674,0.24081265027325374,0.13212973594603497,0.1166824181736384
Ethiopia__None,1.3925261080349853,0.4191608813858457,1.171545894417343,1.753811219187639,1.5310771943508088,0.8400755739908791,0.7418621457163712
Finland__None,0.3187816832172847,0.09595569557799878,0.26819416169917654,0.4014882660167313,0.3504992562326064,0.1923128794220143,0.16982953652507735
France__None,0.7764421476853773,0.2337149537743138,0.6532284063650278,0.9778868358757901,0.8536952077195648,0.4684077943845034,0.4136461315754592
Gabon__None,1.570064896560545,0.4726013983349751,1.3209110212877129,1.9774117085145402,1.7262804215331935,0.9471802083784647,0.8364451527016504
Georgia__None,0.49174174292624545,0.14801798055336607,0.4137071590361864,0.6193220943655484,0.5406681883811237,0.2966552832010977,0.26197324591662696
Germany__None,0.38584564045795333,0.11614245348797334,0.32461572774044434,0.4859516882341981,0.4242358238284549,0.23277085866418087,0.20555756412306578
Ghana__None,0.8098045973100594,0.2437573032205342,0.6812965629762212,1.0199050343955407,0.890377095027307,0.48853451147546395,0.4314198295493137
Greece__None,0.41404522027311014,0.12463074010739712,0.34834031126251586,0.5214675318301135,0.4552411552876891,0.24978294774662438,0.220580765964138
Guatemala__None,1.1967137469141762,0.3602198809980958,1.006807031408904,1.5071961548037482,1.3157822431436723,0.7219469581509954,0.6375439734819854
Guinea__None,0.13315478824174445,0.0400805974682329,0.11202443141748777,0.16770124463695774,0.14640318656806411,0.08032889618110275,0.07093762648143312
Guyana__None,1.595025988315477,0.4801148755760692,1.3419110329908546,2.0088488517827163,1.7537250476063113,0.962238600003921,0.849743064304089
Haiti__None,1.563856710103594,0.470732687298185,1.3156880130342579,1.9695928338836195,1.7194545439803999,0.9434349674302537,0.833137768732771
Honduras__None,0.7373247066385902,0.22194030842143958,0.620318518935237,0.9286205373281992,0.8106857290875179,0.4448092373802074,0.39280648728982825
Hungary__None,0.38184319698794533,0.11493768775833617,0.3212484327304124,0.48091082744073715,0.4198351523557635,0.2303562863441131,0.20342528000743182
Iceland__None,0.700477608040904,0.21084905330198492,0.5893186929109873,0.8822136121421964,0.7701724834001374,0.4225803202161121,0.37317635793614906
India__None,1.3746259645986572,0.4137728029459434,1.1564863278991222,1.7312669579328175,1.5113960542753497,0.8292768728498195,0.7323259232055818
Indonesia__None,1.0880282860403185,0.32750473597435276,0.915368885484802,1.3703127028215598,1.1962829895632217,0.6563797846515271,0.5796422732935198
Iran__None,1.195331299114431,0.3598037537636637,1.0056439644942567,1.505455036668049,1.3142622470112069,0.7211129625639955,0.6368074805105847
Iraq__None,2.1888317407702487,0.6588548942620773,1.8414856458873123,2.7567150387534616,2.406612228831772,1.320466503562908,1.166090461392714
Ireland__None,1.670402359271648,0.5028037328286195,1.405325914349447,2.1037813089063575,1.8366010826752501,1.0077112469661451,0.8898994936673892
Israel__None,0.42171229947231087,0.12693858888398274,0.35479070031171744,0.5311238028618525,0.4636710798983972,0.25440830157082733,0.22466536861056358
Italy__None,0.5122852959566618,0.15420174525647629,0.430990652013917,0.6451955868471811,0.5632557473175891,0.30904868609979974,0.2729177332363576
Jamaica__None,1.7616307509570543,0.5302641681092393,1.4820772564726856,2.218678527653721,1.9369063546416982,1.0627470147461322,0.9385010171975239
Japan__None,0.3029556954684226,0.09119195367374433,0.25487960273665783,0.3815562915219428,0.33309864249865606,0.1827654636390106,0.1613983113137818
Jordan__None,0.6018722981217567,0.18116810988803506,0.5063610770092362,0.758025564385084,0.6617563177081783,0.3630942453404552,0.3206448137348905
Kazakhstan__None,1.514210822341206,0.4557888999238643,1.2739204399545665,1.9070665268780933,1.6648690779645754,0.9134848663746067,0.8066891408694334
Kenya__None,0.8722979528275134,0.2625682754732691,0.7338728368876309,1.0986120312689085,0.9590883032977571,0.5262351629778071,0.4647128892267483
"Korea,_South__None",1.5246302878310802,0.4589252377728314,1.282686438628667,1.920189279384232,1.6763252409024345,0.919770664825047,0.8122400651795301
Kosovo__None,0.6903949982199564,0.2078141115548735,0.580836094220316,0.8695151111082574,0.7590866919975087,0.4164977382208553,0.36780489199879285
