,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others
Afghanistan__None,0.3254306641563102,0.4157426246559463,1.156252972088426,0.41732339627046844,1.393313977708156e-14,0.20799307289735322,0.23642591207975952
Albania__None,0.3615933791836021,0.6871634678137263,0.6017202090960398,0.6693855627151782,-1.8805875281204687e-14,0.33019622596415676,0.7798709510110682
Algeria__None,0.23047284330241558,0.4314762015995133,0.4207388998890094,0.492047257654314,-1.80344563323079e-14,0.24082192148264858,0.7016285486400188
Andorra__None,0.10319438030170021,0.18892221844434745,0.20885458048586095,0.49908408165590545,9.313381175749253e-15,0.13495693892529817,0.1923364895210821
Angola__None,0.9158478776394049,1.6394056558028909,1.843693846989622,1.2103789656086017,4.8221078012102114e-15,0.6255688778114947,0.6074162953979473
Argentina__None,0.5471695739793748,0.9979658948681752,1.0004064281072893,0.9424089132013745,-2.0420329816827277e-14,0.46606554573344877,1.0076064435610153
Australia__Australian_Capital_Territory,0.1976222605856166,0.2106654692596552,0.3835256442316391,0.2277335273815555,1.9352128486740424e-15,0.09768417504740995,0.17367534923312317
Australia__New_South_Wales,0.017553548536123672,0.12899979007661205,0.4155626195909764,0.11735543480292521,1.769510543211639e-15,0.08615077812635255,0.1262597148394344
Australia__Queensland,0.2224503800818044,0.16807207913961608,0.19282334214485738,0.19552527926717578,1.177942171865121e-15,0.06144375153304848,0.12609313567490307
Australia__South_Australia,0.0004039155681036605,0.0014301091753860901,0.00424137280879631,0.0013457217392194537,1.843450999121486e-17,0.0009018004876459052,0.0013594500108489766
Australia__Tasmania,0.0009158757322772101,0.002025447864159891,0.005406466932311398,0.001979359605106039,2.4166210587209835e-17,0.0011896958569775887,0.0018592073920345666
Australia__Victoria,0.7242976814360446,0.6993401691083019,1.1539548881289419,0.7705781475051668,6.038654484614726e-15,0.3069053874421659,0.5634092076831746
Australia__Western_Australia,0.3379456546231382,0.25534351436399255,0.2929680001624003,0.2970492066174613,1.7896570384687888e-15,0.09335150141345117,0.19156933034917384
Austria__None,0.13810764180208218,0.02008102426613967,1.3993603507403156,0.18270529966576268,3.0848000799881364e-14,0.08796366307453206,0.006954547522734805
Azerbaijan__None,0.9624069128798843,0.9608156139770718,0.9982174608921012,1.0492585334514444,-1.1024401599725181e-14,0.4019853493835015,0.9751624695738569
Bahrain__None,0.38338037556066956,0.607971033162131,1.0032673900126206,0.6449850439550779,-9.10063573879108e-15,0.322662414465555,0.7520050212377923
Bangladesh__None,0.4904565956456094,0.801432079339741,1.1864813331241122,0.7546214743652025,-2.718379360828531e-15,0.37284457202327953,0.6577818654321346
Belarus__None,0.475608429146699,0.9631820462864965,1.046160939194408,1.2130880253580285,-1.9229339281124855e-14,0.8500389232781356,0.890341962831722
Belgium__None,0.06055091981376646,0.12142966195846519,1.3424000851372309,0.2752852980377872,1.9645366185385536e-14,0.1563712013877477,0.23166339074424994
Benin__None,1.8844158616561038,1.2474873091291596,1.9210191955538278,1.4304202557391001,3.8965177389775625e-14,0.3954291356716789,0.47700813724500407
Bolivia__None,0.2349489340944262,0.474093250904944,0.3587339231450521,0.37210010332711363,-7.967854276086087e-15,0.1953686530024094,0.3280078665375188
Bosnia_and_Herzegovina__None,0.4574905458333038,0.8652045069892398,0.768465901363406,0.8607930100018246,-2.4940805771697232e-14,0.42304627588188254,1.029131677553236
Brazil__None,0.22789622735464143,0.3159591007468965,0.6966686344404547,0.3288292709950301,3.373081324531917e-15,0.16370301823233419,0.27491436742726827
Bulgaria__None,0.16296108711971377,0.23085723378048795,0.510160827105347,0.2383914617315549,2.0829473697155546e-15,0.11904459202550535,0.2092119940316787
Burkina_Faso__None,0.4581482724976713,0.26116755728590213,0.2434932814231236,0.27327814498127206,1.1141982612456916e-15,0.06747630915558157,0.1797036317504173
Burundi__None,0.4641314149745723,0.6434794739956178,1.4188290996501072,0.6696907474229057,6.869587207088906e-15,0.3333961003643449,0.5598881378246913
Cambodia__None,0.10321639973728601,0.1784718004099414,0.22520148227040251,0.19283537802220632,-5.642713323751757e-15,0.0965832469828998,0.26170468355291693
Cameroon__None,0.17774677452633061,0.27088508311091514,0.26691837773535754,0.4860271921721942,8.721543774740466e-16,0.16039255064098248,0.3373734323967865
Canada__Alberta,0.48467927034829783,0.6125417181222341,0.08943775049083012,1.9541843413710733,3.434349361546877e-14,0.42777921847843364,0.6328749951569693
Canada__British_Columbia,0.31687711622818815,0.41888339078281356,0.6452366299304537,0.8025626630490853,1.3909190487135327e-14,0.25059756189347526,0.3824030682362528
Canada__Manitoba,0.1283951364378057,0.17262679370177708,0.3538590170855248,0.25036716263251885,4.290134328308097e-15,0.09695939211057428,0.1500058855924665
Canada__New_Brunswick,0.051527394518622247,0.06846740138165437,0.11616436761196236,0.12140258633005706,2.098067325859116e-15,0.04019251867933503,0.06158166295562306
Canada__Newfoundland_and_Labrador,0.0006235144945523312,0.0008405817964263387,0.0017907221606609494,0.0011572959352631569,1.9780929593488546e-17,0.0004672723490451373,0.0007245961775583289
Canada__Nova_Scotia,0.5077284980832285,0.6435978937188286,0.15508342632204564,1.997412000261875,3.508275535086567e-14,0.44508002174608713,0.6596903378175745
Canada__Ontario,0.374221778190381,0.4894646035537664,0.595538830875845,1.082575162215418,1.8850289707086052e-14,0.3041974712829975,0.4605034028808425
Canada__Quebec,0.35229080737645807,0.4530851861029645,0.31541048110154907,1.2176737481079871,2.1316457001611988e-14,0.2985232794171644,0.4466233707550456
Canada__Saskatchewan,0.39723352642465104,0.5215022892373218,0.6939673862062884,1.0991042797148871,1.910942754350626e-14,0.3198401867271283,0.48551719072458455
Central_African_Republic__None,0.6746335774335439,0.5583257732909048,1.9375359490157604,1.9488156547942757,4.925450789532794e-14,0.5229196612197722,1.0438928355443857
Chad__None,1.9208830577696279,1.2664371326575108,1.9494641574705254,1.4529596099043949,3.9982850251150816e-14,0.39952038188748656,0.4764825674648075
Chile__None,0.3889417663824392,0.7503294603210613,0.5920867307625559,1.0107048573058899,2.626785256852435e-15,0.3666918821351137,0.5746515953521515
Colombia__None,0.5090042448938209,0.9796670636094111,0.8259231003683735,0.9013945677615768,-2.3093289434344606e-14,0.449259517977207,0.9728400648647284
Congo_(Kinshasa)__None,0.2123217752193311,0.3412186740268932,0.5419148477311017,0.3630604192541761,-6.014762236081185e-15,0.18166087919207938,0.4345589811389671
Costa_Rica__None,0.23838486687204927,0.4462885752738177,0.43518266708048337,0.5089390069991412,-1.8653570677941735e-14,0.24908922400529476,0.7257151244569257
Cote_d'Ivoire__None,0.9742798106581708,0.9237680338263967,0.988795453242941,0.9993249830166719,-1.2917901929581846e-14,0.389603348769613,0.9905823203772998
Croatia__None,0.04279148090316974,0.0576946993893068,0.1353068179242637,0.08305227829664139,-1.104491551305858e-15,0.038660985712851544,0.11112854500354834
Cuba__None,0.17344644756475072,0.22653177069943042,0.5800296503855454,0.28879416586840534,8.378779458481043e-16,0.1362935745963433,0.3105246361117868
Cyprus__None,0.03642495595658905,0.06854057056488135,0.06177513787275861,0.06967976717841405,-2.0803493910157603e-15,0.03411773649371893,0.08543625009859433
Czechia__None,0.48932447007495544,0.6845671540838466,0.5268334876162579,0.7560458209990858,-2.3992543672342928e-14,0.33447545118109984,0.9579866661417318
Denmark__None,0.3461072239059202,0.4986462438727336,1.0581992614699496,0.5171272943254194,2.6242469286391776e-15,0.2583101902071182,0.47773393295377475
Djibouti__None,0.30993750126607955,0.4024873944560785,0.3759088620003903,0.8975746603262229,2.332570121528286e-14,0.22093729473966187,0.17926031384193872
Dominican_Republic__None,0.33503403516422514,0.6025176417125331,0.6393974276919407,0.56756266422628,-1.0952099776387807e-14,0.28075160541424954,0.5908643394889599
Ecuador__None,0.35504743618192924,0.450448520036946,1.2498415232096505,0.5139266413139264,1.0246490949677972e-14,0.24525623101566937,0.417875619932512
Egypt__None,0.40978517132998676,0.7951099093329386,0.6539962476087324,0.7045093684254542,-1.684112410062724e-14,0.353631509794399,0.7184683327886776
El_Salvador__None,0.4658538226038239,0.7628467053181534,1.0916938937634748,0.8583332325950638,-1.6899242242859785e-14,0.4129029014265519,1.043381583214999
