,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others
Estonia__None,0.1416900375095106,0.17361499451330795,0.16593130530560155,0.30255715870062766,1.1178494988656156e-15,0.09466772898252857,0.19847198825724827
Ethiopia__None,0.5827667552816203,0.6975234018008278,0.7279986472372666,1.8580852704131685,4.566095551314898e-14,0.4408789170084876,0.494238652712857
Finland__None,0.09722166622960939,0.18520979600151544,0.556384225691689,0.17560191529538452,5.0211605650926356e-15,0.10400411389948695,0.13047296079517037
France__None,0.48889501563097215,0.3922098073312729,0.5101674784524006,0.638167378104191,-1.5239413753705914e-14,0.2283625226868521,0.8630913920843042
Gabon__None,0.36526462383264213,0.3975809923753262,1.4523695315589267,0.6076530638744915,7.404362681001687e-15,0.28032168118505507,0.6705623788685898
Georgia__None,0.2887410050777629,0.37156426279503774,0.35889374592121803,0.43030751971400033,-1.0641950887369122e-14,0.18351837501128948,0.5163691904010627
Germany__None,0.13153996737264825,0.2064550942183377,0.7059618677217692,0.19194593180344968,1.0020991511152482e-14,0.11052089900819412,0.08051423807149606
Ghana__None,0.3390951797167978,0.42852633865997364,0.44109051399629173,1.0497159944972199,2.1481031418950825e-14,0.2666373608347716,0.36031736694940375
Greece__None,0.3634464468830506,0.2080842797290909,0.25358109675271306,0.308244706100783,-1.582266243569021e-16,0.08040051570519882,0.26791180131019043
Guatemala__None,0.27558558348564033,0.3340199238184746,1.0159224061038041,0.39745066497699,9.358063381468262e-15,0.1880555892275426,0.3203193498749882
Guinea__None,0.07877011006906075,0.09129823740041046,0.16380447379698335,0.09143340705034418,1.117911474172363e-15,0.03996668738091258,0.06222478936274313
Guyana__None,0.5431712144991038,0.8225613156129956,1.5309326772379037,0.7052753901607094,1.464818495963034e-14,0.35358688097077084,0.357269003548109
Haiti__None,0.5581851051935828,0.9933425266090219,1.128453657717614,0.8345550028439188,-9.546019533874903e-15,0.4277774434913435,0.7306133122920612
Honduras__None,0.25458831213238536,0.4442047929259332,0.5406729157721705,0.37981467442112465,-3.556971736071129e-15,0.19379842623243254,0.3309448083997175
Hungary__None,0.04711307782400382,0.07235064537573412,0.802109273384942,0.1451706935281495,1.2900635590956984e-14,0.08659171613145603,0.0962488003094105
Iceland__None,0.022141462358442325,0.29974500441877944,1.6299434019133792,0.21972523826959903,2.6595539898103133e-14,0.20334147759667923,0.003023407649119531
India__None,0.4469201441007283,0.7511251818715371,1.0073788923482683,0.7491742886129139,-1.0115958309776384e-14,0.3669341655064373,0.7767518023573373
Indonesia__None,0.2993658285971353,0.4150457385620042,0.91514802780111,0.4319520701202288,4.430899525480473e-15,0.21504125042277378,0.3611291347533096
Iran__None,1.0315888782442688,0.940954882514045,0.9764521211657612,1.0745060741655423,-1.0104198532964319e-14,0.39205334169670175,0.9890719337533276
Iraq__None,0.5043785057186954,0.9680920172732981,0.8229760520262909,0.9020349288461585,-2.3613497310392083e-14,0.4485358646000735,0.9909970319323427
Ireland__None,0.41929377180829736,0.42772485881346956,1.7825707257941334,0.5487228406772404,2.544544169154896e-14,0.25781663939377714,0.3358921105710709
Israel__None,0.4468109179348128,0.09438882784960226,0.21407843368159357,0.2714047910212016,5.184548430291043e-15,0.022084905379197096,0.19526523666426382
Italy__None,0.07638524281692949,0.1541344642733599,0.11662950475481515,0.12097504019073488,-2.590462842296711e-15,0.06351713003476168,0.10664002638659492
Jamaica__None,0.56386791495089,0.9595967959533463,1.2276215693187431,0.9857308130024407,-1.766618125595551e-14,0.48070411498637317,1.0971909868092913
Japan__None,0.08335682441877229,0.11556728073206596,0.25481810608806793,0.12027475892978641,1.2337604311539602e-15,0.05987709364921257,0.10055448886467115
Jordan__None,0.2092941420535936,0.37682079077731295,0.3972075648037502,0.35904349227780596,-7.322492016970067e-15,0.17727879513453196,0.38229928415254216
Kazakhstan__None,0.4706459943190073,0.810075896371553,1.0381671160121937,0.8744647168649544,-2.4926701785147757e-14,0.4379571350677216,1.1784206156775792
Kenya__None,0.25567909805071987,0.38892224762751104,0.6946537960603528,0.4290167884978217,-2.9619578278049785e-15,0.20676601844415954,0.4549460220281382
"Korea,_South__None",0.5406402680895481,0.9900615554311136,0.9768396984793122,0.9311760780850692,-2.0459439559958924e-14,0.46083605855676635,0.9947050159374193
Kosovo__None,0.19326650881272966,0.38187413848431073,0.29670981702172033,0.30953444826547843,-6.063649813638052e-15,0.15813688463254408,0.2693614929133559
Kuwait__None,0.19226141220038775,0.2222792945751741,0.7122196058326529,0.38691110495391007,-3.745882805203316e-15,0.17638717674764468,0.548465436142746
Latvia__None,0.1653238751112239,0.2675468478475626,0.2603001380411873,0.43041245072344436,-2.690480607632494e-15,0.15613573974322942,0.36385371781982817
Lebanon__None,0.48597077083950585,0.8846496685517932,0.8907969901881961,0.8492587128342348,-1.9246580874846902e-14,0.418874641851777,0.9315653890136304
Liberia__None,0.4611541556965968,0.834211284612872,0.8657059169071885,0.7821936218320652,-1.55162187317999e-14,0.3872409565454157,0.8150665876685329
Libya__None,0.763607523375712,1.1605009195300129,1.0386502743703598,1.9134138339310296,2.583814058930231e-14,0.5893178835664717,0.7874676289930588
Lithuania__None,0.21864255143163083,0.22281965375065452,0.29030837511730434,0.24780179499921398,-1.7439751349261716e-15,0.09925924932014626,0.23257114117615382
Luxembourg__None,0.7162634821723151,0.3461416132659555,0.31138237879969594,0.4880029061154415,2.845073658080593e-15,0.09612782449755851,0.32986299192567897
Madagascar__None,0.15626571152336494,0.6686798638264643,0.3029168197489791,1.8055440849999898,9.943250119083287e-15,0.5222475422211247,1.0299067751215523
Malawi__None,0.6034645577355964,0.8701124188270615,1.84297388710076,0.9025390774262005,4.427847100141986e-15,0.45083316134339435,0.835707252568006
Malaysia__None,0.2797156538650108,0.3133896172313091,0.4519173552596979,0.3427645146360526,-2.485941350561759e-15,0.14650955528373272,0.33508561832197026
Mali__None,0.3651916893053914,0.5792005157075802,0.4971985295139113,0.861501958282623,1.081866508145761e-14,0.2781342276466726,0.34635204092869676
Malta__None,0.5953326344357076,0.6491534003499735,0.5876709984786362,0.6893710248208811,-8.943973058182417e-15,0.26889113023035127,0.637317621074209
Mauritania__None,0.6030044517362535,0.9320633399168932,0.5774242525904325,1.6649985982848026,1.3428669997908402e-14,0.49279418841460493,0.8105162866672256
Mauritius__None,0.0010495265988912316,0.0007828273015269028,0.005754703206560816,0.0008967987266920766,8.067201275668848e-17,0.0005658850322061851,0.0007249421220027379
Mexico__None,0.2462168179102654,0.3930020295107987,0.34688633432673804,0.5833854437488264,4.912513046667177e-15,0.19467502981404539,0.28964091552101323
Moldova__None,0.5050792648660666,0.9727474313432208,0.8184714937419894,0.8923459749759342,-2.2741802405745154e-14,0.44499735039099597,0.958925664012914
Monaco__None,1.0572613071457253,1.9397397800668283,1.9605471729009418,1.5398185369909325,-1.205348214908096e-14,0.7850484332713182,1.112286120429291
Mongolia__None,0.3174876639606735,0.5943796645954046,0.5795885040040023,0.6778192699511596,-2.4843349566505705e-14,0.33174402756726507,0.9665277942683784
Morocco__None,0.3815603628598069,0.625130360121714,0.9031019004588997,0.6573635504882418,-9.282560211231868e-15,0.31930656785747563,0.7193860157194762
Mozambique__None,0.6063099805599733,0.9348605716611962,1.6675261782554258,0.9854760980518384,-8.642666211900399e-15,0.4927909379041479,1.0825843039707008
Namibia__None,0.6494082871419683,1.0491064061388498,0.5781210111505293,1.948288652247645,-1.1348351435958966e-14,0.6310855466287495,1.5108612201689557
Nepal__None,0.5054744828807607,0.6043179064682735,1.8717246115268336,0.7529683616720653,1.526474946484307e-14,0.3559221046826741,0.6553348170930898
Netherlands__None,0.14977647031870991,0.275029397813373,1.0158612056309764,0.30086136455646073,1.1834241778776357e-14,0.16909470588952757,0.20592051930365296
New_Zealand__None,0.4012318704616875,0.0032773583274113703,0.47503642650786493,0.20146701421052363,1.608031203756028e-14,-0.005042268555970735,0.05219473314163637
Nicaragua__None,0.3470025353240311,0.48109005704274566,1.0607713222710293,0.5006866153447159,5.1359681775036466e-15,0.2492597750572438,0.4185939521755054
Niger__None,0.5472399734237209,0.8518032201823125,1.3075167384962587,1.045697826521111,-7.12003944122204e-15,0.4638806647722072,1.0189943710283278
Nigeria__None,0.23470928247590828,0.37945610449388,0.5866392413476875,0.3473544793066171,-5.746096773351093e-16,0.17421723279461948,0.29733887358077893
Norway__None,0.05299224755649495,0.038687089332007006,0.053593491193013,0.04425442909112169,6.788631625271463e-16,0.013575483253033373,0.02328995916523832
Oman__None,0.4654129053242996,0.7691500799393979,1.0941306391161925,0.7470110628102422,-6.289478867077689e-15,0.3673177385434519,0.7137324498838816
Pakistan__None,0.49988440759622715,0.8846050758733188,1.0056158559065578,0.8011308833163785,-1.0745637349435311e-14,0.39879504760812406,0.7496441482263109
Panama__None,0.5448313820865095,0.9909629565130063,1.0021081669106802,0.947521805700363,-2.1057598987053386e-14,0.4676358493059,1.0309769690406423
Paraguay__None,0.19124549790219467,0.3298357694089831,0.3755782061475063,0.46510609114042717,-1.912764520232227e-14,0.21688347137614644,0.751991987917128
Peru__None,0.23218643647731346,0.5214671739623729,0.34745648874577856,0.38696056451148153,-9.972540191573554e-15,0.21035931286145967,0.348719658733581
Philippines__None,0.5463195004990702,0.9951329391447601,1.0007775494345577,0.9492717222952919,-2.113389895475356e-14,0.4686854212694888,1.0309779543071784
Poland__None,0.27940582313743506,0.5458645318501495,0.43955211780702014,0.46802704384908256,-1.0463478439142652e-14,0.23642801446847575,0.45218014589789945
Portugal__None,0.537521064928714,0.9696677507780084,1.0060161986216938,0.9619894447240093,-2.2939868139753083e-14,0.4719657107105768,1.099415708658804
Qatar__None,0.33111318985312677,0.46393817606703197,1.0521489707082614,0.4777209387186727,5.339666867711198e-15,0.23851181540230623,0.4045379110123832
Romania__None,0.45303056978058304,0.8734007720422047,0.7325997241194632,0.797429252447877,-2.0153569706816833e-14,0.39801434863473995,0.851059752259418
Russia__None,0.4026280447394815,0.669768669625403,1.156665160084586,0.7002186072744433,-9.697540070347484e-15,0.3612689833430305,0.8272099485153755
Rwanda__None,0.28774998769755195,0.33657912557011066,1.1026297836994166,0.3567855742699862,1.642198668304017e-14,0.17224926278095493,0.1621074007415344
San_Marino__None,0.19430100850687884,0.3763229453890489,0.280427736978931,0.38607754291750385,-1.3953590360240783e-14,0.18858931511641777,0.5049816409765482
Saudi_Arabia__None,0.489103250608249,0.8532639482732126,1.020243612381188,0.7805552124550813,-9.320991542264045e-15,0.38782797590905926,0.7265217697369879
Senegal__None,0.13213848109204826,0.15730883959128494,0.16745651311385965,0.41950193949874437,9.424350540146228e-15,0.10122494567664746,0.13236850992462915
Serbia__None,0.34921507455295014,0.6634608636695118,0.5907801551943078,0.4655620940959571,-1.2629011806627959e-15,0.24333388576386505,0.2348001661314999
Sierra_Leone__None,0.879913785157931,0.6669111151616601,0.669110079511865,1.0607642856078965,1.877411206822497e-14,0.2629826258687783,0.4168547147537226
Singapore__None,0.043672170740748285,0.028766146868120818,0.35029662108338816,0.07946705601284067,5.7966158563724325e-15,0.03637087775030887,0.05826165156923551
Slovakia__None,0.015133519995833662,0.028331987539478177,0.02762694495048702,0.03230925998006178,-1.1841950730871516e-15,0.015813070694015958,0.0460709796362386
Slovenia__None,0.13041658064629794,0.09210235028144974,0.09513804093085924,0.11049137593896441,8.158523498096802e-16,0.03146588838733135,0.06601891854023093
Somalia__None,0.31074836690939295,0.4050635636334891,0.3090021003379444,1.1283947841853408,3.4696798058133614e-15,0.308173352929451,0.7835238869032541
South_Africa__None,0.2609524083693947,0.46642879791590264,0.5064727460975074,0.441385772679544,-8.261046814713174e-15,0.21815788017601223,0.4588584834665685
South_Sudan__None,0.4769628279574583,0.3903458941147441,0.6148312319397984,1.9168163095635071,4.2656191851096416e-14,0.4015131449987065,0.7701587789737645
Spain__None,0.08884378285479035,0.12130147765914967,0.29105237022773656,0.10516583023235004,4.349380725443134e-15,0.05253288823013513,0.03129974100719489
Sri_Lanka__None,0.36548509029854137,0.525480412058083,1.1052564598525592,0.5030793172802661,8.963315761949318e-15,0.24744557510341555,0.3312009452907552
Sudan__None,0.4983842781463392,0.661497200330895,1.6954445939389278,0.6712947174203528,1.5983738785934715e-14,0.33482433456074806,0.4614369113886611
Suriname__None,0.7066190897749762,1.0583227675054039,1.1055363355499046,1.9057180987678333,-2.7792378292028685e-15,0.6415598096315717,1.4859551890820173
Sweden__None,0.42336931470913575,0.7069207135043442,1.0000209182741633,0.7583634982029243,-1.772064861663783e-14,0.37965724835747605,0.9727898659052815
Switzerland__None,0.20951192595162632,0.1127315341586232,0.12349645998389094,0.13958121296547854,4.1522842583553754e-15,0.026341495885270506,0.025259115702806086
Tajikistan__None,0.3363263306293183,0.7184424166585187,1.8977030341500252,0.7045416280889286,8.507214754265323e-15,0.4190780583159394,0.657270535843879
Tanzania__None,0.0001676924480276941,0.0011427044190229106,0.0008524128362859337,0.0002096111696470545,-1.4391849936050542e-16,0.0006392368085392473,0.0028236962627214385
Thailand__None,0.0014138253092582619,0.12127405300635208,0.6114693649598322,0.09154936172073902,8.597192735510782e-15,0.08397717432190394,0.03194308933160411
Togo__None,0.6316818866917592,0.9053087485409196,0.831121994209496,1.6851646414182535,3.0020826157096585e-14,0.4783519050344981,0.5820133980039716
Trinidad_and_Tobago__None,0.41422831252779463,0.5900121215727877,1.2715639745493716,0.557248064017105,1.1845610505069972e-14,0.2746407645870601,0.3383896596429863
Tunisia__None,0.14178445790424393,0.2548941540158657,0.2671773816478131,0.2571669382122485,-6.332097198559488e-15,0.125836595396635,0.3003161883765516
Turkey__None,0.42052044689002593,0.7651676265652659,0.8008303425489343,0.6302970493245443,-8.704166169782866e-15,0.32476296138632244,0.5547650382519893
US__Alabama,0.34822006602713,0.998093429526746,0.8936476152285633,1.0014306432277704,-4.649566273568866e-14,1.0505697962766654,0.9962147882408083
US__Alaska,0.34330127996489024,0.6043202491598619,0.6653638932572142,0.6141664808448807,-8.922244716329597e-15,0.2876008072822419,0.5979423968356967
US__Arizona,0.5723188191180341,0.9918733199533536,1.0171126739532916,1.0018044798044106,-5.698927809763037e-15,0.4434119185407365,0.757113790824752
US__Arkansas,0.3470352086602453,0.5444078591180179,0.7254431149620835,0.7383220986360601,-4.860774651116683e-15,0.30282949165501516,0.6788630968482016
US__California,0.489347161763615,0.9104604081578093,0.7972816311191169,0.9462211146225036,-1.8613573472908547e-14,0.43542146856514563,0.9510392045564998
US__Colorado,0.44697292602037736,0.7196758619387407,0.6370998138628736,1.0502958648808347,7.13401808282044e-15,0.3571558420233295,0.5549964624782122
US__Connecticut,0.40294927267874364,0.5071440643959674,0.5225479351807143,1.2502680532432717,2.5992435809568206e-14,0.3159210616509035,0.42150057897218657
US__Delaware,0.4061477674424785,0.5342692287479222,0.5380579809761366,1.192567977408826,2.146112330981931e-14,0.3178675706032783,0.457461589162263
US__District_of_Columbia,0.4455831941212938,0.6123161132581995,0.5885003741326452,1.2488044049650915,2.232258087394854e-14,0.34322782486971526,0.4573907603427796
US__Florida,0.5682358402851098,0.9787972541581987,1.1633176061522785,1.0047406801234056,-1.2219556571095234e-14,0.46950003894902376,0.9616769483810256
US__Georgia,0.5240219647822559,0.9785148429281997,0.8528217959275315,1.0047196961253975,-1.9961834274338253e-14,0.4650696287934205,1.0087863467364178
US__Hawaii,0.18426873206125097,0.3874220298979914,0.2815599586544036,0.2664065777467669,-7.991391521368312e-15,0.1541624783539154,0.26218548214041043
US__Idaho,0.21135972054201171,0.3461985375051792,0.45690888042578165,0.350100226169261,-5.539968851583912e-16,0.15932974847728862,0.27240826270889384
US__Illinois,0.5020140391345533,0.6469331120528821,0.6759337290817123,1.5421901691770017,2.5791030688641397e-14,0.40693066375495296,0.6551863524021493
US__Indiana,0.48753277871614187,0.8108588714371082,0.706406871461078,1.0959470091135088,4.033489875504839e-15,0.392732704423593,0.6290561173126755
US__Iowa,0.9601768670243795,0.7137346016480371,0.760107792524555,1.217944511763502,2.5151144721765705e-14,0.292301623520442,0.42563313378911366
US__Kansas,0.24908893666647763,0.6685717392871108,0.6357763260822105,1.0977789549196253,-1.3282991131976216e-14,0.9222335774683951,0.49000691498794025
US__Kentucky,0.2951549106803652,0.48065732578155856,0.46703479510653595,0.7642535508612068,-5.477536646832492e-15,0.28008992217536227,0.6592309693174911
US__Louisiana,0.5581830597992913,0.9217176528663562,1.0559283886416295,1.0234285484990926,-6.768189603893644e-16,0.4288163087492867,0.7288260812122184
US__Maine,0.40221570039345944,0.6753905346064879,0.5953752140854425,0.8985876246433767,5.348627551071705e-16,0.3311034225706199,0.5744798600784738
US__Maryland,0.4082465864007696,0.5623554750404566,0.5386463760475948,1.140786050093219,2.0475141269377962e-14,0.31389323780887035,0.4144843078518568
US__Massachusetts,0.39434169297306126,0.41919059046189155,0.45185753506677945,1.3306085949484592,4.275454313782972e-14,0.2747859762095524,0.16492973253806806
US__Michigan,0.4593083607327597,0.7441107727392232,0.6899345215380626,1.0936073790410854,3.1401707514313423e-16,0.3891158705808842,0.7438826313357433
US__Minnesota,0.41530986642975787,0.19584995642010877,0.8649977690239593,1.5663083320214175,7.05737936049539e-14,0.25905721470416676,0.07737694798887867
US__Mississippi,0.4249628499656179,0.7756297912915197,0.6729383807431513,0.8417095634768407,-1.1544991984728698e-14,0.36801469871664483,0.7470625007595578
US__Missouri,0.5162771852908415,0.9526492977412494,0.8375475252778096,1.0134188449091925,-1.847337358679628e-14,0.45835376346137635,0.995647312596343
US__Montana,0.12420039974133806,0.19893229481285693,0.2934998186475114,0.21337202216252843,-7.23140442441292e-16,0.09777340739663958,0.18728975336120576
US__Nebraska,0.42273128968521734,0.3675949495118885,0.3961201290431327,1.0683655949766235,3.5120751565212764e-14,0.21177464642924698,0.12052151399248863
US__Nevada,0.5258602277786164,0.9941693580931915,0.8860565455307471,1.002047334327342,-2.6548488039862933e-14,0.48428897708700774,1.1500368361805073
US__New_Hampshire,0.34799047359501906,0.46662551705615457,0.5698993145582444,1.077784646984314,-2.9704020259149046e-15,0.3414967724090276,0.9351842891156044
US__New_Jersey,0.38986334953024304,0.4839236661850061,0.46264396996393753,1.171748696445518,3.263098407154573e-14,0.2749987213354194,0.20362341061554692
US__New_Mexico,0.3975986259236378,0.6128322335481602,0.6023865296328788,1.0776160768006917,4.02820097363996e-16,0.36185325996496,0.7767959721015433
US__New_York,0.30525542997618454,0.18061454021463935,0.2967181925939346,1.3136415977919365,4.9953953979628645e-14,0.20567547040226195,0.09284895710103683
US__North_Carolina,0.5265288510031596,0.9866406586582694,0.8501586045511864,0.9971629579815765,-1.897374316066028e-14,0.4623510042436482,0.97458487476677
US__North_Dakota,0.37260237356288156,0.4846561358943079,0.5072212061605927,1.1473080533757751,2.0017226159070552e-14,0.3071302471537478,0.4630934557934332
US__Ohio,0.4971917721057982,0.8844772426586259,0.799568973470023,1.044494009516505,-1.447534440087483e-14,0.44231869903847526,0.9675227437931624
US__Oklahoma,0.5054763307948177,0.7980785551101092,1.146448066215718,0.9999891258981087,-8.869586668900381e-15,0.4375384378450176,0.9904088404496649
US__Oregon,0.5401944962539575,1.0243062093441726,0.8005488307457392,1.0036879236977945,-1.0452965064804357e-14,0.44837284711634084,0.7524902296188947
