,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others
Afghanistan__None,,,1.1565777844820344,,,,0.23632541775713822
Albania__None,,0.6873195112075701,,,,,0.780076701025098
Algeria__None,,,,,,,0.7018985591686283
Andorra__None,0.1031386741081056,,0.2088642104885098,0.49923027750152354,,,
Angola__None,,1.6401810572376232,1.8439586922730982,,,,0.6070244171951606
Argentina__None,,0.9982116915417553,1.0004676564400958,,,,1.0078107868413706
Australia__Australian_Capital_Territory,0.197682749685558,,0.3835993835764311,,,,
Australia__New_South_Wales,0.01746269360961121,,0.41569365024207794,,,,
Australia__Queensland,0.2225787248077353,,0.19282839799418341,,,,
Australia__South_Australia,0.00040316709004086215,,0.004242651690046376,,,,
Australia__Tasmania,0.0009152406902349793,,0.005407992813160914,,,,
Australia__Victoria,0.7245828634222404,,1.1541430218207407,,,,
Australia__Western_Australia,0.3381406274012001,,0.29297569130212836,,,,
Austria__None,0.13803258220904532,0.019789136347210558,1.3999003783571646,,,,0.006832683930120678
Azerbaijan__None,0.9628496574154105,0.9608824145542334,0.9982292418347682,,,,0.9753621259156937
Bahrain__None,,,1.0034456733519679,,,,0.7521939682960278
Bangladesh__None,,0.8015998038948723,1.1866901026421672,,,,0.6578111151308216
Belarus__None,0.47561907518620555,,1.0462111531830967,1.213142915995313,,0.8508398175653284,
Belgium__None,0.06036304665366289,0.12119282201116281,1.3428910208152773,,,,
Benin__None,1.8855294456689522,,1.921258953985414,,,,0.47666883732913523
Bolivia__None,,0.4743001965751423,,,,,
Bosnia_and_Herzegovina__None,,0.8653794909329932,,,,,1.0294218437661322
Brazil__None,,,0.6968367652960424,,,,
Bulgaria__None,,,0.5102842775238134,,,,0.20922062286437632
Burkina_Faso__None,0.4584779924921994,0.26115726859621125,0.24346596669581394,0.27325186362430665,,,
Burundi__None,,,1.4191715134443614,,,,
Cambodia__None,,,0.22522390912711412,,,,0.2617940090459281
Cameroon__None,,,,0.486119598412693,,,0.3374428235429746
Canada__Alberta,,,0.08920035704360918,1.9548015368577325,,,
Canada__British_Columbia,,,0.6453325138774103,0.8027345633112972,,,
Canada__Manitoba,,,0.35393741510450283,0.2504003351057381,,,
Canada__New_Brunswick,,,0.11618477017994894,0.12142610129042239,,,
Canada__Newfoundland_and_Labrador,,,0.0017911338198356793,0.0011574284863052676,,,
