Component,Singular Value,Explained Variance (%),Cumulative Variance (%)
1,13.43581892034094,85.35216641832777,85.35216641832777
2,3.7680574988769027,6.713072034699756,92.06523845302752
3,2.7115546837249727,3.4763460329043787,95.54158448593189
4,2.38419852334626,2.687639988014178,98.22922447394608
5,1.8048310539980814,1.5401370712647187,99.76936154521078
6,0.6984297457746292,0.2306384547891924,99.99999999999997
7,2.9152539122296734e-15,4.0182692920670374e-30,99.99999999999997
