year,month,c,i,g,x
2020,1,0,0,0,0
2020,2,0,0,0,0
2020,3,-3.6,-0.1,0.4,-3.2
2020,4,-19.1,-3.3,0.2,-8.5
2020,5,-19.1,-8.5,0.2,-8.5
2020,6,-19.1,-8.5,0.2,-8.5
2020,7,-6.8,-4.7,1.8,-0.3
2020,8,-6.8,-4.7,1.8,-0.3
2020,9,-6.8,-4.7,1.8,-0.3
2020,10,-10.2,-2.2,2.1,0
2020,11,-10.2,-2.2,2.1,0
2020,12,-10.2,-2.2,2.1,0
