country,start_date,policy_length,policy,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub
BR,2020-03-15,3,actual,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,18467661821.561874,,,893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,
BR,2020-03-15,3,No_Measure-No_Measure-No_Measure,96244287434.875,71692546706.66203,120796028163.08798,0,7319305359580.72,6761738190105.079,7876872529056.359,45986666438.926834,45986666438.926834,45986666438.926834,69634368102.5623,49288011049.17929,89980725155.94533,35271199,26273581.0,44268817.0,1660152,1545871.0,1774433.0,62211016.0,62211016.0,62211016.0,2296899.0,2296899.0,2296899.0,13015761,13015761.0,13015761.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings,97357151375.83763,73793426863.67586,120920875887.9994,0,7027899323143.958,6492554238297.373,7563244407990.542,44264603204.04878,44264603204.04878,44264603204.04878,68897486905.97508,49369912151.12011,88425061660.8301,33851809,25216275.0,42487343.0,1594085,1484352.0,1703818.0,59899984.823529415,59899984.823529415,59899984.823529415,2208099.1764705884,2208099.1764705884,2208099.1764705884,12512562,12512562.0,12512562.0
BR,2020-03-15,3,No_Measure-No_Measure-Mass_Gatherings_Authorized_But_Others_Restricted,90674640358.26678,70764366149.59033,110584914566.94324,0,5959797740319.824,5505974887538.773,6413620593100.874,38656250007.87805,38656250007.87805,38656250007.87805,63346995596.46032,46847084141.50666,79846907051.414,28603236,21306603.0,35899869.0,1352016,1258947.0,1445085.0,52393225.35294118,52393225.35294118,52393225.35294118,1915940.6470588236,1915940.6470588236,1915940.6470588236,10856997,10856997.0,10856997.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,97321029769.47342,77664027423.51788,116978032115.42892,0,5886075326854.584,5437881834998.029,6334268818711.14,38292837914.34146,38292837914.34146,38292837914.34146,62883939783.22671,46593918120.10249,79173961446.35094,28239382,21035567.0,35443197.0,1335311,1243392.0,1427230.0,51907469.176470585,51907469.176470585,51907469.176470585,1896908.8235294118,1896908.8235294118,1896908.8235294118,10749150,10749150.0,10749150.0
BR,2020-03-15,3,No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,85222278820.39229,65589316263.16925,104855241377.61534,0,5879080308244.673,5431420483857.606,6326740132631.738,38258446833.951225,38258446833.951225,38258446833.951225,62839718284.88551,46569618717.32486,79109817852.44618,28204846,21009841.0,35399851.0,1333726,1241916.0,1425536.0,51861502.5882353,51861502.5882353,51861502.5882353,1895107.411764706,1895107.411764706,1895107.411764706,10738942,10738942.0,10738942.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,91718815376.2334,74047715146.35822,109389915606.10858,0,5308703720451.701,4904598583724.5205,5712808857178.881,35494184852.63415,35494184852.63415,35494184852.63415,59127036969.4485,44482759042.95506,73771314895.94194,25386422,18910392.0,31862452.0,1204489,1121575.0,1287403.0,48167907.4117647,48167907.4117647,48167907.4117647,1750153.5882352942,1750153.5882352942,1750153.5882352942,9917537,9917537.0,9917537.0
BR,2020-03-15,3,No_Measure-No_Measure-Lockdown,97731548152.35895,80355305072.41048,115107791232.30743,0,5223036918530.753,4825473492666.651,5620600344394.8545,35083139190.80488,35083139190.80488,35083139190.80488,58559849846.19383,44159923997.15851,72959775695.22916,24962831,18594859.0,31330803.0,1185079,1103501.0,1266657.0,47618773.5882353,47618773.5882353,47618773.5882353,1728583.411764706,1728583.411764706,1728583.411764706,9795306,9795306.0,9795306.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-No_Measure,94326508965.59364,71535894235.7722,117117123695.41505,0,6737942243929.088,6224251430780.165,7251633057078.012,38827736192.48781,38827736192.48781,38827736192.48781,66385952865.98371,47499064563.75505,85272841168.21237,32741152,24388944.0,41093360.0,1527764,1422597.0,1632931.0,52360803.76470588,52360803.76470588,52360803.76470588,1964167.2352941178,1964167.2352941178,1964167.2352941178,11130281,11130281.0,11130281.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,93543913332.76173,72224842015.72072,114862984649.80275,0,6305769468903.215,5825045801644.944,6786493136161.485,36422732752.463425,36422732752.463425,36422732752.463425,64078278881.39841,46410878355.10484,81745679407.69197,30627122,22814199.0,38440045.0,1429800,1331376.0,1528224.0,49140161.5882353,49140161.5882353,49140161.5882353,1839115.411764706,1839115.411764706,1839115.411764706,10421654,10421654.0,10421654.0
