policy,st_term_unemployment_costs,st_term_gdp_impact,st_term_sick_worker_cost,st_term_sick_worker_cost_lb,st_term_sick_worker_cost_ub,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,region,dict_region_policy_gamma,dict_region_policy_counts,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub,country,start_date,policy_length
actual,3294568747.88475,23800000000.0,0.0,0.0,0.0,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,48565776309.25702,,,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,,BR,2020-03-15,3
No_Measure-No_Measure-No_Measure,0.0,-0.0,66265254693.60539,49361108313.79128,83169401073.41951,66265254693.60539,49361108313.79128,83169401073.41951,0,4933100973620.237,4556531125087.515,5309670822152.96,24366639839.48781,24366639839.48781,24366639839.48781,101460975204.8265,87452282227.26004,115469668182.39299,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",24284610,18089650.0,30479570.0,1117928,1040973.0,1194883.0,32697827.23529412,32697827.23529412,32697827.23529412,1256866.7647058824,1256866.7647058824,1256866.7647058824,7122245,7122245.0,7122245.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings,1882610713.077,3103333333.3333335,57533400384.73043,42856735532.55767,72210065236.90318,62519344431.14076,47842679578.968,77196009283.31352,0,4289034817533.1177,3961673315581.846,4616396319484.39,21549384771.951225,21549384771.951225,21549384771.951225,94224770347.77798,82062021207.46971,106387519488.08624,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",21084597,15705955.0,26463239.0,972028,905116.0,1038940.0,28947085.29411765,28947085.29411765,28947085.29411765,1107084.705882353,1107084.705882353,1107084.705882353,6273480,6273480.0,6273480.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,8471748208.8465,11792666666.666666,32567285736.27488,24259432177.908997,40875139294.64076,52831700611.78805,44523847053.422165,61139554170.15393,0,2457089102755.13,2269772121923.6045,2644406083586.6553,14126629215.439026,14126629215.439026,14126629215.439026,73535016065.32693,66650186320.79116,80419845809.86269,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",11935121,8890494.0,14979748.0,557130,518779.0,595481.0,19075555.352941178,19075555.352941178,19075555.352941178,710837.6470588236,710837.6470588236,710837.6470588236,4028080,4028080.0,4028080.0,BR,2020-03-15,3
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3294568747.88475,4965333333.333333,41631418496.175,31011319278.81864,52251517713.53136,49891320577.39308,39271221360.03673,60511419794.749435,0,3121429129943.8574,2883319961566.104,3359538298321.611,16779148658.853659,16779148658.853659,16779148658.853659,81046584534.2897,72245565779.21695,89847603289.36246,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",15256906,11364897.0,19148915.0,707582,658874.0,756290.0,22602890.647058822,22602890.647058822,22602890.647058822,852474.3529411765,852474.3529411765,852474.3529411765,4830688,4830688.0,4830688.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,9413053565.385,13034000000.0,28981245074.202393,21588183244.86887,36374306903.53592,51428298639.587395,44035236810.253876,58821360468.92092,0,2194084001484.5806,2026872346430.5576,2361295656538.604,13061734823.634148,13061734823.634148,13061734823.634148,70563216039.97746,64436486478.82241,76689945601.1325,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",10620924,7911546.0,13330302.0,497566,463315.0,531817.0,17658773.70588235,17658773.70588235,17658773.70588235,654077.2941176471,654077.2941176471,654077.2941176471,3706438,3706438.0,3706438.0,BR,2020-03-15,3
No_Measure-No_Measure-Lockdown,12236969635.000502,17378666666.666664,27923603517.708736,20800343975.629772,35046863059.787704,57539239819.3759,50415980277.296936,64662499361.45487,0,2116465945869.5808,1955187295833.3972,2277744595905.764,12743784611.04878,12743784611.04878,12743784611.04878,69686734287.37457,63783593502.71686,75589875072.0323,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",10233324,7622822.0,12843826.0,479987,446946.0,513028.0,17235625.94117647,17235625.94117647,17235625.94117647,637150.0588235294,637150.0588235294,637150.0588235294,3610517,3610517.0,3610517.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-No_Measure,1882610713.077,3103333333.3333335,52355014324.97678,38999345414.08064,65710683235.87294,57340958371.387115,43985289460.490974,70696627282.28328,0,3872898630831.9805,3577074801941.289,4168722459722.673,17444173778.121952,17444173778.121952,17444173778.121952,89933372320.30795,78865350245.7836,101001394394.8323,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",19186844,14292315.0,24081373.0,877433,817033.0,937833.0,23357367.70588235,23357367.70588235,23357367.70588235,907466.2941176471,907466.2941176471,907466.2941176471,5142309,5142309.0,5142309.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,3765221426.154,6206666666.666667,42958076476.22799,31999551061.64736,53916601890.808624,52929964569.04866,41971439154.46803,63888489983.62929,0,3184852740342.802,2941638270002.6787,3428067210682.925,14796438453.365856,14796438453.365856,14796438453.365856,82146003807.59851,73064526720.82664,91227480894.37036,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",15743094,11727060.0,19759128.0,721619,671945.0,771293.0,19842403.29411765,19842403.29411765,19842403.29411765,765183.705882353,765183.705882353,765183.705882353,4336041,4336041.0,4336041.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,10354358921.923502,14896000000.0,20741235019.497765,15450183938.521046,26032286100.47448,45991593941.421265,40700542860.44455,51282645022.39798,0,1563167946073.1675,1443983954326.1572,1682351937820.1782,8796071667.658537,8796071667.658537,8796071667.658537,63734609117.46173,59349844074.813126,68119374160.11035,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7635616432286981, 'Lockdown': 0.49986259283383605, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.1710086716093235, 'Restrict_Mass_Gatherings': 1.0222905703149394, 'Restrict_Mass_Gatherings_and_Schools': 0.5990337008598553, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.523813689449863}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",7601160,5662118.0,9540202.0,354423,330025.0,378821.0,11878408.11764706,11878408.11764706,11878408.11764706,442482.8823529412,442482.8823529412,442482.8823529412,2507403,2507403.0,2507403.0,BR,2020-03-15,3
