policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",27006300330.20799,1009787993413.6208,4047172783.0975614,50756051243.27436,228697,5042873,1064591217439.9928,27006300330.20799,1091597517770.2008
Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",29335951412.027992,818058911787.6088,3466637631.439025,48554745613.08584,185305,4069406,870080295032.1335,29335951412.027992,899416246444.1615
Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",39214417161.936264,427283124129.85034,2218953721.97561,44079688929.82918,96855,2090435,473581766781.6551,39214417161.936264,512796183943.5914
Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",31206422375.800724,716666266998.1102,3153972194.1951227,47391657040.9476,162357,3555062,767211896233.2529,31206422375.800724,798418318609.0537
Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",40905841925.80997,391595822353.701,2096189025.5121953,43672613356.71239,88776,1910417,437364624735.9256,40905841925.80997,478270466661.7356
Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Lockdown,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",46805044684.909004,299155702035.24725,1763944590.0731707,42620661133.11692,67847,1445220,343540307758.4374,46805044684.909004,390345352443.3464
Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",31720729964.21099,315818807761.34766,1301017489.682927,42905879511.48586,71538,1571350,360025704762.5164,31720729964.21099,391746434726.7274
Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",35832015903.91329,252906996694.2245,1121446055.5609756,42181038599.56357,57302,1250809,296209481349.349,35832015903.91329,332041497253.26227
Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",49474927018.17763,134806029372.83188,757573049.4146342,40825628312.83008,30573,651416,176389230735.0766,49474927018.17763,225864157753.2542
Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",38663218878.56855,221011322287.782,1027558690.8292685,41814121538.94543,50084,1088550,263853002517.5567,38663218878.56855,302516221396.12524
