policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",34135045606.546307,2517385574850.568,10889492844.731709,67640748589.62291,570258,12509667,2595915816284.923,34135045606.546307,2630050861891.469
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",31718792158.1661,1978907991989.9124,9028483143.658539,61506448179.892746,448349,9796941,2049442923313.4636,31718792158.1661,2081161715471.6296
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",31832724129.802757,874832025369.153,5102853668.268293,48939391303.58119,198382,4239505,928874270341.0024,31832724129.802757,960706994470.8052
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",30955001627.74873,1685339846240.724,8015484427.097562,58160311752.77373,381888,8317204,1751515642420.5955,30955001627.74873,1782470644048.3442
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",32787014204.939854,784945805582.4465,4751866046.560976,47921442320.73363,178027,3789345,837619113949.7412,32787014204.939854,870406128154.681
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",37061476518.4767,572332307538.8099,3864337589.414634,45523045884.060684,129872,2728720,621719691012.2853,37061476518.4767,658781167530.762
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",27737729469.34603,1673291523104.005,6923923541.780488,58207288099.33867,379003,8337978,1738422734745.124,27737729469.34603,1766160464214.47
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",27069542492.811012,1263848241991.455,5615602040.560976,53521633835.84037,286325,6265876,1322985477867.8564,27069542492.811012,1350055020360.6675
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",32204592280.887287,527275833591.4613,3111833985.5121956,45115644683.04819,119581,2548558,575503312260.0217,32204592280.887287,607707904540.909
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",27461473673.961105,1055040206927.6106,4937540865.292684,51133259502.17964,239060,5209683,1111111007295.083,27461473673.961105,1138572480969.0442
