policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",36824036503.98355,2717064483932.0083,11839439072.195122,69869151435.60463,615504,13495117,2798773074439.808,36824036503.98355,2835597110943.7915
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",32329198139.967117,2026806481537.3208,9417056794.682928,62012299809.34454,459227,10020640,2098235838141.3481,32329198139.967117,2130565036281.3152
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",30297261074.45047,764815108743.3639,4817903493.512196,47666932461.97343,173491,3676795,817299944698.8495,30297261074.45047,847597205773.2999
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",30577197656.268112,1661101030198.6162,8136704443.463415,57847220531.05447,376432,8178748,1727084955173.134,30577197656.268112,1757662152829.402
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",31318043950.022648,679418293490.1047,4458490128.292684,46704086955.25442,154149,3251003,730580870573.6519,31318043950.022648,761898914523.6746
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",35994772971.24745,495212244200.5182,3608547107.2682934,44639054338.11313,112417,2337799,543459845645.89966,35994772971.24745,579454618617.1471
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",27322004845.877304,1642141762507.2847,6752478287.634147,57862771524.37916,371942,8185625,1706757012319.2979,27322004845.877304,1734079017165.175
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",25522899980.655434,1150943378902.305,5189829123.439025,52239910428.33887,260760,5699069,1208373118454.0828,25522899980.655434,1233896018434.7383
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",30503833166.278767,402360044460.86163,2589429583.02439,43706202778.67617,91289,1925271,448655676822.5622,30503833166.278767,479159509988.84094
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",25557473289.86776,916208714279.4731,4424247939.878049,49555388830.05963,207626,4511913,970188351049.4109,25557473289.86776,995745824339.2787
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",32090653469.19224,358596358136.86316,2407285461.658537,43212440084.852394,81377,1706918,404216083683.3741,32090653469.19224,436306737152.56635
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",38019517125.399345,266982031089.94986,1986596819.9268293,42185068244.7729,60622,1252591,311153696154.6496,38019517125.399345,349173213280.04895
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",22280174354.625374,150795945697.78854,708602419.3170732,41023065098.95368,34180,738727,192527613216.0593,22280174354.625374,214807787570.68466
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",26642641977.914757,105979539053.21138,581556633.6585367,40506381819.360085,24039,510238,147067477506.23,26642641977.914757,173710119484.14478
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",41188131189.61479,52860307105.50175,406053331.6829269,39898950115.58251,12015,241618,93165310552.76718,41188131189.61479,134353441742.38197
