policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",33174695612.73784,2446157602033.5137,10555844909.634148,66844893660.77922,554119,12157722,2523558340603.9272,33174695612.73784,2556733036216.665
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",31488834251.73693,1960952423662.9656,8887546507.82927,61315878976.54175,444272,9712667,2031155849147.3367,31488834251.73693,2062644683399.0735
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",32550302273.04043,926371996696.1307,5243528111.853659,49534057941.58621,210044,4502480,981149582749.5706,32550302273.04043,1013699885022.611
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",31084448113.29698,1693575380420.6392,7969458417.585366,58267585792.66467,383741,8364643,1759812424630.8892,31084448113.29698,1790896872744.186
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",33500592083.67334,836321325837.6482,4900657179.000001,48512793885.856,189653,4050854,889734776902.5042,33500592083.67334,923235368986.1775
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",37658531003.53901,615604194039.2655,4010607049.3902445,46017832948.97304,139667,2947526,665632634037.6288,37658531003.53901,703291165041.1678
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",27883815527.163376,1684249258550.9792,6985074840.512196,58328351576.090744,381487,8391515,1749562684967.5823,27883815527.163376,1777446500494.7456
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",27653144519.479317,1306448786604.6924,5775633627.365854,54005272667.93453,295971,6479752,1366229692899.993,27653144519.479317,1393882837419.4722
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",33001987434.364883,585653258255.368,3343018734.0,45776456748.6729,132801,2840784,634772733738.0409,33001987434.364883,667774721172.4058
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",28208270665.97827,1109462895133.0874,5136553083.146342,51752140192.31798,251382,5483366,1166351588408.5515,28208270665.97827,1194559859074.5298
