region,country,province,model,n_eval_days,mean_daily_ape_cases_pct,mean_daily_ape_deaths_pct,mean_daily_ape_both_pct
Andorra,Andorra,None,delphi,93,16.08097442134354,0.7514396741420479,8.416207047742795
Andorra,Andorra,None,delphi_lookahead,93,13.98127352933202,0.972283040594236,7.476778284963128
Andorra,Andorra,None,delphi_constant,93,39.38810253231779,28.829110772609486,34.108606652463635
Andorra,Andorra,None,themis,93,39.31074630333023,28.74885318808448,34.02979974570735
Andorra,Andorra,None,seir,93,42.68889744507916,40.92409571720919,41.806496581144174
Australia - Australian Capital Territory,Australia,Australian Capital Territory,delphi,93,3.3503641482516726,0.0,1.6751820741258363
Australia - Australian Capital Territory,Australia,Australian Capital Territory,delphi_lookahead,93,1.5424121428498632,0.0,0.7712060714249316
Australia - Australian Capital Territory,Australia,Australian Capital Territory,delphi_constant,93,46.445570577294845,43.6256402674467,45.03560542237077
Australia - Australian Capital Territory,Australia,Australian Capital Territory,themis,93,46.44515680777694,43.625408349850524,45.035282578813735
Australia - Australian Capital Territory,Australia,Australian Capital Territory,seir,93,16.849189084686234,14.22767656285853,15.538432823772382
Australia - New South Wales,Australia,New South Wales,delphi,93,15.401447842396724,2.4674137645132492,8.934430803454987
Australia - New South Wales,Australia,New South Wales,delphi_lookahead,93,8.154788774002322,2.7274269509292552,5.441107862465788
Australia - New South Wales,Australia,New South Wales,delphi_constant,93,38.68334893285426,26.47864207285798,32.58099550285612
Australia - New South Wales,Australia,New South Wales,themis,93,38.681848396602966,26.477358078101044,32.579603237352
Australia - New South Wales,Australia,New South Wales,seir,93,1149.925102953417,2148.0870547308664,1649.0060788421417
Australia - Queensland,Australia,Queensland,delphi,93,5.670115578546129,66.66666666666666,36.168391122606394
Australia - Queensland,Australia,Queensland,delphi_lookahead,93,4.936030874877227,66.66666666666666,35.801348770771945
Australia - Queensland,Australia,Queensland,delphi_constant,93,64.84105159021696,36.47027309610611,50.65566234316154
Australia - Queensland,Australia,Queensland,themis,93,64.84063751377332,36.46972101299789,50.655179263385605
Australia - Queensland,Australia,Queensland,seir,93,911.9726811125925,1659.6181324068891,1285.7954067597407
Australia - South Australia,Australia,South Australia,delphi,93,2.3904222944494817,0.0,1.1952111472247409
Australia - South Australia,Australia,South Australia,delphi_lookahead,93,2.0471512440780315,18.548387096774192,10.297769170426111
Australia - South Australia,Australia,South Australia,delphi_constant,93,25.595888532766118,15.987659497831094,20.791774015298607
Australia - South Australia,Australia,South Australia,themis,93,25.595373715487092,15.987193266461022,20.791283490974056
Australia - South Australia,Australia,South Australia,seir,93,22.940986725267408,5.195818874660246,14.068402799963827
Australia - Tasmania,Australia,Tasmania,delphi,93,0.43808216901536184,0.0,0.21904108450768092
Australia - Tasmania,Australia,Tasmania,delphi_lookahead,93,0.33800074584011996,0.0,0.16900037292005998
Australia - Tasmania,Australia,Tasmania,delphi_constant,93,32.43897322474654,31.22872047622954,31.83384685048804
Australia - Tasmania,Australia,Tasmania,themis,93,32.411519280520075,31.203870712667026,31.80769499659355
Australia - Tasmania,Australia,Tasmania,seir,93,110.26090712838167,78.452202852402,94.35655499039183
Australia - Western Australia,Australia,Western Australia,delphi,93,9.428421130223295,0.0,4.714210565111648
Australia - Western Australia,Australia,Western Australia,delphi_lookahead,93,2.689087156232807,0.0,1.3445435781164035
Australia - Western Australia,Australia,Western Australia,delphi_constant,93,31.394457253563115,20.692826803398464,26.04364202848079
Australia - Western Australia,Australia,Western Australia,themis,93,31.39254789252254,20.691182397948676,26.041865145235608
Australia - Western Australia,Australia,Western Australia,seir,93,13.817972188300573,8.021616624034552,10.919794406167561
Austria,Austria,None,delphi,93,22.12755438857284,10.021385518449327,16.074469953511084
Austria,Austria,None,delphi_lookahead,93,18.497815729006653,4.193409667391508,11.34561269819908
Austria,Austria,None,delphi_constant,93,60.33653114803897,53.97326467528372,57.15489791166135
Austria,Austria,None,themis,93,60.2102250941827,53.89423533553197,57.05223021485733
Austria,Austria,None,seir,93,856.099292731623,2373.347002669519,1614.723147700571
Belarus,Belarus,None,delphi,93,18.214458012337513,12.772137596679105,15.493297804508309
Belarus,Belarus,None,delphi_lookahead,93,4.140093328048517,20.753633574326592,12.446863451187554
Belarus,Belarus,None,delphi_constant,93,37.427894372521465,26.2826196836356,31.855257028078533
Belarus,Belarus,None,themis,93,32.39240197813677,22.735099519049538,27.56375074859315
Belarus,Belarus,None,seir,93,2820.7446501115705,2516.000673520932,2668.3726618162514
Canada - New Brunswick,Canada,New Brunswick,delphi,93,22.972553341392672,50.0,36.486276670696334
Canada - New Brunswick,Canada,New Brunswick,delphi_lookahead,93,5.485037201195331,0.0,2.7425186005976654
Canada - New Brunswick,Canada,New Brunswick,delphi_constant,93,41.89938523274796,49.56335698057891,45.73137110666343
Canada - New Brunswick,Canada,New Brunswick,themis,93,41.877218560218985,49.549220772720716,45.713219666469854
Canada - New Brunswick,Canada,New Brunswick,seir,93,5.941306855627326,86.7436152527494,46.34246105418836
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,delphi,93,1.4251869879323016,0.0,0.7125934939661508
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,delphi_lookahead,93,1.1755481174875062,0.0,0.5877740587437531
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,delphi_constant,93,25.692261466156964,23.96336786953225,24.827814667844606
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,themis,93,25.691107309790183,23.962350696022373,24.826729002906276
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,seir,93,39.03645610066834,42.227796444302676,40.63212627248551
Canada - Ontario,Canada,Ontario,delphi,93,16.27850305308494,1.6653002624609021,8.971901657772921
Canada - Ontario,Canada,Ontario,delphi_lookahead,93,6.5731867018596315,0.9755457322066609,3.7743662170331462
Canada - Ontario,Canada,Ontario,delphi_constant,93,36.54040655440745,25.456424174861876,30.99841536463466
Canada - Ontario,Canada,Ontario,themis,93,30.653345530802337,21.10846207746916,25.880903804135748
Canada - Ontario,Canada,Ontario,seir,93,4778.048828603614,7595.736830412653,6186.892829508133
Canada - Quebec,Canada,Quebec,delphi,93,5.22744730419495,2.2040249290684124,3.715736116631681
