region,country,province,policy,gamma_region_policy,train_policy_days,z_mean
Andorra,Andorra,None,No_Measure,0.2492383588155775,0,0.2492383588155775
Andorra,Andorra,None,Restrict_Mass_Gatherings,0.21758508724599915,0,0.2492383588155775
Andorra,Andorra,None,Mass_Gatherings_Authorized_But_Others_Restricted,0.16649122368880573,93,0.2492383588155775
Andorra,Andorra,None,Restrict_Mass_Gatherings_and_Schools,0.1193851738726616,0,0.2492383588155775
Andorra,Andorra,None,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.19789525689956852,0,0.2492383588155775
Andorra,Andorra,None,Restrict_Mass_Gatherings_and_Schools_and_Others,0.10542782577898928,0,0.2492383588155775
Andorra,Andorra,None,Lockdown,0.05956796775692302,0,0.2492383588155775
Australia - Australian Capital Territory,Australia,Australian Capital Territory,No_Measure,0.163755063380724,0,0.163755063380724
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Restrict_Mass_Gatherings,0.14295817033137204,0,0.163755063380724
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Mass_Gatherings_Authorized_But_Others_Restricted,0.10938838233832363,5,0.163755063380724
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Restrict_Mass_Gatherings_and_Schools,0.07843867535936679,0,0.163755063380724
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.13002152032429484,88,0.163755063380724
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Restrict_Mass_Gatherings_and_Schools_and_Others,0.06926839181004625,0,0.163755063380724
Australia - Australian Capital Territory,Australia,Australian Capital Territory,Lockdown,0.03913746014799303,0,0.163755063380724
Australia - New South Wales,Australia,New South Wales,No_Measure,0.18863541316828078,0,0.18863541316828078
Australia - New South Wales,Australia,New South Wales,Restrict_Mass_Gatherings,0.1646787156959091,0,0.18863541316828078
Australia - New South Wales,Australia,New South Wales,Mass_Gatherings_Authorized_But_Others_Restricted,0.12600845599641156,5,0.18863541316828078
Australia - New South Wales,Australia,New South Wales,Restrict_Mass_Gatherings_and_Schools,0.09035636290760649,0,0.18863541316828078
