policy,st_term_unemployment_costs,st_term_gdp_impact,st_term_sick_worker_cost,st_term_sick_worker_cost_lb,st_term_sick_worker_cost_ub,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,region,dict_region_policy_gamma,dict_region_policy_counts,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub,country,start_date,policy_length
actual,3294568747.88475,23800000000.0,0.0,0.0,0.0,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,48260537234.390045,,,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,,BR,2020-03-15,3
No_Measure-No_Measure-No_Measure,0.0,-0.0,66254012476.85422,49352733953.78901,83155290999.91943,66254012476.85422,49352733953.78901,83155290999.91943,0,4932241441885.197,4555735243941.935,5308747639828.459,24360833645.63415,24360833645.63415,24360833645.63415,101146419554.05469,87140103207.86588,115152735900.24347,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",24280490,18086581.0,30474399.0,1117733,1040791.0,1194675.0,32689985.11764706,32689985.11764706,32689985.11764706,1256574.8823529412,1256574.8823529412,1256574.8823529412,7120591,7120591.0,7120591.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings,1882610713.077,3103333333.3333335,57521407777.29805,42847801790.411224,72195013764.18486,62507351823.70838,47833745836.821556,77180957810.5952,0,4288122216035.509,3960829172178.353,4615415259892.666,21543630186.073174,21543630186.073174,21543630186.073174,93909592838.17754,81749378620.58514,106069807055.76993,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",21080202,15702681.0,26457723.0,971821,904923.0,1038719.0,28939325.470588237,28939325.470588237,28939325.470588237,1106793.5294117648,1106793.5294117648,1106793.5294117648,6271830,6271830.0,6271830.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,8471748208.8465,11792666666.666666,32381740043.399612,24121218400.510864,40642261686.288345,52646154918.91278,44385633276.02403,60906676561.80151,0,2443463594812.0625,2257186297808.081,2629740891816.0444,14070240087.146341,14070240087.146341,14070240087.146341,73076012784.5428,66230407633.61036,79921617935.47523,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",11867123,8839842.0,14894404.0,554044,515905.0,592183.0,19000450.647058822,19000450.647058822,19000450.647058822,707844.3529411765,707844.3529411765,707844.3529411765,4011118,4011118.0,4011118.0,BR,2020-03-15,3
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3294568747.88475,4965333333.333333,42252668305.4928,31474089304.958958,53031247306.02665,50512570386.71088,39733991386.17704,61291149387.244736,0,3166941886843.6934,2925350870802.5137,3408532902884.873,16959080755.609756,16959080755.609756,16959080755.609756,81256183514.27402,72323830435.90553,90188536592.64249,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",15484579,11534491.0,19434667.0,717889,668471.0,767307.0,22842028.23529412,22842028.23529412,22842028.23529412,862102.7647058824,862102.7647058824,862102.7647058824,4885249,4885249.0,4885249.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,9413053565.385,13034000000.0,28840807411.694508,21483570597.82848,36198044225.560524,51287860977.07951,43930624163.213486,58645097790.945526,0,2183757279929.7598,2017334835116.7446,2350179724742.7744,13018039477.7561,13018039477.7561,13018039477.7561,70141594389.35916,64044553499.33395,76238635279.38438,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",10569457,7873208.0,13265706.0,495227,461137.0,529317.0,17600535.05882353,17600535.05882353,17600535.05882353,651763.9411764706,651763.9411764706,651763.9411764706,3693329,3693329.0,3693329.0,BR,2020-03-15,3
No_Measure-No_Measure-Lockdown,12236969635.000502,17378666666.666664,27752200642.65417,20672665683.39578,34831735601.91256,57367836944.321335,50288301985.06294,64447371903.57973,0,2103861125196.699,1943543587056.5093,2264178663336.889,12690479504.195122,12690479504.195122,12690479504.195122,69239451349.53094,63372545713.48961,75106356985.5723,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",10170509,7576031.0,12764987.0,477132,444287.0,509977.0,17164589.647058822,17164589.647058822,17164589.647058822,634326.3529411765,634326.3529411765,634326.3529411765,3594516,3594516.0,3594516.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-No_Measure,1882610713.077,3103333333.3333335,52342896197.64864,38990318896.35906,65695473498.938225,57328840244.058975,43976262942.769394,70681417545.34856,0,3871985653168.901,3576230380502.447,4167740925835.3545,17439133399.17073,17439133399.17073,17439133399.17073,89618090790.68527,78552630774.53476,100683550806.83582,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",19182403,14289007.0,24075799.0,877226,816840.0,937612.0,23350590.70588235,23350590.70588235,23350590.70588235,907208.2941176471,907208.2941176471,907208.2941176471,5140847,5140847.0,5140847.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,3765221426.154,6206666666.666667,42946293978.186356,31990772855.02393,53901815101.34876,52918182071.00702,41962660947.8446,63873703194.16943,0,3183970414066.045,2940820003190.8945,3427120824941.1953,14791759330.243902,14791759330.243902,14791759330.243902,81831000418.47008,72752013028.31746,90909987808.6227,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",15738776,11723843.0,19753709.0,721419,671758.0,771080.0,19836110.588235293,19836110.588235293,19836110.588235293,764944.4117647059,764944.4117647059,764944.4117647059,4334685,4334685.0,4334685.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,10354358921.923502,14896000000.0,20601111156.729282,15345805959.111876,25856416354.346695,45851470078.65279,40596164881.03538,51106775276.270195,0,1552909926195.0254,1434510672462.2878,1671309179927.7627,8756020319.414635,8756020319.414635,8756020319.414635,63313247516.89903,58958105567.540146,67668389466.25792,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7741915538443568, 'Lockdown': 0.4960845870378078, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.170958888121036, 'Restrict_Mass_Gatherings': 1.0222471093296643, 'Restrict_Mass_Gatherings_and_Schools': 0.5955127646545283, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5208772593490644}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",7549808,5623866.0,9475750.0,352100,327862.0,376338.0,11825127.764705881,11825127.764705881,11825127.764705881,440347.23529411765,440347.23529411765,440347.23529411765,2495301,2495301.0,2495301.0,BR,2020-03-15,3
