region,reason
Armenia,policy_data_unavailable
Cabo Verde,policy_data_unavailable
Comoros,policy_data_unavailable
Congo (Brazzaville),policy_data_unavailable
Equatorial Guinea,policy_data_unavailable
Guinea-Bissau,policy_data_unavailable
Maldives,policy_data_unavailable
Montenegro,policy_data_unavailable
North Macedonia,policy_data_unavailable
Sao Tome and Principe,policy_data_unavailable
