display_name,pred_cases_rank1,pred_cases_rank3,pred_cases_rank3_hybrid,pred_deaths_rank1,pred_deaths_rank3,pred_deaths_rank3_hybrid,actual_cases,actual_deaths,cases_rank1_vs_rank3_pct,deaths_rank1_vs_rank3_pct
Brazil,284081.0,284108.0,284081.0,13262.0,13263.0,13262.0,888109.0,43959.0,0.00950433151104965,0.00754034082283665
Germany,9173365.0,93185.0,83132.0,236112.0,4676.0,4243.0,181887.0,8796.0,98.98417865198877,98.01958392585713
New York (US),897973.0,113941.0,116868.0,37376.0,10449.0,10638.0,383311.0,31618.0,87.31131114177451,72.04355736108616
Spain,78054.0,129817.0,128451.0,9439.0,15137.0,14990.0,236311.0,26847.0,66.31690880587392,60.366564248292555
