region_id,display_name,actual_cases,actual_deaths,rank1_cases,rank1_deaths,rank3_cases,rank3_deaths,cases_diff_pct,deaths_diff_pct
Afghanistan__None,Afghanistan / None,30506.0,699.0,273074.0,5043.0,273074.0,5043.0,0.0,0.0
Albania__None,Albania / None,1943.0,41.0,2908.0,65.0,2908.0,65.0,0.0,0.0
Algeria__None,Algeria / None,11632.0,830.0,8964.0,613.0,8964.0,613.0,0.0,0.0
Andorra__None,Andorra / None,742.0,51.0,543.0,41.0,543.0,41.0,0.0,0.0
Angola__None,Angola / None,3166.0,127.0,5061859.0,145465.0,5061859.0,145465.0,0.0,0.0
Argentina__None,Argentina / None,41076.0,989.0,40355.0,932.0,40355.0,932.0,0.0,0.0
Australia__Australian_Capital_Territory,Australia / Australian_Capital_Territory,10.0,1.0,16.0,1.0,14.0,1.0,12.499999218750048,0.0
Australia__New_South_Wales,Australia / New_South_Wales,3000.0,46.0,1177535.0,10524.0,1177535.0,10524.0,0.0,0.0
Australia__Queensland,Australia / Queensland,922.0,6.0,895.0,6.0,895.0,6.0,0.0,0.0
Australia__South_Australia,Australia / South_Australia,306.0,4.0,306.0,4.0,306.0,4.0,0.0,0.0
Australia__Tasmania,Australia / Tasmania,117.0,10.0,117.0,10.0,117.0,10.0,0.0,0.0
Australia__Victoria,Australia / Victoria,1671.0,19.0,1887.0,22.0,1887.0,22.0,0.0,0.0
Australia__Western_Australia,Australia / Western_Australia,487.0,8.0,423.0,7.0,423.0,7.0,0.0,0.0
Austria__None,Austria / None,16275.0,677.0,11526.0,513.0,11526.0,513.0,0.0,0.0
Azerbaijan__None,Azerbaijan / None,15247.0,184.0,15407.0,182.0,15407.0,182.0,0.0,0.0
Bahrain__None,Bahrain / None,18799.0,46.0,13835.0,36.0,13835.0,36.0,0.0,0.0
Bangladesh__None,Bangladesh / None,168522.0,2139.0,309019.0,3761.0,309019.0,3761.0,0.0,0.0
Belarus__None,Belarus / None,61966.0,392.0,70244.0,428.0,70244.0,428.0,0.0,0.0
Belgium__None,Belgium / None,59214.0,9657.0,15750.0,2567.0,15750.0,2567.0,0.0,0.0
Benin__None,Benin / None,1796.0,36.0,1281.0,36.0,1281.0,36.0,0.0,0.0
Bolivia__None,Bolivia / None,33112.0,1117.0,60319.0,1943.0,60319.0,1943.0,0.0,0.0
Bosnia_and_Herzegovina__None,Bosnia_and_Herzegovina / None,3399.0,170.0,3141.0,167.0,3141.0,167.0,0.0,0.0
Brazil__None,Brazil,888109.0,43959.0,582815.0,26949.0,582815.0,26949.0,0.0,0.0
Bulgaria__None,Bulgaria / None,3745.0,196.0,15783.0,574.0,15783.0,574.0,0.0,0.0
Burkina_Faso__None,Burkina_Faso / None,805.0,49.0,787.0,49.0,787.0,49.0,0.0,0.0
Burundi__None,Burundi / None,369.0,0.0,1397877.0,1254.0,1397877.0,1254.0,0.0,0.0
Cambodia__None,Cambodia / None,38.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Cameroon__None,Cameroon / None,12453.0,307.0,13912.0,344.0,13912.0,344.0,0.0,0.0
Canada__Alberta,Canada / Alberta,7506.0,152.0,374138.0,6171.0,374138.0,6171.0,0.0,0.0
Canada__British_Columbia,Canada / British_Columbia,2653.0,164.0,2831.0,170.0,2831.0,170.0,0.0,0.0
Canada__Manitoba,Canada / Manitoba,222.0,6.0,616.0,13.0,616.0,13.0,0.0,0.0
Canada__New_Brunswick,Canada / New_Brunswick,62.0,2.0,80.0,1.0,80.0,1.0,0.0,0.0
Canada__Newfoundland_and_Labrador,Canada / Newfoundland_and_Labrador,159.0,3.0,159.0,3.0,159.0,3.0,0.0,0.0
Canada__Nova_Scotia,Canada / Nova_Scotia,951.0,63.0,192964.0,11752.0,192964.0,11752.0,0.0,0.0
Canada__Ontario,Canada / Ontario,33882.0,2579.0,16617.0,1278.0,16617.0,1278.0,0.0,0.0
Canada__Quebec,Canada / Quebec,54429.0,5374.0,16922.0,1550.0,16922.0,1550.0,0.0,0.0
Canada__Saskatchewan,Canada / Saskatchewan,644.0,13.0,654.0,13.0,654.0,13.0,0.0,0.0
Central_African_Republic__None,Central_African_Republic / None,4498.0,60.0,902815.0,4499.0,902815.0,4499.0,0.0,0.0
Chad__None,Chad / None,819.0,65.0,18827.0,808.0,18827.0,808.0,0.0,0.0
Chile__None,Chile / None,213614.0,3362.0,161356.0,2247.0,161356.0,2247.0,0.0,0.0
Colombia__None,Colombia / None,60115.0,1950.0,60025.0,2084.0,60025.0,2084.0,0.0,0.0
Congo_(Kinshasa)__None,Congo_(Kinshasa) / None,7080.0,167.0,16716.0,347.0,16716.0,347.0,0.0,0.0
Costa_Rica__None,Costa_Rica / None,2096.0,10.0,1892.0,11.0,1892.0,11.0,0.0,0.0
Cote_d'Ivoire__None,Cote_d'Ivoire / None,8843.0,66.0,8383.0,67.0,8383.0,67.0,0.0,0.0
Croatia__None,Croatia / None,2175.0,106.0,2606.0,96.0,2606.0,96.0,0.0,0.0
Cuba__None,Cuba / None,2213.0,83.0,2062.0,80.0,2062.0,80.0,0.0,0.0
Cyprus__None,Cyprus / None,874.0,18.0,839.0,17.0,839.0,17.0,0.0,0.0
Czechia__None,Czechia / None,9811.0,330.0,15212.0,459.0,15212.0,459.0,0.0,0.0
Denmark__None,Denmark / None,11353.0,596.0,9689.0,472.0,9689.0,472.0,0.0,0.0
Djibouti__None,Djibouti / None,4820.0,56.0,7291.0,89.0,7291.0,89.0,0.0,0.0
Dominican_Republic__None,Dominican_Republic / None,26565.0,660.0,25951.0,658.0,25951.0,658.0,0.0,0.0
Ecuador__None,Ecuador / None,48986.0,4085.0,21303.0,1567.0,21303.0,1567.0,0.0,0.0
Egypt__None,Egypt / None,46179.0,1670.0,32975.0,1336.0,32975.0,1336.0,0.0,0.0
El_Salvador__None,El_Salvador / None,9039.0,243.0,11166.0,232.0,11166.0,232.0,0.0,0.0
Estonia__None,Estonia / None,1803.0,69.0,1550.0,60.0,1550.0,60.0,0.0,0.0
Ethiopia__None,Ethiopia / None,9398.0,164.0,20447954.0,487388.0,20447954.0,487388.0,0.0,0.0
Finland__None,Finland / None,6864.0,326.0,4563.0,211.0,4563.0,211.0,0.0,0.0
France__None,France / None,183590.0,29336.0,103771.0,14697.0,103771.0,14697.0,0.0,0.0
Gabon__None,Gabon / None,6207.0,45.0,220771.0,1633.0,220771.0,1633.0,0.0,0.0
Georgia__None,Georgia / None,825.0,15.0,808.0,14.0,808.0,14.0,0.0,0.0
Germany__None,Germany,181887.0,8796.0,129840.0,4991.0,129840.0,4991.0,0.0,0.0
Ghana__None,Ghana / None,15702.0,99.0,47807.0,233.0,47807.0,233.0,0.0,0.0
Greece__None,Greece / None,2803.0,180.0,2174.0,142.0,2174.0,142.0,0.0,0.0
Guatemala__None,Guatemala / None,28472.0,1169.0,293403.0,7357.0,293403.0,7357.0,0.0,0.0
Guinea__None,Guinea / None,5499.0,34.0,5653.0,33.0,7699.0,44.0,36.19317176080078,33.333332323232355
Guyana__None,Guyana / None,498.0,12.0,53661.0,552.0,136564.0,1811.0,154.4939527747434,228.07970973173965
Haiti__None,Haiti / None,7481.0,159.0,2055927.0,31787.0,2023133.0,31261.0,1.5950955457068294,1.6547645263266504
Honduras__None,Honduras / None,18708.0,482.0,20332.0,586.0,20332.0,586.0,0.0,0.0
Hungary__None,Hungary / None,3991.0,566.0,3287.0,449.0,3287.0,449.0,0.0,0.0
Iceland__None,Iceland / None,1640.0,5.0,1281.0,8.0,1281.0,8.0,0.0,0.0
India__None,India / None,342978.0,9898.0,252916.0,7662.0,252916.0,7662.0,0.0,0.0
Indonesia__None,Indonesia / None,39177.0,2193.0,37713.0,2070.0,37713.0,2070.0,0.0,0.0
Iran__None,Iran / None,175938.0,8226.0,161236.0,7715.0,161236.0,7715.0,0.0,0.0
Iraq__None,Iraq / None,21199.0,642.0,19613.0,722.0,19613.0,722.0,0.0,0.0
Ireland__None,Ireland / None,25192.0,1704.0,2971.0,199.0,2971.0,199.0,0.0,0.0
