policy,st_term_unemployment_costs,st_term_gdp_impact,st_term_sick_worker_cost,st_term_sick_worker_cost_lb,st_term_sick_worker_cost_ub,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,region,dict_region_policy_gamma,dict_region_policy_counts,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub,country,start_date,policy_length
actual,3294568747.88475,23800000000.0,0.0,0.0,0.0,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,49232288148.38581,,,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,,BR,2020-03-15,3
No_Measure-No_Measure-No_Measure,0.0,-0.0,66435688882.507866,49488066230.97131,83383311534.04439,66435688882.507866,49488066230.97131,83383311534.04439,0,4946143339486.4795,4568579242579.696,5323707436393.263,24454783295.85366,24454783295.85366,24454783295.85366,102268728143.71686,88224005796.27365,116313450491.16006,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",24347070,18136177.0,30557963.0,1120887,1043728.0,1198046.0,32816950.0,32816950.0,32816950.0,1261287.0,1261287.0,1261287.0,7147293,7147293.0,7147293.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings,1882610713.077,3103333333.3333335,57715341473.642525,42992264275.663765,72438418671.62128,62701285520.05286,47978208322.0741,77424362718.03162,0,4302865512010.957,3974450141737.3457,4631280882284.568,21636692416.390244,21636692416.390244,21636692416.390244,95042059209.14182,82840847534.95836,107243270883.32526,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",21151274,15755623.0,26546925.0,975165,908037.0,1042293.0,29064972.0,29064972.0,29064972.0,1111479.0,1111479.0,1111479.0,6298381,6298381.0,6298381.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,8471748208.8465,11792666666.666666,33206291153.456738,24735428180.892254,41677154126.02122,53470706028.96991,44999843056.405426,61941569001.534386,0,2504323691815.533,2313396941522.2544,2695250442108.812,14340620203.317074,14340620203.317074,14340620203.317074,74731080269.84412,67711162435.99271,81750998103.69553,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",12169301,9064935.0,15273667.0,567831,528743.0,606919.0,19361730.11764706,19361730.11764706,19361730.11764706,722022.8823529412,722022.8823529412,722022.8823529412,4091463,4091463.0,4091463.0,BR,2020-03-15,3
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3294568747.88475,4965333333.333333,40299649673.40965,30019283697.409546,50580015649.40975,48559551754.62773,38279185778.627625,58839917730.62784,0,3024228153778.5605,2793553262727.267,3254903044829.8535,16417659110.707317,16417659110.707317,16417659110.707317,80609441676.1607,72089964417.80124,89128918934.52017,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",14768845,11001340.0,18536350.0,685573,638380.0,732766.0,22123866.05882353,22123866.05882353,22123866.05882353,832918.9411764706,832918.9411764706,832918.9411764706,4719874,4719874.0,4719874.0,BR,2020-03-15,3
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,9413053565.385,13034000000.0,29391774265.463787,21893987912.661037,36889560618.26653,51838827830.848785,44341041478.046036,59336614183.651535,0,2224574460103.287,2055033062809.135,2394115857397.439,13209057798.146341,13209057798.146341,13209057798.146341,71569938929.66702,65356422750.392395,77783455108.94164,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",10771373,8023616.0,13519130.0,504475,469748.0,539202.0,17856301.647058822,17856301.647058822,17856301.647058822,661701.3529411765,661701.3529411765,661701.3529411765,3749641,3749641.0,3749641.0,BR,2020-03-15,3
No_Measure-No_Measure-Lockdown,12236969635.000502,17378666666.666664,28403193209.881626,21157589971.138702,35648796448.62455,58018829511.5488,50773226272.80587,65264432750.29172,0,2152029474794.378,1988033709098.3193,2316025240490.4365,12912294735.731709,12912294735.731709,12912294735.731709,70750688541.03891,64746159892.966064,76755217189.11177,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",10409082,7753744.0,13064420.0,488045,454449.0,521641.0,17461366.17647059,17461366.17647059,17461366.17647059,645899.8235294118,645899.8235294118,645899.8235294118,3660099,3660099.0,3660099.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-No_Measure,1882610713.077,3103333333.3333335,52538903700.96664,39136325822.06821,65941481579.86506,57524847747.37697,44122269868.47854,70927425626.27539,0,3886722458815.3257,3589843273295.4287,4183601644335.2227,17520752895.58537,17520752895.58537,17520752895.58537,90752275753.32132,79645379587.44247,101859171919.20016,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",19254235,14342515.0,24165955.0,880567,819951.0,941183.0,23460308.411764707,23460308.411764707,23460308.411764707,911389.5882352942,911389.5882352942,911389.5882352942,5164541,5164541.0,5164541.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,3765221426.154,6206666666.666667,43136975072.014465,32132812260.54953,54141137883.47939,53108863164.83513,42104700353.37019,64113025976.300064,0,3198255044081.901,2954014438305.974,3442495649857.8276,14867604072.146343,14867604072.146343,14867604072.146343,82960771314.07547,73841473904.0005,92080068724.15042,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",15808656,11775897.0,19841415.0,724657,674773.0,774541.0,19938053.29411765,19938053.29411765,19938053.29411765,768831.705882353,768831.705882353,768831.705882353,4356713,4356713.0,4356713.0,BR,2020-03-15,3
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,10354358921.923502,14896000000.0,21222303663.48598,15808532326.158007,26636075000.813946,46472662585.409485,41058891248.081505,51886433922.73744,0,1598574974208.8958,1476685443542.4084,1720464504875.383,8946424089.658537,8946424089.658537,8946424089.658537,64799788998.34462,60313324032.21417,69286253964.47508,BR,"{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0.7383585060026162, 'Lockdown': 0.5079184142639452, 'Mass_Gatherings_Authorized_But_Others_Restricted': 0.7546734739624015, 'No_Measure': 1.171764504109558, 'Restrict_Mass_Gatherings': 1.022950412087644, 'Restrict_Mass_Gatherings_and_Schools': 0.6089370518259564, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0.5299975872682983}","{'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others': 0, 'Mass_Gatherings_Authorized_But_Others_Restricted': 93, 'No_Measure': 0, 'Restrict_Mass_Gatherings': 0, 'Restrict_Mass_Gatherings_and_Schools': 0, 'Restrict_Mass_Gatherings_and_Schools_and_Others': 0}",7777460,5793444.0,9761476.0,362443,337493.0,387393.0,12079160.705882354,12079160.705882354,12079160.705882354,450389.2941176471,450389.2941176471,450389.2941176471,2552206,2552206.0,2552206.0,BR,2020-03-15,3
