,G01_No_Measure,G02_Restrict_Mass_Gatherings,G03_Restrict_MG_and_Schools,G04_Others_Only,G05_MG_and_Others,G06_MG_Schools_Others_Moderate,G07_MG_Schools_Others_Strict,G08_Lockdown_Moderate,G09_Lockdown_Strict
Afghanistan__None,,,,,,0.6338589239697057,0.22339407492863753,,
Albania__None,,,,,,1.1510744946311613,,0.6888003021461087,0.6842181077399901
Algeria__None,,,,,,0.9292877530672078,0.7153251702059621,,
Andorra__None,,,,0.22217802541448528,,,,,
Angola__None,,,,,,,0.9497879806494974,1.5355670231526737,1.768042654452562
Argentina__None,,,,,,,1.0622996459542344,,0.9981881919306533
Australia__Australian_Capital_Territory,,,,,0.197682749685558,,,,
Australia__New_South_Wales,,,,,0.01746269360961121,,,,
Australia__Queensland,,,,,0.2225787248077353,,,,
Australia__South_Australia,,,,,0.00040316709004086215,,,,
Australia__Tasmania,,,,,0.0009152406902349793,,,,
Australia__Victoria,,,,,0.7245828634222404,,,,
Australia__Western_Australia,,,,,0.3381406274012001,,,,
Austria__None,,,,,0.009309440314703663,0.006832683930120678,,0.019789136347210558,
Azerbaijan__None,,,,,0.9628496574154105,0.9913236411958676,,0.9647548794096561,0.979078889526202
Bahrain__None,,,,,,,0.8060047884057442,,
Bangladesh__None,,,,,,0.609537107435549,1.0498651140740725,0.7753612776536002,0.8135945587480251
Belarus__None,,,0.8508398175653284,1.040981639386395,0.579205047160073,,,,
Belgium__None,,,,,,,,0.12119282201116281,
Benin__None,,,,,1.8855294456689522,0.11397928662524023,1.1680230219909549,,
Bolivia__None,,,,,,,,,0.528244572635664
Bosnia_and_Herzegovina__None,,,,,,0.9937451039150935,0.9070910138485491,,0.869332943090314
Brazil__None,,,,0.7546734739624015,,,,,
Bulgaria__None,,,,,,0.2830319284136923,0.23362427398490918,,
Burkina_Faso__None,,,,,0.25166326454387317,,,0.26115726859621125,
Burundi__None,,,,1.8880191215803581,,,,,
Cambodia__None,,,,,,0.2326266982979,,,
Cameroon__None,,,,,,0.37012591122993843,,,
Canada__Alberta,,,,0.04954702309994008,,,,,
Canada__British_Columbia,,,,0.7072751898760941,,,,,
Canada__Manitoba,,,,0.4392134584904395,,,,,
Canada__New_Brunswick,,,,0.11749092627378944,,,,,
Canada__Newfoundland_and_Labrador,,,,0.0008945862857324548,,,,,
Canada__Nova_Scotia,,,,0.15177362586354545,,,,,
Canada__Ontario,,,,0.6455684847984454,,,,,
Canada__Quebec,,,,0.3726440561177849,,,,,
Canada__Saskatchewan,,,,0.7581836116447598,,,,,
Central_African_Republic__None,,,,1.9374840093711811,,1.813953261896381,,0.5577395015240623,
Chad__None,,,,,1.9220214053796854,,0.7848633247840322,,
Chile__None,,,,,,,0.5435631036088113,0.7505714568953135,
Colombia__None,,,,,,,,0.9832564618345014,
Congo_(Kinshasa)__None,,,,,,,0.4840852405088003,,
Costa_Rica__None,,,,,,0.6736017571175263,,,
Cote_d'Ivoire__None,,,,0.9884764789253441,0.9798438362625249,,0.9902480401068012,,
Croatia__None,,,,,,0.19483336420987044,,,0.05498992700993981
Cuba__None,,,,,,0.37070511318487226,0.27757132084681585,,0.2127390550351605
Cyprus__None,,,,,,0.06810154510311722,0.16895202945720772,,0.06855265261873414
Czechia__None,,,,,,0.9280663777851279,,0.684617487166864,
Denmark__None,,,,,,0.519984071560918,0.680242690374483,,
Djibouti__None,,,,,,0.21641051944826412,,,0.40256870257353766
Dominican_Republic__None,,,,,,,0.6201951183833673,0.5761330234771169,0.5968835959414395
Ecuador__None,,,,,,,,0.22759440217996652,0.5053292313017956
Egypt__None,,,,,,,,0.8064603189496552,
El_Salvador__None,,,,,,,,0.9442617315130869,0.7491557192950907
Estonia__None,,,,,0.13981782613895924,0.21310010438567376,0.19225249438911834,,
Ethiopia__None,,,,,,1.7078368041449687,0.3749534276216796,,
Finland__None,,,,,0.0791533060161132,0.12220255735607306,0.1482957703269333,,
France__None,,,,,,,0.6073209581795045,0.3919973433828102,
Gabon__None,,,,,,,0.5724492450633081,0.5603837348145918,
Georgia__None,,,,,0.3845959580032486,,,,0.37157045465986366
Germany__None,,,,,0.3091612850831213,0.05413369399367646,0.0884313075779672,,
Ghana__None,,,,,,0.42188992763562844,0.5366958034170421,,
