,G01_No_Measure,G02_Restrict_Mass_Gatherings,G03_Restrict_MG_and_Schools,G04_Others_Only,G05_MG_and_Others,G06_MG_Schools_Others_Moderate,G07_MG_Schools_Others_Strict,G08_Lockdown_Moderate,G09_Lockdown_Strict
Greece__None,,,,,1.0709892310835727,,,0.20801123182661363,
Guatemala__None,,,,,,,,,0.4093937476456495
Guinea__None,,,,0.1464773968820713,,,,0.09130860978466566,
Guyana__None,,,,1.4758753529945987,,,,0.8166638035596825,
Haiti__None,,,,,,,,1.184678935852461,1.372951739697949
Honduras__None,,,,,,,,,0.46679994522909735
Hungary__None,,,,,0.029125953737649955,0.07650596443600119,,0.07222169875001903,
Iceland__None,,,,,0.0010629836759899096,0.0027722696675640084,,,
India__None,,,,,,,0.7768967048986096,,0.844587845293855
Indonesia__None,,,,0.9233525921944362,,,,,
Iran__None,,,,0.9971130956041089,1.0525246859675215,0.9880319262632928,,,
Iraq__None,,,,,,,0.9906881340465628,0.9748198317316762,0.9762363647443091
Ireland__None,,,,,,0.8814831091281183,0.10958684110050139,0.4275499076284913,
Israel__None,,,,,,,,0.13195406321290074,0.03679388549248046
Italy__None,,,,,,,,0.19837105283476406,0.14342400138027822
Jamaica__None,,,,,,,1.0783039150588614,,0.92200377301458
Japan__None,,,,0.14295442538684225,,,,,
Jordan__None,,,,,,0.34600720832372095,0.35489711429842247,,0.3791736030713416
Kazakhstan__None,,,,,,,0.9188584176807862,,
Kenya__None,,,,,,,0.45919112229190623,0.5814049658677037,
"Korea,_South__None",,,,0.9803199457347672,,,,0.9903110538249054,
Kosovo__None,,,,,,,,0.2093712476665503,0.34138248068954
Kuwait__None,,,,,,,0.5153910527933089,0.5727094148691106,0.19234359334931467
Latvia__None,,,,,,0.38021271980235877,,,
Lebanon__None,,,,,,,0.8814863433347048,0.8854764995243125,
Liberia__None,,,,,,,0.839607657817644,0.8344206877635088,
Libya__None,,,,,,,1.8750535703704625,1.8522409542274594,1.1771292019140775
Lithuania__None,,,,,0.19612445127341294,0.20225775744781507,0.2383995401401939,,
Luxembourg__None,,,,,1.2255839719689259,0.3299258924877178,,0.34604582711862397,
Madagascar__None,,,,,0.15673819169319425,,1.0301422102213742,,
Malawi__None,,,,,,1.1499267560121136,,,
Malaysia__None,,,,,,0.35378830886961965,0.3482718969467947,,
Mali__None,,,,,,0.4067325116917593,,0.5793808009552883,
Malta__None,,,,,,0.6536414254124568,,0.649242586678698,
Mauritania__None,,,,,,,,1.0759700145489912,
Mauritius__None,,,,,,0.0007247079758440222,,0.0007819619696229466,
Mexico__None,,,,,,,0.3019733153760813,0.3931044078315814,
Moldova__None,,,,,,,0.9621211526520327,,0.9730343700451248
Monaco__None,,,,,,1.8086534365995142,,1.9405519302563352,
Mongolia__None,,,,,,1.9226539827813935,0.6692372282146551,,
Morocco__None,,,,,,,,,0.6251840049839137
Mozambique__None,,,,,,1.6555374701661172,0.7776845716529152,,
Namibia__None,,,,,,1.841227995248646,1.9036293598580412,,
Nepal__None,,,,,,,,,0.8241424186216054
Netherlands__None,,,,,,0.20586535204425058,,0.2749892770728204,
New_Zealand__None,,,,,0.4015600501173572,,,0.003577522592174587,0.002729684789790717
Nicaragua__None,,,,1.2436877998387226,,,,,
Niger__None,,,,0.993356048939921,,1.019219586783608,,,
Nigeria__None,,,,0.5573251192983258,,,,0.4305048655125079,
Norway__None,,,,,0.011899743043290431,0.021597686218590453,0.023206525092748325,,
Oman__None,,,,,,,0.7970399123339321,,0.8695672438234636
Pakistan__None,,,,,,0.8531826532391248,0.7845932262026516,,0.8848142409829579
Panama__None,,,,,,,0.9854889569523357,0.9911929897433834,0.9911924642897586
Paraguay__None,,,,,,,,0.42304613183588285,0.3475711231225172
Peru__None,,,,,,,,,0.5559643588974627
Philippines__None,,,,,,,0.9914422778775186,,0.9953667988117891
Poland__None,,,,,,0.503952429184532,0.4715201533421046,0.5460646721075829,
Portugal__None,,,,,,0.9275465275979322,,0.9698504705382848,
Qatar__None,,,,,,,0.4651968673632657,,
Romania__None,,,,,,0.9638505312349388,0.7950753989010757,0.8811235113017495,0.8716613070161278
Russia__None,,,,,0.4926282566284604,,,,
Rwanda__None,,,,,,,,0.3401382985463502,
San_Marino__None,,,,,,0.2890360188915792,0.6910345080680919,,0.3470929219844111
Saudi_Arabia__None,,,,,,,0.7872244519702004,0.9298192544730297,
Senegal__None,,,,,,,,0.1628097653462717,
Serbia__None,,,,0.23430213689600327,,0.28122004837792824,0.3460745150711582,,0.615961844257012
Sierra_Leone__None,,,,,0.8803767078762696,0.4768598279771279,,0.6534358524873228,
Singapore__None,,,,,0.0791343879729949,,,0.02915691162972885,
Slovakia__None,,,,,,0.0018308800036740843,0.11213684485151616,,
Slovenia__None,,,,,0.12397003527034425,0.060234573724434665,0.06879926981342524,,
Somalia__None,,,,,,0.7837805400919738,,0.41957665482881373,
South_Africa__None,,,,,,,0.4539428408347591,0.47695287370330064,
South_Sudan__None,,,,,,,1.1535327781845655,0.38997071191371524,
Spain__None,,,,,,0.03056687089295535,,0.11344261720683742,
Sri_Lanka__None,,,,,,,,0.40059746014299263,0.7409945288866054
Sudan__None,,,,,,1.5366312258147443,0.49906841979611694,,
Suriname__None,,,,,,1.7443764861178421,,1.72825136165948,0.5717503322198294
Sweden__None,,,,,,0.9731869488770792,,,
Switzerland__None,,,,,0.010441709023794389,0.016598245393698963,0.02837368420070107,,
Tajikistan__None,,,,1.881049041649005,0.5210254576310562,,,,
Tanzania__None,,,,,,0.00018820495588280927,,,
Thailand__None,,,,0.02931264997518292,,0.010469733428083609,0.0035933359605896525,,
Togo__None,,,,,,1.1582931479324963,,0.9054999516930643,
Trinidad_and_Tobago__None,,,,,,0.8056581323701774,,0.7874503432330061,0.21184575119268426
Tunisia__None,,,,,,,0.0859163129642641,0.208640277380006,0.26893371054263016
Turkey__None,,,,,,,,0.7635104191661564,
US__Alabama,,,,,,,0.9962792533323814,0.9980916750088983,
US__Alaska,,,,0.788806230527393,,,0.5980472978340731,0.6044536114421728,
US__Arizona,,,,1.0226325629906878,,,,0.9921812024593394,
US__Arkansas,,,,0.725526725932162,,,0.7084277506485107,,
US__California,,,,,,,0.8803224209184327,0.910684424240837,
US__Colorado,,,,,,,0.5143901596382128,0.7198582599450384,
US__Connecticut,,,,,,,0.4775007654074377,,
US__Delaware,,,,,,,0.462571809678451,0.5342957100602349,
US__District_of_Columbia,,,,,,,0.6141101129035416,0.6123975322137339,
US__Florida,,,,0.9999576544989829,,,0.96183491230635,0.9789954619846648,
US__Georgia,,,,,,,1.0449841957529074,0.9787632669870456,
US__Hawaii,,,,,,,,0.476940595524883,
US__Idaho,,,,0.3645720848571615,,,,0.3462819164990278,
US__Illinois,,,,,,,,0.823698302901914,
US__Indiana,,,,,,,0.6691245474512513,0.8110825004107814,
US__Iowa,,,,,0.9606713744116016,,0.4979179046400603,,
US__Kansas,,,0.9234684758934028,,,,0.483935827794343,0.668455704299181,
US__Kentucky,,,,,,,0.6754914191911442,,
US__Louisiana,,,,0.8325034969544217,,,,0.9219546520885445,
US__Maine,,,,,,,0.6822402792296782,0.6755612965418757,
US__Maryland,,,,,,,0.6249154164166051,0.5624336839455016,
US__Massachusetts,,,,,,,0.20511473228134475,,
US__Michigan,,,,,,,0.6482579107773422,0.7442347541444373,
US__Minnesota,,,,0.8652079424098796,,,0.07272898549840041,0.19553055396625202,
US__Mississippi,,,,,,,0.7298133180877003,0.7758360420586764,
US__Missouri,,,,,,,0.966889381514259,0.9528782847614622,
US__Montana,,,,0.369647370095813,,,0.18731090390340402,0.19896144644580005,
US__Nebraska,,,,,0.4228275751528489,,0.14410672263995175,,
US__Nevada,,,,,,,0.9892179401299918,0.9943796575750113,
US__New_Hampshire,,,,,,,,0.5612827138930194,
US__New_Jersey,,,,,,,,0.48400517733502707,
US__New_Mexico,,,,,,,0.8085665636462082,,
US__New_York,,,,,,,0.13807343610996164,0.18044320951013926,
US__North_Carolina,,,,,,,0.9809712749085179,0.9869104440464247,
US__North_Dakota,,,,0.5760518959711808,,,,,
US__Ohio,,,,,,,0.7798921202231998,0.8846507766042896,
US__Oklahoma,,,,1.3798773376249267,,,0.990648117110556,,
US__Oregon,,,,,,,,1.0573042143119888,
US__Pennsylvania,,,,0.9268952319176899,,,0.3856884909821071,0.5889883919514984,
US__Rhode_Island,,,,,,,0.38229345681413324,0.5204121664027361,
US__South_Carolina,,,1.0303393982412945,,,,0.8828450725655084,0.9010844968503903,
US__South_Dakota,,,0.9431296420183045,0.8882638417326539,,,,,
US__Tennessee,,,,,,,0.9919435626626076,0.9946701300817232,
US__Texas,,,,,,,0.9943808054515701,0.989002642688892,
US__Utah,,,,,,,0.9886152203774192,,
US__Vermont,,,,,,,0.7657848495687446,0.3050884645487279,
US__Virginia,,,,,,,0.544437921057854,0.38244427646928775,
US__Washington,,,,,,,0.9065515446695941,0.9378817916328406,
US__West_Virginia,,,,,,,0.9022796143158306,0.9179854541024748,
US__Wisconsin,,,,,,,0.5994977558412101,0.7201874037347034,
US__Wyoming,,,0.5326890425847763,,,,0.3977940664793344,,
Uganda__None,,,,,,1.9357728610223763,,0.7314446446431919,1.8760966903176812
Ukraine__None,,,,1.0457567585993102,,,0.929115060033893,,
United_Arab_Emirates__None,,,,,,,0.37759988207427664,0.6815383809329554,0.6884049306504385
United_Kingdom__None,,,,,0.20369861038984416,0.21074382895969074,,0.3793941663257672,
Uruguay__None,,,,,0.5557573079223894,0.5952986133311616,,0.5897621914526728,
Uzbekistan__None,,,,,,,0.8948257697446882,,0.9297385577872891
Venezuela__None,,,,,,,,0.43897769079826887,
Vietnam__None,,,,0.5906267950082662,0.915117631334325,0.5541750674755215,0.564497350796332,,0.5745573109886647
Yemen__None,,,,,,1.1076351502480448,,,
Zambia__None,,,,1.4126272133470728,,0.844001489630891,,,
Zimbabwe__None,,,,,,0.8938043795239705,,1.2550651884640935,
