year,month,unemployment_gain
2020,1,0
2020,2,0
2020,3,1.7
2020,4,10.8
2020,5,11
2020,6,8.4
2020,7,8.3
2020,8,4.7
2020,9,4
2020,10,2.6
2020,11,2.2
2020,12,1.9
2021,1,1.6
