year,month,unemployment_gain
2020,1,0
2020,2,0
2020,3,0
2020,4,12.3
2020,5,11.8
2020,6,11.1
2020,7,10.8
2020,8,7.8
2020,9,6.1
2020,10,4.8
2020,11,4.8
2020,12,4.8
2021,1,4.8
