year,month,unemployment_gain
2020,1,0
2020,2,0
2020,3,0
2020,4,0.8
2020,5,1.3
2020,6,1.4
2020,7,1.4
2020,8,1.3
2020,9,1.3
2020,10,1.2
2020,11,1.1
2020,12,1
2021,1,1
