year,month,unemployment_gain
2020,1,0
2020,2,0
2020,3,0.9
2020,4,1.6
2020,5,1.7
2020,6,2.4
2020,7,2.8
2020,8,3.1
2020,9,3
2020,10,2.7
2020,11,2.5
2020,12,2.5
