Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
South America,Brazil,None,2020-03-15,23.74564466631206,1.25,10.0,1.0,0.05,0.03634010305456224,0.0,0.6775970329366031,0.10000610175358347,1.588451310558821,7.0,5.0
Europe,Germany,None,2020-03-15,6.788638705647993,1.25,-10.0,1.0,0.48952641200233055,0.06748478972823856,0.5,0.1,0.6229779738619051,0.0,0.20140568106890822,1.0979099075839778
North America,Spain,None,2020-03-15,15.867395265573544,1.25,1.7794960377414728,1.0,0.5,0.16025888290578183,0.5,0.1,0.1,0.0,0.6708312362573522,0.438396533409357
Asia,Singapore,None,2020-03-15,67.4679201434144,1.25,-5.870309422822654,1.0,0.05,0.01,0.3641168058674751,0.1,0.1,0.0,6.480193565453362,3.052996339100017
North America,US,Florida,2020-03-15,27.871565649419683,1.25,10.0,1.0,0.05,0.019149319872935968,0.0,0.1625714126248,0.1,1.3471867980154684,7.0,5.0
North America,US,New York,2020-03-15,2.844368986409914,1.2108381305304097,-10.0,1.0,0.3805807789418545,0.13089731208769756,0.4999999933786475,8.256110600430144,10.0,0.4872308765168537,0.0,0.619179970855518
