region,country,province,model,n_eval_days,mean_daily_ape_cases_pct,mean_daily_ape_deaths_pct,mean_daily_ape_both_pct
Afghanistan,Afghanistan,None,delphi,93,7.559051285569219,28.169113426082745,17.864082355825982
Afghanistan,Afghanistan,None,delphi_constant,93,20.30407540114288,20.79050613103388,20.54729076608838
Afghanistan,Afghanistan,None,themis,93,62.37403711351868,14.152517775443819,38.26327744448125
Afghanistan,Afghanistan,None,sir,93,5666.30020485168,100.0,2883.15010242584
Afghanistan,Afghanistan,None,seir,93,3640.9272975572685,2541.17836386782,3091.052830712544
Afghanistan,Afghanistan,None,seird,93,3540.7494007725404,2395.763666608692,2968.2565336906164
Albania,Albania,None,delphi,93,7.656514961124055,29.807032242885203,18.73177360200463
Albania,Albania,None,delphi_constant,93,16.029706130065563,16.149223842039316,16.08946498605244
Albania,Albania,None,themis,93,247.81455210097747,120.28835189304466,184.05145199701107
Albania,Albania,None,sir,93,834.7672204380913,99.08285378880636,466.9250371134488
Albania,Albania,None,seir,93,64.44091846357554,52.98133220983346,58.7111253367045
Albania,Albania,None,seird,93,63.28098023159005,53.556742428644064,58.41886133011705
Algeria,Algeria,None,delphi,93,34.018082108568386,9.378342630701887,21.698212369635137
Algeria,Algeria,None,delphi_constant,93,16.27002043554619,28.065588294354935,22.167804364950563
Algeria,Algeria,None,themis,93,35.56069127145535,9.975660601651695,22.768175936553522
Algeria,Algeria,None,sir,93,112.01240651648125,99.65300430475187,105.83270541061657
Algeria,Algeria,None,seir,93,48.965454977255135,222.6721888549679,135.81882191611152
Algeria,Algeria,None,seird,93,49.046084484037785,216.21914647512133,132.63261547957956
Andorra,Andorra,None,delphi,93,13.531211149587396,0.7917423714079603,7.161476760497678
Andorra,Andorra,None,delphi_constant,93,13.539940932013037,0.7914493354943646,7.165695133753701
Andorra,Andorra,None,themis,93,13.491232309397903,0.7869189720501045,7.139075640724004
Andorra,Andorra,None,sir,93,9.86906991869824,100.0,54.93453495934912
Andorra,Andorra,None,seir,93,42.68889744507916,40.92409571720919,41.806496581144174
Andorra,Andorra,None,seird,93,47.36141680294146,46.18844414629072,46.77493047461609
Angola,Angola,None,delphi,93,28.648542849605853,34.61026231621412,31.629402582909986
Angola,Angola,None,delphi_constant,93,1728.6184702329863,880.4274687096295,1304.522969471308
Angola,Angola,None,themis,93,156.40071882374585,93.04733494823454,124.72402688599018
Angola,Angola,None,sir,93,49.0220236359989,100.0,74.51101181799945
Angola,Angola,None,seir,93,65.84639206945091,56.26461427038389,61.0555031699174
Angola,Angola,None,seird,93,65.9996542667805,56.545558857945025,61.27260656236276
Argentina,Argentina,None,delphi,93,32.258923662794864,35.763299577043455,34.01111161991916
Argentina,Argentina,None,delphi_constant,93,32.82858009189956,36.28348027718894,34.556030184544255
Argentina,Argentina,None,themis,93,114.49965799214682,109.5655821629192,112.03262007753301
Argentina,Argentina,None,sir,93,21.84243418800663,99.9198242720694,60.88112923003802
Argentina,Argentina,None,seir,93,19.461301139397786,90.79091382121123,55.12610748030451
Argentina,Argentina,None,seird,93,20.042529366194046,96.06801716137556,58.055273263784805
Australia - Australian Capital Territory,Australia,Australian Capital Territory,delphi,93,6.092250118964115,0.8113933728341599,3.4518217458991374
Australia - Australian Capital Territory,Australia,Australian Capital Territory,delphi_constant,93,27644.167762503224,9679.68827419442,18661.928018348823
Australia - Australian Capital Territory,Australia,Australian Capital Territory,themis,93,6.08263702240835,0.8079564785080201,3.445296750458185
Australia - Australian Capital Territory,Australia,Australian Capital Territory,sir,93,33.11717195437933,100.0,66.55858597718967
Australia - Australian Capital Territory,Australia,Australian Capital Territory,seir,93,16.849189084686234,14.22767656285853,15.538432823772382
Australia - Australian Capital Territory,Australia,Australian Capital Territory,seird,93,15.863622282119273,7.524708647103184,11.694165464611228
Australia - New South Wales,Australia,New South Wales,delphi,93,13.0358948925514,2.0810129677739795,7.55845393016269
Australia - New South Wales,Australia,New South Wales,delphi_constant,93,13.027551341222772,2.079965230434744,7.553758285828758
Australia - New South Wales,Australia,New South Wales,themis,93,12.753807224530554,2.059045020545429,7.406426122537992
Australia - New South Wales,Australia,New South Wales,sir,93,14.141501293286723,96.00685981588664,55.07418055458668
Australia - New South Wales,Australia,New South Wales,seir,93,1149.925102953417,2148.0870547308664,1649.0060788421417
Australia - New South Wales,Australia,New South Wales,seird,93,475.6108362838744,760.3247409059478,617.9677885949111
Australia - Queensland,Australia,Queensland,delphi,93,2.7547165332116266,2.03550557828394,2.3951110557477833
Australia - Queensland,Australia,Queensland,delphi_constant,93,2.7547238620852643,2.035497986607765,2.3951109243465147
Australia - Queensland,Australia,Queensland,themis,93,2.7546570006267186,2.0355669669441157,2.395111983785417
Australia - Queensland,Australia,Queensland,sir,93,33.678761135794346,100.0,66.83938056789717
Australia - Queensland,Australia,Queensland,seir,93,911.9726811125925,1659.6181324068891,1285.7954067597407
Australia - Queensland,Australia,Queensland,seird,93,13.21315485587841,15.342190314840966,14.277672585359689
Australia - South Australia,Australia,South Australia,delphi,93,27.317066657156214,24.483661073751723,25.90036386545397
Australia - South Australia,Australia,South Australia,delphi_constant,93,27.317066678003684,24.483661093494074,25.90036388574888
Australia - South Australia,Australia,South Australia,themis,93,27.317066677914813,24.483661093410017,25.900363885662415
Australia - South Australia,Australia,South Australia,sir,93,36.58837260199343,100.0,68.29418630099671
Australia - South Australia,Australia,South Australia,seir,93,22.940986725267408,5.195818874660246,14.068402799963827
Australia - South Australia,Australia,South Australia,seird,93,460.6339416649941,565.9226573890621,513.2782995270281
Australia - Tasmania,Australia,Tasmania,delphi,93,0.42433903988040717,0.7089360045556854,0.5666375222180463
Australia - Tasmania,Australia,Tasmania,delphi_constant,93,0.42433939899029993,0.7089356832489152,0.5666375411196076
Australia - Tasmania,Australia,Tasmania,themis,93,0.42433939536257814,0.7089356864881841,0.5666375409253811
Australia - Tasmania,Australia,Tasmania,sir,93,50.04564075799123,100.0,75.02282037899562
Australia - Tasmania,Australia,Tasmania,seir,93,110.26090712838167,78.452202852402,94.35655499039183
Australia - Tasmania,Australia,Tasmania,seird,93,110.98532985634607,81.90833916356563,96.44683450995585
Australia - Victoria,Australia,Victoria,delphi,93,56.68310079806166,56.49032958926796,56.58671519366481
Australia - Victoria,Australia,Victoria,delphi_constant,93,4989.70244312526,3277.191053708312,4133.446748416786
Australia - Victoria,Australia,Victoria,themis,93,62.5558115989665,57.79797646714445,60.176894033055476
Australia - Victoria,Australia,Victoria,sir,93,985.9979153162686,100.0,542.9989576581343
Australia - Victoria,Australia,Victoria,seir,93,60.884556993678544,58.575783909001956,59.73017045134025
Australia - Victoria,Australia,Victoria,seird,93,40.805352927381044,131.62718805950206,86.21627049344156
Australia - Western Australia,Australia,Western Australia,delphi,93,7.341472920812102,1.8046432489596675,4.573058084885885
Australia - Western Australia,Australia,Western Australia,delphi_constant,93,7.343049061600375,1.8033957357405628,4.5732223986704685
Australia - Western Australia,Australia,Western Australia,themis,93,7.32047912228259,1.8198045699423264,4.570141846112458
Australia - Western Australia,Australia,Western Australia,sir,93,21.37371481532204,88.8888888888889,55.131301852105466
Australia - Western Australia,Australia,Western Australia,seir,93,13.817972188300573,8.021616624034552,10.919794406167561
Australia - Western Australia,Australia,Western Australia,seird,93,37.02575140187518,3781.9712695851063,1909.4985104934908
Austria,Austria,None,delphi,93,35.578006287799596,37.07607302950271,36.32703965865115
Austria,Austria,None,delphi_constant,93,42.978976038484305,41.349340973417156,42.16415850595073
Austria,Austria,None,themis,93,42.97736628108633,41.348406606555784,42.16288644382106
Austria,Austria,None,sir,93,4091.3435703133887,99.8826409462865,2095.6131056298377
Austria,Austria,None,seir,93,856.099292731623,2373.347002669519,1614.723147700571
Austria,Austria,None,seird,93,469.086742135196,923.2958247262632,696.1912834307295
Azerbaijan,Azerbaijan,None,delphi,93,113.59851040688694,89.4387074417132,101.51860892430008
Azerbaijan,Azerbaijan,None,delphi_constant,93,124.39025478796081,96.77846770211768,110.58436124503925
Azerbaijan,Azerbaijan,None,themis,93,145.9249820815761,112.5674310928022,129.24620658718914
Azerbaijan,Azerbaijan,None,sir,93,157.0087346807635,99.6931218653444,128.35092827305394
Azerbaijan,Azerbaijan,None,seir,93,128.34872870519115,94.80814290711186,111.5784358061515
Azerbaijan,Azerbaijan,None,seird,93,131.28095725296694,93.72305153465143,112.50200439380919
Bahrain,Bahrain,None,delphi,93,5.332854392111082,3.958262039417407,4.645558215764244
Bahrain,Bahrain,None,delphi_constant,93,15.537887550891938,12.403522707893547,13.970705129392742
Bahrain,Bahrain,None,themis,93,53.956953137499326,46.1133203134475,50.035136725473414
Bahrain,Bahrain,None,sir,93,688.2863273523288,100.0,394.1431636761644
Bahrain,Bahrain,None,seir,93,339.3192410944555,303.7660232139614,321.54263215420843
Bahrain,Bahrain,None,seird,93,114.93404855348689,72.38426641859101,93.65915748603895
Bangladesh,Bangladesh,None,delphi,93,7.065664993271236,3.764641278891884,5.41515313608156
Bangladesh,Bangladesh,None,delphi_constant,93,41.03524720610015,30.09402393889513,35.56463557249764
Bangladesh,Bangladesh,None,themis,93,200.6788047439784,166.87341539673514,183.77611007035676
Bangladesh,Bangladesh,None,sir,93,10525.543535037494,100.0,5312.771767518747
Bangladesh,Bangladesh,None,seir,93,4315.723120519234,8565.221244114846,6440.47218231704
Bangladesh,Bangladesh,None,seird,93,3962.681962673881,7428.204664904096,5695.443313788988
Belarus,Belarus,None,delphi,93,1.7767562375611603,20.953770184841343,11.36526321120125
Belarus,Belarus,None,delphi_constant,93,3.760967379377584,18.496982979567242,11.128975179472413
Belarus,Belarus,None,themis,93,14.88062535243624,9.538563506734105,12.209594429585174
Belarus,Belarus,None,sir,93,3479.2795788555936,100.0,1789.6397894277968
Belarus,Belarus,None,seir,93,2820.7446501115705,2516.000673520932,2668.3726618162514
Belarus,Belarus,None,seird,93,2347.2401672685987,1871.8621492783614,2109.55115827348
Belgium,Belgium,None,delphi,93,14.847993099543867,0.7343801652887477,7.7911866324163075
Belgium,Belgium,None,delphi_constant,93,15.121011869930477,0.9750661300458842,8.048038999988181
Belgium,Belgium,None,themis,93,14.95194571882161,0.8254632366397217,7.888704477730666
Belgium,Belgium,None,sir,93,4800.3423151439,99.95933676126705,2450.1508259525835
Belgium,Belgium,None,seir,93,1737.6291219899456,5425.015428688572,3581.322275339259
Belgium,Belgium,None,seird,93,1307.5262839187862,2657.9945345688025,1982.7604092437944
Benin,Benin,None,delphi,93,57.848191083992056,32.53856532704433,45.193378205518194
Benin,Benin,None,delphi_constant,93,57.89589541287653,32.57160846642658,45.233751939651555
Benin,Benin,None,themis,93,57.8595591341346,32.54663748860841,45.203098311371505
Benin,Benin,None,sir,93,151.49495871879714,100.0,125.74747935939857
Benin,Benin,None,seir,93,99.49798563584393,71.60191186424538,85.54994875004465
Benin,Benin,None,seird,93,95.38641218672169,68.89104668277356,82.13872943474763
Bolivia,Bolivia,None,delphi,93,6.175436307412382,22.36749618801476,14.27146624771357
Bolivia,Bolivia,None,delphi_constant,93,21.122280596185895,6.834830736845276,13.978555666515586
Bolivia,Bolivia,None,themis,93,174.80257422819926,105.77240243255422,140.28748833037673
Bolivia,Bolivia,None,sir,93,1160.7266730893875,100.0,630.3633365446938
Bolivia,Bolivia,None,seir,93,900.1078497278903,957.0738776145241,928.5908636712072
Bolivia,Bolivia,None,seird,93,1014.1896069817506,1131.1226859676322,1072.6561464746915
Bosnia and Herzegovina,Bosnia and Herzegovina,None,delphi,93,33.15092528505319,20.022109681951328,26.58651748350226
Bosnia and Herzegovina,Bosnia and Herzegovina,None,delphi_constant,93,1532.0424446375257,1493.9579014261456,1513.0001730318356
Bosnia and Herzegovina,Bosnia and Herzegovina,None,themis,93,52.6970795405401,34.24704521730677,43.47206237892344
Bosnia and Herzegovina,Bosnia and Herzegovina,None,sir,93,34.32001145234389,100.0,67.16000572617195
Bosnia and Herzegovina,Bosnia and Herzegovina,None,seir,93,16.103087875347086,53.336116290196635,34.71960208277186
Bosnia and Herzegovina,Bosnia and Herzegovina,None,seird,93,16.261023327725315,65.49689396785301,40.87895864778916
Brazil,Brazil,None,delphi,93,12.357532152365462,7.542752952782833,9.950142552574148
Brazil,Brazil,None,delphi_constant,93,2.9604193062041877,18.898739170453254,10.92957923832872
Brazil,Brazil,None,themis,93,66.33526404325616,101.6789670988749,84.00711557106553
Brazil,Brazil,None,sir,93,4248.080024265511,100.0,2174.0400121327557
Brazil,Brazil,None,seir,93,1370.0077699398907,2677.54199727326,2023.7748836065755
Brazil,Brazil,None,seird,93,2504.302691537598,11572.276705369486,7038.289698453542
Bulgaria,Bulgaria,None,delphi,93,39.20785954862156,19.569608552598922,29.388734050610243
Bulgaria,Bulgaria,None,delphi_constant,93,37.68152546889224,18.411074182387928,28.046299825640084
Bulgaria,Bulgaria,None,themis,93,29.58807103235692,13.473123718102928,21.530597375229924
Bulgaria,Bulgaria,None,sir,93,23.10791019956574,99.41834004698318,61.263125123274456
Bulgaria,Bulgaria,None,seir,93,21.920788956925595,43.98076476689423,32.950776861909915
Bulgaria,Bulgaria,None,seird,93,27.62846655881775,45.95979561811427,36.79413108846601
Burkina Faso,Burkina Faso,None,delphi,93,8.648873113694746,7.859967061794695,8.25442008774472
Burkina Faso,Burkina Faso,None,delphi_constant,93,16.711112345235257,2.2049033403746594,9.458007842804959
Burkina Faso,Burkina Faso,None,themis,93,16.228416141200633,2.3972431885755183,9.312829664888076
Burkina Faso,Burkina Faso,None,sir,93,12.666593300621473,100.0,56.333296650310736
Burkina Faso,Burkina Faso,None,seir,93,20.561518032315842,54.80984988409927,37.685683958207555
Burkina Faso,Burkina Faso,None,seird,93,20.401306141185852,55.49058726500427,37.94594670309506
Burundi,Burundi,None,delphi,92,33.158451437840476,37.63248366311023,35.39546755047535
Burundi,Burundi,None,delphi_constant,92,3449.842506535452,1109.2906840050557,2279.566595270254
Burundi,Burundi,None,themis,92,20.425116386347238,50.7575561683601,35.59133627735367
Burundi,Burundi,None,sir,93,737.3280584619538,100.0,418.6640292309769
Burundi,Burundi,None,seir,93,421.1737225899136,4780.927130519091,2601.0504265545023
Burundi,Burundi,None,seird,93,146.8444301316499,3507.2665276175803,1827.0554788746151
Cambodia,Cambodia,None,delphi,93,26.085160456506593,,26.085160456506593
Cambodia,Cambodia,None,delphi_constant,93,910480.381356505,,910480.381356505
Cambodia,Cambodia,None,themis,93,34.56956156989135,,34.56956156989135
Cambodia,Cambodia,None,sir,93,25.26300161183727,,25.26300161183727
Cambodia,Cambodia,None,seir,93,88.1006240336874,,88.1006240336874
Cambodia,Cambodia,None,seird,93,36.158052989863556,,36.158052989863556
Cameroon,Cameroon,None,delphi,93,24.380902471240855,31.881189420462267,28.13104594585156
Cameroon,Cameroon,None,delphi_constant,93,42.34941098528181,48.36072921146487,45.35507009837334
Cameroon,Cameroon,None,themis,93,154.45030166562026,151.41374844608004,152.93202505585015
Cameroon,Cameroon,None,sir,93,800.9015548525481,100.0,450.45077742627404
Cameroon,Cameroon,None,seir,93,910.0883252209709,1292.338028933725,1101.2131770773478
Cameroon,Cameroon,None,seird,93,1594.3415394344343,16842.321564988393,9218.331552211414
Canada - Alberta,Canada,Alberta,delphi,93,22.037690767999152,16.19387808282755,19.115784425413352
Canada - Alberta,Canada,Alberta,delphi_constant,93,21.86554612740686,16.050784780418418,18.95816545391264
Canada - Alberta,Canada,Alberta,themis,93,21.10533231428215,15.502371716186909,18.30385201523453
Canada - Alberta,Canada,Alberta,sir,93,11913.354716065402,100.0,6006.677358032701
Canada - Alberta,Canada,Alberta,seir,93,278.10279613197866,268.62897859920605,273.36588736559236
Canada - Alberta,Canada,Alberta,seird,93,312.33410276710015,316.738817768189,314.53646026764454
Canada - British Columbia,Canada,British Columbia,delphi,93,20.90924748693428,3.783667403059974,12.346457444997128
Canada - British Columbia,Canada,British Columbia,delphi_constant,93,3711.9486016472174,2156.611533772623,2934.2800677099203
Canada - British Columbia,Canada,British Columbia,themis,93,19.541586364859437,2.855609822718663,11.19859809378905
Canada - British Columbia,Canada,British Columbia,sir,93,5284.31966775998,99.47697078404829,2691.8983192720143
Canada - British Columbia,Canada,British Columbia,seir,93,21.900953545624443,23.007609234083663,22.454281389854053
Canada - British Columbia,Canada,British Columbia,seird,93,23.29863923223533,29.154729560320874,26.226684396278102
Canada - Manitoba,Canada,Manitoba,delphi,93,30.960300372338025,18.34892545186932,24.654612912103673
Canada - Manitoba,Canada,Manitoba,delphi_constant,93,30.85313986315374,18.297730334556423,24.57543509885508
Canada - Manitoba,Canada,Manitoba,themis,93,29.901569395212473,17.7845930379376,23.843081216575037
Canada - Manitoba,Canada,Manitoba,sir,93,30.602874878512385,100.0,65.30143743925619
Canada - Manitoba,Canada,Manitoba,seir,93,254.35318778446026,555.3344967455981,404.8438422650292
Canada - Manitoba,Canada,Manitoba,seird,93,32.701529412055685,25.444667364053153,29.07309838805442
Canada - New Brunswick,Canada,New Brunswick,delphi,93,38.51278357963528,41.9411609260416,40.226972252838436
Canada - New Brunswick,Canada,New Brunswick,delphi_constant,93,41.35010480540734,41.5299995104381,41.44005215792272
Canada - New Brunswick,Canada,New Brunswick,themis,93,46.860657916365405,40.960257802145335,43.910457859255374
Canada - New Brunswick,Canada,New Brunswick,sir,93,3.3718313359702283,100.0,51.685915667985114
Canada - New Brunswick,Canada,New Brunswick,seir,93,5.941306855627326,86.7436152527494,46.34246105418836
Canada - New Brunswick,Canada,New Brunswick,seird,93,11.307852758610196,88.34085874670038,49.824355752655286
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,delphi,93,1.643145935952009,0.5741970116271998,1.1086714737896044
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,delphi_constant,93,1.6431459665310537,0.5741969852331129,1.1086714758820833
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,themis,93,1.6431459659748506,0.5741969857128248,1.1086714758438379
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,sir,93,40.14137912471342,100.0,70.0706895623567
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,seir,93,39.03645610066834,42.227796444302676,40.63212627248551
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,seird,93,34.095426410624725,30.245776694072255,32.17060155234849
Canada - Nova Scotia,Canada,Nova Scotia,delphi,93,0.6933884559195125,2.6967824498233592,1.6950854528714359
Canada - Nova Scotia,Canada,Nova Scotia,delphi_constant,93,0.6923060746749696,2.6976918372603347,1.6949989559676522
Canada - Nova Scotia,Canada,Nova Scotia,themis,93,0.6649404330249215,2.722597658254675,1.6937690456397982
Canada - Nova Scotia,Canada,Nova Scotia,sir,93,200.5798584356983,100.0,150.28992921784914
Canada - Nova Scotia,Canada,Nova Scotia,seir,93,1154.3542625879097,494.19924851407666,824.2767555509931
Canada - Nova Scotia,Canada,Nova Scotia,seird,93,1257.1254892640613,594.2616806458379,925.6935849549496
Canada - Ontario,Canada,Ontario,delphi,93,222.40240852479798,252.59794442669227,237.50017647574512
Canada - Ontario,Canada,Ontario,delphi_constant,93,212.38940632582023,242.6737884540984,227.5315973899593
Canada - Ontario,Canada,Ontario,themis,93,227.88887391413977,257.8425416500191,242.86570778207943
