region,country,province,cap_ratio,eval_days,capped_days,capped_fraction,mean_policy_over_arctan_ratio
Lithuania,Lithuania,None,1.5,93,38,0.40860215053763443,1.2971250661947142
Luxembourg,Luxembourg,None,1.5,93,93,1.0,3.8866181760410186
Madagascar,Madagascar,None,1.5,93,89,0.956989247311828,13.145706498347511
Malawi,Malawi,None,1.5,93,90,0.967741935483871,9.100397759628661
Malaysia,Malaysia,None,1.5,93,56,0.6021505376344086,1.7335396781896453
Mali,Mali,None,1.5,93,56,0.6021505376344086,1.6107122673431102
Malta,Malta,None,1.5,93,77,0.8279569892473119,1.4993662172677868
Mauritania,Mauritania,None,1.5,93,93,1.0,5.823083090285516
Mauritius,Mauritius,None,1.5,93,0,0.0,1.0174532958524116
Mexico,Mexico,None,1.5,93,56,0.6021505376344086,1.567897895265965
Moldova,Moldova,None,1.5,93,0,0.0,1.082900744499625
Monaco,Monaco,None,1.5,93,88,0.946236559139785,18.725205926997713
Mongolia,Mongolia,None,1.5,93,93,1.0,38.9831068966059
Morocco,Morocco,None,1.5,93,85,0.9139784946236559,1.9368547268204581
Mozambique,Mozambique,None,1.5,93,93,1.0,9.166699555313684
Namibia,Namibia,None,1.5,93,87,0.9354838709677419,13.93782763306529
Nepal,Nepal,None,1.5,93,93,1.0,13.465305456475443
Netherlands,Netherlands,None,1.5,93,90,0.967741935483871,4.501237061914043
New Zealand,New Zealand,None,1.5,93,89,0.956989247311828,291.2592688012772
Nicaragua,Nicaragua,None,1.5,93,88,0.946236559139785,4.233407070652221
Niger,Niger,None,1.5,93,0,0.0,0.96227699171982
Nigeria,Nigeria,None,1.5,93,37,0.3978494623655914,1.4424407319260921
Norway,Norway,None,1.5,93,57,0.6129032258064516,1.5097526937270558
Oman,Oman,None,1.5,93,69,0.7419354838709677,1.7196885359495044
Pakistan,Pakistan,None,1.5,93,37,0.3978494623655914,1.5574187657311662
Panama,Panama,None,1.5,93,0,0.0,0.996421286438013
Paraguay,Paraguay,None,1.5,93,85,0.9139784946236559,2.0776651188662325
Peru,Peru,None,1.5,93,93,1.0,3.1843382231159936
Philippines,Philippines,None,1.5,93,0,0.0,1.1225383042903831
Poland,Poland,None,1.5,93,39,0.41935483870967744,1.5669662828069877
Portugal,Portugal,None,1.5,93,0,0.0,1.0204165463255814
Qatar,Qatar,None,1.5,93,93,1.0,2.7301739535774887
Romania,Romania,None,1.5,93,51,0.5483870967741935,1.4708456232519416
Russia,Russia,None,1.5,93,87,0.9354838709677419,3.1231344849402403
Rwanda,Rwanda,None,1.5,93,87,0.9354838709677419,3.1729580293595125
San Marino,San Marino,None,1.5,93,93,1.0,5.271384384280539
Saudi Arabia,Saudi Arabia,None,1.5,93,44,0.4731182795698925,1.488015629284114
Senegal,Senegal,None,1.5,93,88,0.946236559139785,2.2038422421479273
Serbia,Serbia,None,1.5,93,77,0.8279569892473119,2.116764910658758
Sierra Leone,Sierra Leone,None,1.5,93,81,0.8709677419354839,1.885205899615235
Singapore,Singapore,None,1.5,93,92,0.989247311827957,5.997186607269075
Slovakia,Slovakia,None,1.5,93,89,0.956989247311828,56.28560024816547
Slovenia,Slovenia,None,1.5,93,91,0.978494623655914,8.655548664746105
Somalia,Somalia,None,1.5,93,93,1.0,4.261046488747688
South Africa,South Africa,None,1.5,93,0,0.0,1.108736746777518
South Sudan,South Sudan,None,1.5,93,93,1.0,13.72339602864921
Spain,Spain,None,1.5,93,84,0.9032258064516129,5.046412383334797
Sri Lanka,Sri Lanka,None,1.5,93,93,1.0,3.402569993904214
Sudan,Sudan,None,1.5,93,93,1.0,7.009039045206494
Suriname,Suriname,None,1.5,93,93,1.0,12.718128291458628
Sweden,Sweden,None,1.5,93,0,0.0,1.1546075219377856
Switzerland,Switzerland,None,1.5,93,86,0.9247311827956989,2.477616122256001
Tajikistan,Tajikistan,None,1.5,93,89,0.956989247311828,14.193918270287234
Tanzania,Tanzania,None,1.5,93,0,0.0,0.2334203781429331
