policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",15940736491.779966,113759156577895.4,14740404181.27451,28773264210.370987,741568,7322554,113802670246287.06,15940736491.779966,113818610982778.84
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",19540021466.156284,109780612634862.05,14339552831.0,28377539475.970985,715633,7019827,109823329727169.02,19540021466.156284,109842869748635.17
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",30553312896.948986,97277032955122.81,13063419899.019608,27145838119.17099,634125,6077583,97317242213141.0,30553312896.948986,97347795526037.95
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",21767397307.488495,107177004268456.36,14076301277.529411,28118520410.370987,698661,6821679,107219199090144.27,21767397307.488495,107240966487451.75
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",32273625808.538826,96083214433649.12,12938525814.803923,27031442432.77099,626343,5990071,96123184401896.69,32273625808.538826,96155458027705.22
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",38442749292.78883,96083214433649.12,12938525814.803923,27031442432.77099,626343,5990071,96123184401896.69,38442749292.78883,96161627151189.47
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",17982634424.90963,95499763748777.5,12001648534.254902,27442364674.370987,622540,6304424,95539207761986.12,17982634424.90963,95557190396411.03
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",20993164693.627457,88110591030327.5,11265354904.470589,26693106392.77099,574371,5731246,88148549491624.73,20993164693.627457,88169542656318.36
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",31366937432.008987,72284786142027.42,9702361620.058825,25077388891.970985,471207,4495232,72319565892539.45,31366937432.008987,72350932829971.47
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",22974773090.025017,84185081215161.22,10882092551.37255,26286509675.97099,548782,5420202,84222249817388.56,22974773090.025017,84245224590478.6
