policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",18945505609.283928,143409436598229.9,19820069215.941177,28854245234.658897,934851,8702828,143458110912680.5,18945505609.283928,143477056418289.78
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",23161612534.106342,143148997816743.72,19793125452.333336,28828907777.0589,933153,8683445,143197619849973.12,23161612534.106342,143220781462507.22
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",36083025984.56125,142254901935745.9,19699642087.52941,28742989442.658897,927325,8617718,142303344567276.1,36083025984.56125,142339427593260.66
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",25792433522.010654,142975278001246.28,19775053835.411766,28812148165.8589,932021,8670624,143023865203247.53,25792433522.010654,143049657636769.53
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",37973059411.576256,142124305616117.22,19685918284.666668,28730506989.8589,926474,8608169,142172722041391.72,37973059411.576256,142210695100803.28
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",44079471880.50037,141729436080763.3,19644293093.31373,28692850479.458897,923900,8579362,141777773224336.1,44079471880.50037,141821852696216.6
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",22730121912.113564,139500557795850.6,19209989322.019608,28569807665.0589,909370,8485235,139548337592837.67,22730121912.113564,139571067714749.78
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",26913914388.659607,139040003216718.6,19162265036.294117,28525066130.658897,906368,8451008,139087690547885.55,26913914388.659607,139114604462274.2
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",39745496546.462616,137592955371700.17,19011521143.11765,28385206188.258896,896935,8344016,137640352099031.56,39745496546.462616,137680097595578.03
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",29526473054.643238,138754550109547.02,19132590711.568626,28497340418.658897,904507,8429798,138802180040677.23,29526473054.643238,138831706513731.88
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",41623556821.66409,137388071323643.1,18990091615.784313,28365534135.458897,895599,8328967,137435426949394.33,41623556821.66409,137477050506216.0
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",47694398145.01854,136772061887035.98,18925304389.07843,28306517977.0589,891584,8283820,136819293709402.12,47694398145.01854,136866988107547.14
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",33128365595.865265,117622429463526.22,15865409339.803923,26968784399.458897,766752,7260462,117665263657265.47,33128365595.865265,117698392022861.33
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",37059555046.25948,115692371167692.72,15672988987.411766,26772360605.858894,754170,7110199,115734816517285.98,37059555046.25948,115771876072332.25
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",49254056680.74788,110547265362328.92,15158285588.666668,26249948583.458897,720631,6710557,110588673596501.05,49254056680.74788,110637927653181.8
No_Measure-Restrict_Mass_Gatherings_and_Schools-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",39523413697.52911,114545790444658.55,15558581920.450981,26655343983.458897,746696,7020682,114588004370562.45,39523413697.52911,114627527784259.98
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",51066802324.338196,109961465245018.86,15099353781.470589,26191056609.0589,716812,6665505,110002755655409.39,51066802324.338196,110053822457733.73
No_Measure-Restrict_Mass_Gatherings_and_Schools-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",56969703866.48266,108350490777617.39,14935501045.09804,26031196506.658897,706310,6543213,108391457475169.14,56969703866.48266,108448427179035.62
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",25016150958.775234,136428761051514.72,18732360239.45098,28346008489.0589,889346,8314030,136475839420243.23,25016150958.775234,136500855571202.02
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",29170158587.48259,135786646906122.12,18665885674.37255,28283381844.258896,885160,8266121,135833596173640.77,29170158587.48259,135862766332228.25
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",41984495052.80072,134279576864906.72,18515628264.11765,28133166263.458897,875336,8151207,134326225659434.3,41984495052.80072,134368210154487.1
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",31765101481.743477,135394075835222.34,18625393919.803925,28245078269.858894,882601,8236819,135440946307412.0,31765101481.743477,135472711408893.75
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",43781723491.6407,133534353226320.03,18431632462.0,28064956567.4589,870478,8099027,133580849815349.48,43781723491.6407,133624631538841.12
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Lockdown,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",49856189414.58961,132960066581711.75,18374188314.098038,28008116897.0589,866734,8055545,133006448886922.9,49856189414.58961,133056305076337.5
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",34263605001.74511,111657620320574.03,15031448768.588236,26503065641.0589,727869,6904190,111699154834983.69,34263605001.74511,111733418439985.44
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",38259218716.6429,110224142204583.73,14900773794.588236,26345327124.258896,718524,6783521,110265388305502.6,38259218716.6429,110303647524219.23
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",50421018408.12351,105006999935012.5,14391176953.156864,25803278343.458897,684515,6368857,105047194390309.11,50421018408.12351,105097615408717.23
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",40693636476.0714,108922694952782.1,14772704769.431374,26210631929.0589,710040,6680480,108963678289480.6,40693636476.0714,109004371925956.67
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",52217931191.142944,104327585645534.45,14322669934.058825,25734879103.458897,680086,6316532,104367643194571.97,52217931191.142944,104419861125763.11
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown']",58096925614.52081,102578643997009.81,14144950921.627453,25560663330.658897,668685,6183258,102618349611262.1,58096925614.52081,102676446536876.61
No_Measure-Lockdown-No_Measure,"['No_Measure', 'Lockdown', 'No_Measure']",38165461981.47089,94270794575141.16,12610558301.941177,25141624684.258896,614528,5862696,94308546758127.36,38165461981.47089,94346712220108.83
No_Measure-Lockdown-Restrict_Mass_Gatherings,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings']",41958718546.036514,91764504849540.5,12378599214.431374,24862375391.458897,598190,5649072,91801745824146.39,41958718546.036514,91843704542692.42
No_Measure-Lockdown-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']",54073529058.99074,86590344434361.42,11896676145.529411,24292110698.658897,564461,5212823,86626533221205.61,54073529058.99074,86680606750264.6
No_Measure-Lockdown-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",44397862435.02632,90601143781152.39,12273056862.352942,24730518127.458897,590607,5548202,90638147356142.2,44397862435.02632,90682545218577.23
No_Measure-Lockdown-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",55919102907.91706,86242103475571.69,11865781532.137257,24252931300.258896,562191,5182851,86278222188404.1,55919102907.91706,86334141291312.02
No_Measure-Lockdown-Lockdown,"['No_Measure', 'Lockdown', 'Lockdown']",61829778290.993546,84722741247297.3,11714935320.156864,24097739209.0589,552287,5064130,84758553921826.52,61829778290.993546,84820383700117.52
Restrict_Mass_Gatherings-No_Measure-No_Measure,"['Restrict_Mass_Gatherings', 'No_Measure', 'No_Measure']",23073126588.33095,140291633174228.58,19183424197.215687,28775774018.658897,914527,8642798,140339592372444.45,23073126588.33095,140362665499032.78
Restrict_Mass_Gatherings-No_Measure-Restrict_Mass_Gatherings,"['Restrict_Mass_Gatherings', 'No_Measure', 'Restrict_Mass_Gatherings']",27254694235.57637,139812511426148.42,19133388187.31373,28729696525.858894,911404,8607549,139860374510861.6,27254694235.57637,139887629205097.17
