policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",19330124607.331768,147930016415814.12,20571556911.960785,29085200023.458897,964320,8879507,147979673172749.56,19330124607.331768,147999003297356.9
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",23566936377.044823,147793577404183.28,20556941762.72549,29072295345.0589,963430,8869635,147843206641291.06,23566936377.044823,147866773577668.1
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",36564285733.23784,147366482474737.12,20511043504.490196,29031974761.0589,960646,8838790,147416025493002.7,36564285733.23784,147452589778735.94
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",26212249232.51689,147708252820464.6,20547776303.686275,29064237764.258896,962874,8863471,147757864834532.53,26212249232.51689,147784077083765.06
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",38465539091.970474,147305558299380.4,20504482204.37255,29026229617.0589,960249,8834395,147355089011201.84,38465539091.970474,147393554550293.8
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",44605868234.577286,147121853463027.84,20484692395.156864,29008939282.658897,959051,8821168,147171347094705.66,44605868234.577286,147215952962940.22
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",23305279471.18527,145602453483158.44,20212996638.941177,28915176441.0589,949147,8749440,145651581656238.44,23305279471.18527,145674886935709.62
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",27534580809.3062,145421356009800.5,20193995207.882355,28897761922.658897,947966,8736118,145470447766931.03,27534580809.3062,145497982347740.34
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",40509614387.45549,144860746423363.16,20134970109.352943,28844041231.4589,944312,8695022,144909725434703.97,40509614387.45549,144950235049091.44
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",30175293797.54518,145308714552262.06,20182167358.274513,28886942228.258896,947232,8727841,145357783661848.6,30175293797.54518,145387958955646.12
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",42407841804.18434,144781559961892.75,20126615835.588238,28836479079.458897,943796,8689237,144830523056807.8,42407841804.18434,144872930898612.0
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",48539312991.38582,144544449426927.5,20101548306.980392,28813869748.258896,942250,8671941,144593364844982.72,48539312991.38582,144641904157974.1
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",34745511726.28161,132432675676054.28,18215985607.490196,27939843148.258896,863296,8003316,132478831504810.03,34745511726.28161,132513577016536.31
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",38925827634.92834,131983924817092.08,18173192683.0,27893014015.458897,860371,7967492,132029991023790.53,38925827634.92834,132068916851425.45
