region,reason
Armenia,not_in_gamma_matrix
Barbados,not_in_gamma_matrix
Belize,not_in_gamma_matrix
Bhutan,not_in_gamma_matrix
Botswana,not_in_gamma_matrix
Cabo Verde,not_in_gamma_matrix
Comoros,not_in_gamma_matrix
Congo (Brazzaville),not_in_gamma_matrix
Equatorial Guinea,not_in_gamma_matrix
Gambia,not_in_gamma_matrix
Guinea-Bissau,not_in_gamma_matrix
Lesotho,not_in_gamma_matrix
Liechtenstein,not_in_gamma_matrix
Maldives,not_in_gamma_matrix
Montenegro,not_in_gamma_matrix
North Macedonia,not_in_gamma_matrix
Papua New Guinea,not_in_gamma_matrix
Sao Tome and Principe,not_in_gamma_matrix
Seychelles,not_in_gamma_matrix
