death_bin,econ_bin,death_bin_idx,econ_bin_idx,recommended_npi,recommended_short,recommended_severity,min_total_cost,n_simulations_in_bin,region
<5,<0.9%,0,0,Lockdown,Lock,5,53489581839.73605,1,DE
<5,0.9-1.3%,0,1,Lockdown,Lock,5,64692041088.63652,21,DE
<5,>1.3%,0,2,Lockdown,Lock,5,88359668062.22435,49,DE
5-14,<0.9%,1,0,Lockdown,Lock,5,56448148558.27336,20,DE
5-14,0.9-1.3%,1,1,Lockdown,Lock,5,69749361137.51149,35,DE
5-14,>1.3%,1,2,Lockdown,Lock,5,81464995498.77858,19,DE
>14,<0.9%,2,0,Lockdown,Lock,5,59900735744.11115,50,DE
>14,0.9-1.3%,2,1,Lockdown,Lock,5,75204196401.83429,18,DE
>14,>1.3%,2,2,Lockdown,Lock,5,90869880727.39743,3,DE
