region,policy_vector,month1,month2,month3,month1_severity,economic_costs,humanitarian_costs,total_costs,econ_pct_gdp,num_cases,num_deaths,cases_per_capita,deaths_per_100k,hospitalization_days,hosp_rate,icu_days,month1_gamma,case_growth_proxy,weighted_cost
BR,"['No_Measure', 'No_Measure', 'No_Measure']",No_Measure,No_Measure,No_Measure,0,34135045606.546307,2595915816284.923,2630050861891.469,0.4583115682941234,12509667,570258,0.06024317073592989,274.6208197031137,14571284.588235294,0.07017136309790523,567910.4117647059,1.0431688103234171,-0.002600626010780591,2595915816284.923
BR,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",No_Measure,No_Measure,Restrict_Mass_Gatherings,0,31718792158.1661,2049442923313.4636,2081161715471.6296,0.4258699269356351,9796941,448349,0.04717941647470166,215.9127445701267,12105518.235294119,0.05829689966133681,467185.7647058824,1.0431688103234171,-0.0020366792809658973,2049442923313.4636
BR,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,No_Measure,Restrict_Mass_Gatherings_and_Schools,0,31832724129.802757,928874270341.0024,960706994470.8052,0.42739962580293717,4239505,198382,0.020416308727548738,95.53540231674627,6898641.352941177,0.03322198975170016,255551.64705882355,1.0431688103234171,-0.0008813477589638772,928874270341.0024
BR,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,30955001627.74873,1751515642420.5955,1782470644048.3442,0.4156149520374427,8317204,381888,0.04005340354923589,183.90692562801866,10763065.11764706,0.05183200875965308,412398.8823529412,1.0431688103234171,-0.0017290577806242464,1751515642420.5955
BR,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,0,32787014204.939854,837619113949.7412,870406128154.681,0.4402123282081076,3789345,178027,0.0182484599959649,85.7329851914155,6432006.647058823,0.03097480329519568,236793.35294117648,1.0431688103234171,-0.000787764308260274,837619113949.7412
BR,"['No_Measure', 'No_Measure', 'Lockdown']",No_Measure,No_Measure,Lockdown,0,37061476518.4767,621719691012.2853,658781167530.762,0.4976030681857774,2728720,129872,0.013140777036714615,62.54284042746051,5250187.176470588,0.025283480564886922,189638.82352941178,1.0431688103234171,-0.0005672717114002487,621719691012.2853
BR,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",No_Measure,Restrict_Mass_Gatherings,No_Measure,0,27737729469.34603,1738422734745.124,1766160464214.47,0.37241849448638603,8337978,379003,0.04015344551109372,182.51758770580892,9261020.05882353,0.0445985662602032,361684.9411764706,1.0431688103234171,-0.0017333764731000698,1738422734745.124
BR,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,0,27069542492.811012,1322985477867.8564,1350055020360.6675,0.3634471333621242,6265876,286325,0.030174763059493546,137.88637108377966,7530203.0,0.0362634197221406,290475.0,1.0431688103234171,-0.0013026086230693307,1322985477867.8564
BR,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,0,32204592280.887287,575503312260.0217,607707904540.909,0.4323924849743191,2548558,119581,0.012273165602603171,57.58697333648635,4212304.823529412,0.02028532003894775,155037.17647058825,1.0431688103234171,-0.0005298179579666638,575503312260.0217
BR,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,27461473673.961105,1111111007295.083,1138572480969.0442,0.368709367265858,5209683,239060,0.025088423412795196,115.12482623343531,6632704.05882353,0.031941307714793775,253639.9411764706,1.0431688103234171,-0.0010830373916205333,1111111007295.083
