policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",23735924863.883846,1151293843293.828,31364894001.25628,131440381310.37534,195276,3325041,1314099118605.4595,23735924863.883846,1337835043469.3433
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",26529808348.457348,1148469886895.886,31277757974.91132,131359800374.34235,194794,3307374,1311107445245.1396,26529808348.457348,1337637253593.597
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",34814913853.59952,1130653081270.6863,30720796349.24623,130931777721.98434,191771,3213532,1292305655341.917,34814913853.59952,1327120569195.5166
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",28302091107.078045,1146685074589.036,31223912608.70529,131310143689.52934,194495,3296487,1309219130887.2705,28302091107.078045,1337521221994.3486
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",35669926134.30127,1121542466883.1274,30434782328.074196,130700169675.86334,190211,3162753,1282677418887.065,35669926134.30127,1318347345021.3662
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",40283605928.61464,1128955044386.8174,30670185311.151344,130879826804.37434,191488,3202142,1290505056502.343,40283605928.61464,1330788662430.9578
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",25745454567.453117,1102960757949.392,29899554315.69613,130858645060.61835,187067,3197498,1263718957325.7065,25745454567.453117,1289464411893.1597
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",28413942528.73563,1096654011268.4001,29702694476.093704,130697943859.55135,185991,3162265,1257054649604.0452,28413942528.73563,1285468592132.7808
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",36687662068.965515,1079862719263.9668,29182809151.197163,130262646254.28835,183146,3066828,1239308174669.4524,36687662068.965515,1275995836738.418
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",30108807864.488808,1092695881947.6975,29580994258.018036,130598822056.08334,185327,3140533,1252875698261.7988,30108807864.488808,1282984506126.2876
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",37419934361.76649,1067516412201.8813,28800155355.084244,129952614671.96135,181057,2998855,1226269182228.927,37419934361.76649,1263689116590.6936
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",42051367695.09982,1075208337655.7188,29037233923.40378,130143615253.68535,182351,3040731,1234389186832.8079,42051367695.09982,1276440554527.9077
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",30211393345.432545,880766786460.1285,23146798934.30387,127990402515.56735,149374,2568649,1031903987909.9998,30211393345.432545,1062115381255.4323
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",32737560314.57955,872657117178.0579,22903819817.469704,127738766683.73735,148019,2513479,1023299703679.2649,32737560314.57955,1056037263993.8445
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",40290052147.610405,840765345803.4929,21920377867.794857,126842647563.20735,142606,2317009,989528371234.4951,40290052147.610405,1029818423382.1055
No_Measure-Restrict_Mass_Gatherings_and_Schools-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",34249186569.87296,864876479521.7239,22663624300.8055,127522566030.03835,146700,2466078,1015062669852.5677,34249186569.87296,1049311856422.4407
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",40672671808.83243,820538234065.6941,21290452873.669823,126309208790.76135,139161,2200055,968137895730.1252,40672671808.83243,1008810567538.9576
No_Measure-Restrict_Mass_Gatherings_and_Schools-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",45499601088.92922,832608886126.8368,21668100165.053207,126625119629.69934,141224,2269317,980902105921.5894,45499601088.92922,1026401707010.5186
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",26883078644.88808,1062007038546.306,28689920505.838013,130403479308.11134,180135,3097705,1221100438360.2554,26883078644.88808,1247983517005.1436
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",29472393103.448273,1053658885235.077,28429665632.27904,130192190958.03534,178717,3051381,1212280741825.3914,29472393103.448273,1241753134928.8396
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",37433858802.17786,1028458017887.103,27644547482.41206,129557381760.31435,174437,2912202,1185659947129.8296,37433858802.17786,1223093805932.0073
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",31117702722.32305,1048482296802.2617,28268984280.926693,130061406005.30934,177840,3022707,1206812687088.4978,31117702722.32305,1237930389810.8208
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",38118445674.53116,1015339389836.4619,27238070394.65711,129216882036.66734,172210,2837549,1171794342267.7864,38118445674.53116,1209912787942.3176
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Lockdown,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",42869178221.4156,1026353869120.2972,27580775018.105232,129484107704.87935,174073,2896137,1183418751843.2817,42869178221.4156,1226287930064.6973
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",26723741500.302483,687356536841.3167,17238855503.029854,124984090942.68735,116592,1909529,829579483287.0339,26723741500.302483,856303224787.3364
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",29094880883.24259,676722151567.7816,16910757564.661545,124633401723.87434,114768,1832642,818266310856.3175,29094880883.24259,847361191739.56
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",36945577918.93527,654884838617.5372,16246644316.028671,123927817952.97035,111074,1677946,795059300886.5363,36945577918.93527,832004878805.4716
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",30645376467.029644,670721175670.2155,16729444721.253326,124442036254.23035,113761,1790686,811892656645.6991,30645376467.029644,842538033112.7288
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",37628230248.033875,643076945199.9266,15883538999.445759,123586082171.49434,109070,1603022,782546566370.8668,37628230248.033875,820174796618.9006
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown']",42294114156.07986,650729156204.461,16119766370.750814,123799094616.99234,110369,1649724,790648017192.2042,42294114156.07986,832942131348.284
No_Measure-Lockdown-No_Measure,"['No_Measure', 'Lockdown', 'No_Measure']",33913583303.085297,801366257623.1036,20723593666.272537,126809762039.41734,135918,2309799,948899613328.7936,33913583303.085297,982813196631.8789
No_Measure-Lockdown-Restrict_Mass_Gatherings,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings']",36541881306.715065,796820334606.866,20591161419.080696,126623381850.98035,135155,2268936,944034877876.927,36541881306.715065,980576759183.6421
No_Measure-Lockdown-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']",44041676467.02964,765171594522.0339,19617247460.537987,125693592697.63234,129778,2065084,910482434680.2042,44041676467.02964,954524111147.2339
No_Measure-Lockdown-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",38032541681.79068,789054740904.876,20349410391.22081,126393785249.51834,133822,2218598,935797936545.6151,38032541681.79068,973830478227.4058
