policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",25166458923.16999,1302426372661.3633,34507862385.78924,132354407305.57936,220903,3525437,1469288642352.732,25166458923.16999,1494455101275.9019
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",28020955716.878403,1300702654348.3164,34453900812.03813,132312554661.15536,220610,3516261,1467469109821.5098,28020955716.878403,1495490065538.3882
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",36773164186.32788,1295329600150.0215,34286021518.807274,132182982960.76337,219699,3487853,1461798604629.5923,36773164186.32788,1498571768815.9202
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",29830194676.346035,1299679593397.265,34420276486.4765,132286510785.86536,220427,3510551,1466386380669.607,29830194676.346035,1496216575345.953
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",37843910163.339386,1291389117190.447,34163705339.454628,132089215887.52136,219035,3467295,1457642038417.4229,37843910163.339386,1495485948580.7622
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",42267747731.39746,1293880648605.5095,34239969964.713276,132147575149.22636,219449,3480090,1460268193719.4492,42267747731.39746,1502535941450.8467
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",27589716757.41077,1274673386249.9985,33699312624.18711,132037018670.56537,216181,3455851,1440409717544.751,27589716757.41077,1467999434302.1619
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",30439873321.23412,1272934633105.8572,33645705156.074493,131992392877.94936,215887,3446067,1438572731139.881,30439873321.23412,1469012604461.1152
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",39161521718.08832,1266895839304.3354,33459870255.948864,131843295112.73836,214874,3413378,1432199004673.0227,39161521718.08832,1471360526391.111
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",32245999879.007866,1271733804729.653,33611319981.673073,131964360363.49536,215699,3439921,1437309485074.8215,32245999879.007866,1469555484953.8293
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",40203613611.61524,1262364611930.4033,33316891275.421227,131731219788.11035,214096,3388806,1427412722993.9348,40203613611.61524,1467616336605.55
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",44645433151.84513,1265176784451.7034,33406270266.775055,131801068458.19635,214582,3404120,1430384123176.6748,44645433151.84513,1475029556328.52
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",34404797822.14156,1158586980984.9734,30280664804.020103,130669738023.33536,196511,3156081,1319537383812.3289,34404797822.14156,1353942181634.4705
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",37147997701.14943,1154294558576.3625,30145780374.741356,130556773284.40236,195774,3131314,1314997112235.5063,37147997701.14943,1352145109936.6558
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",45622924016.938896,1142637143889.6973,29785871200.450783,130250034815.55336,193800,3064063,1302673049905.7014,45622924016.938896,1348295973922.6404
No_Measure-Restrict_Mass_Gatherings_and_Schools-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",38892333091.34906,1151619563997.4133,30065519906.77653,130489259897.00436,195334,3116512,1312174343801.1943,38892333091.34906,1351066676892.5435
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",46594944041.13733,1137115474395.5789,29614946198.012115,130093187743.14136,192855,3029675,1296823608336.7324,46594944041.13733,1343418552377.8696
No_Measure-Restrict_Mass_Gatherings_and_Schools-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",51078109981.85118,1140444884397.4368,29720292429.75909,130189454298.63536,193438,3050781,1300354631125.831,51078109981.85118,1351432741107.6821
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",29102606533.575317,1255816824852.904,33148690753.288498,131821625331.38936,212983,3408627,1420787140937.582,29102606533.575317,1449889747471.1572
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",31930804960.677555,1253430444426.796,33076118632.42684,131762969598.24936,212587,3395767,1418269532657.472,31930804960.677555,1450200337618.1494
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",40605431820.93164,1246231591509.2886,32852697377.54951,131583827873.92535,211370,3356491,1410668116760.7634,40605431820.93164,1451273548581.695
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",33724574712.643677,1252026947352.4243,33031691356.85782,131727041821.42636,212345,3387890,1416785680530.7085,33724574712.643677,1450510255243.352
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",41621632244.40411,1241009078787.1062,32689959684.15607,131455209443.22437,210484,3328292,1405154247914.4866,41621632244.40411,1446775880158.8906
