policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",19109632425.892315,813326421912.1293,22774707177.24653,128656884314.05176,137948,2676968,964758013403.4276,19109632425.892315,983867645829.32
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",21254594434.36177,795276892935.9487,22216552510.86314,128161681234.52275,134875,2568397,945655126681.3346,21254594434.36177,966909721115.6964
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",27919794797.338173,739999420365.857,20505808774.793083,126698635752.68875,125500,2247631,887203864893.3389,27919794797.338173,915123659690.677
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",22633401088.92922,784274944791.2576,21877107630.283775,127860616772.82976,133009,2502390,934012669194.3711,22633401088.92922,956646070283.3003
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",27981415910.46582,709999802398.8599,19572389854.345253,125960098041.50975,120416,2085710,855532290294.7148,27981415910.46582,883513706205.1807
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",32940450937.68905,726558131794.5757,20087436282.885014,126360416578.54176,123217,2173478,873005984656.0024,32940450937.68905,905946435593.6915
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",19426215486.993347,697026494024.7897,19155892185.07981,126993456069.85075,118215,2312269,843175842279.7202,19426215486.993347,862602057766.7136
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",21335798548.094376,674402006480.5651,18459791503.510197,126347859872.99475,114378,2170725,819209657857.0701,21335798548.094376,840545456405.1644
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",27740920629.159103,615435262116.085,16640763319.02158,124718639871.29376,104374,1813526,756794665306.4004,27740920629.159103,784535585935.5594
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",22661901391.409557,663071162583.1327,18112274349.209282,126013120817.38475,112451,2097335,807196557749.7267,22661901391.409557,829858459141.1362
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",27734175983.061104,583133986404.767,15633250327.298256,123936420514.99176,98900,1642028,722703657247.0569,27734175983.061104,750437833230.118
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",32717546279.491833,600686686485.0809,16184065521.615433,124352287838.51476,101885,1733205,741223039845.2112,32717546279.491833,773940586124.703
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",19066139866.908653,357987228910.5555,8692711161.690807,121041677984.75076,60721,1007369,487721618056.9971,19066139866.908653,506787757923.9057
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",21384532607.38052,347017731780.4067,8358961601.758794,120657286805.42676,58859,923093,476033980187.5922,21384532607.38052,497418512794.9727
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",29344970356.9268,326891156074.5587,7742246010.456696,120021820809.44975,55440,783770,454655222894.46515,29344970356.9268,484000193251.39197
No_Measure-Restrict_Mass_Gatherings_and_Schools-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",22941588505.747128,341384329353.223,8188860130.911913,120470112985.76376,57912,882056,470043302469.8987,22941588505.747128,492984890975.6458
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",30309323593.466423,320687095303.11316,7548806773.758498,119860075116.71176,54382,748308,448095977193.5834,30309323593.466423,478405300787.0498
