policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",12367213793.103447,491369512150.7133,13543501121.896246,125545206938.72595,83346,1732458,630458220211.3354,12367213793.103447,642825434004.4388
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",13909469207.501513,461917763266.03986,12638729015.55572,124664910270.62695,78338,1539457,599221402552.2225,13909469207.501513,613130871759.724
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",20109451179.67332,398062387523.3188,10668143707.249483,122904617966.96295,67506,1153521,531635149197.53125,20109451179.67332,551744600377.2046
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",14977071385.359951,444365459450.1212,12101204762.784512,124165004698.02896,75376,1429855,580631668910.9347,14977071385.359951,595608740296.2947
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",21098796430.732002,391934304267.39734,10478462320.388708,122758840681.82396,66476,1121560,525171607269.61005,21098796430.732002,546270403700.34204
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",25431296430.732002,391934304267.39734,10478462320.388708,122758840681.82396,66476,1121560,525171607269.61005,25431296430.732002,550602903700.342
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",11719994555.353903,367719323353.60187,9687014650.162577,123265966474.13896,62374,1232745,500672304477.90344,11719994555.353903,512392299033.2573
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",13499663399.879007,344768682984.7263,8986067814.772392,122537362836.58195,58480,1073002,476292113636.0807,13499663399.879007,489791777035.9597
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",20599771929.824562,303665682111.9075,7719587325.931126,121352197750.22395,51498,813160,432737467188.06256,20599771929.824562,453337239117.88715
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",14745050816.696915,331823593775.76105,8588230696.755838,122151051434.57895,56284,988305,462562875907.0958,14745050816.696915,477307926723.7927
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",21707795341.80278,300823468990.70844,7634425596.105528,121282248735.95996,51031,797824,429740143322.7739,21707795341.80278,451447938664.5767
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",26040295341.80278,300823468990.70844,7634425596.105528,121282248735.95996,51031,797824,429740143322.7739,26040295341.80278,455780438664.5767
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",14548959951.603146,173928339190.7204,3723664380.2837715,119351795511.90295,29506,374581,297003799082.9071,14548959951.603146,311552759034.51025
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",17398416938.89897,172671585021.0463,3685723602.645581,119306722731.58496,29294,364699,295664031355.27686,17398416938.89897,313062448294.17584
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",26259338173.018753,170787695642.9898,3625415600.9459066,119246612007.86395,28960,351520,293659723251.7997,26259338173.018753,319919061424.8184
No_Measure-Restrict_Mass_Gatherings_and_Schools-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",19224952571.08288,172362984128.78708,3673568212.089861,119291730399.17195,29226,361412,295328282740.0489,19224952571.08288,314553235311.1318
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",27469885238.95947,170584383472.46738,3619445240.2453446,119242169497.43796,28928,350546,293445998210.15063,27469885238.95947,320915883449.1101
No_Measure-Restrict_Mass_Gatherings_and_Schools-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",31802385238.95947,170584383472.46738,3619445240.2453446,119242169497.43796,28928,350546,293445998210.15063,31802385238.95947,325248383449.1101
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",11626992135.511192,304739640675.06757,7734493953.702335,122024503742.82396,51689,960560,434498638371.5939,11626992135.511192,446125630507.10504
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",13658836902.601332,287401416853.5879,7206316772.576117,121457025488.54095,48753,836143,416064759114.70496,13658836902.601332,429723596017.3063
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",21310697156.684814,259020406757.7436,6331477311.779486,120624396866.09096,43924,653593,385976280935.614,21310697156.684814,407286978092.2988
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",15097600120.992136,278966427973.8931,6948769060.707952,121194269697.34895,47325,778535,407109466731.95,15097600120.992136,422207066852.94214
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",22452542952.208107,257074850398.48117,6271506081.473544,120576058338.88896,43597,642995,383922414818.8437,22452542952.208107,406374957771.0518
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Lockdown,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",26785042952.208107,257074850398.48117,6271506081.473544,120576058338.88896,43597,642995,383922414818.8437,26785042952.208107,410707457771.0518
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",15549905323.653963,166085361229.319,3489730112.14159,119213430012.63896,28181,344245,288788521354.09955,15549905323.653963,304338426677.75354
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",18426388808.227467,165333610328.64862,3465462271.2459354,119185625553.13496,28045,338149,287984698153.02954,18426388808.227467,306411086961.257
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",27333396430.732002,164371971004.5027,3434657006.133609,119154961284.55795,27875,331426,286961589295.1942,27333396430.732002,314294985725.9262
