country,start_date,policy_length,policy,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub
BR,2020-03-15,3,actual,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,51595476220.417564,,,893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,
BR,2020-03-15,3,No_Measure-No_Measure-No_Measure,101786833999.17822,75821198963.35522,127752469035.00122,0,7809410122446.072,7215012543111.406,8403807701780.739,52748651271.58537,52748651271.58537,52748651271.58537,133927884625.97241,112409814383.82468,155445954868.12015,37302408,27786632.0,46818184.0,1771955,1649978.0,1893932.0,71593695.0,71593695.0,71593695.0,2599386.0,2599386.0,2599386.0,14729854,14729854.0,14729854.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings,104329560561.44695,78987186381.96739,129671934740.92651,0,7625049138494.62,7044707941458.246,8205390335530.994,51617442410.70732,51617442410.70732,51617442410.70732,131903157506.1438,110901591900.508,152904723111.7796,36407028,27119662.0,45694394.0,1730152,1611053.0,1849251.0,70073250.76470588,70073250.76470588,70073250.76470588,2541406.2352941176,2541406.2352941176,2541406.2352941176,14401302,14401302.0,14401302.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,110068625731.41374,87159735786.76721,132977515676.06029,0,6910987945077.477,6385126807511.177,7436849082643.777,47666576635.24391,47666576635.24391,47666576635.24391,123997724006.88855,105012819446.7482,142982628567.0289,32911067,24515514.0,41306620.0,1568296,1460339.0,1676253.0,64776226.176470585,64776226.176470585,64776226.176470585,2336912.823529412,2336912.823529412,2336912.823529412,13242506,13242506.0,13242506.0
BR,2020-03-15,3,No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,93683976111.8725,71892450635.86351,115475501587.88147,0,6584753435132.677,6083793198418.994,7085713671846.36,45982407891.14635,45982407891.14635,45982407891.14635,120367845833.45541,102308916204.7601,138426775462.15073,31305853,23319787.0,39291919.0,1494364,1391496.0,1597232.0,62521995.823529415,62521995.823529415,62521995.823529415,2249175.1764705884,2249175.1764705884,2249175.1764705884,12745326,12745326.0,12745326.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,105904768381.99109,84614858611.16847,127194678152.81372,0,6438459196228.192,5948666681359.114,6928251711097.27,45238981359.0,45238981359.0,45238981359.0,118738297562.02625,101095063600.46454,136381531523.58792,30585230,22782994.0,38387466.0,1461212,1360626.0,1561798.0,61527307.23529412,61527307.23529412,61527307.23529412,2210389.7647058824,2210389.7647058824,2210389.7647058824,12525542,12525542.0,12525542.0
BR,2020-03-15,3,No_Measure-No_Measure-Lockdown,112666257351.9851,91480196194.05472,133852318509.9155,0,6408182316883.891,5920699978958.401,6895664654809.379,45085715162.560974,45085715162.560974,45085715162.560974,118400933494.24805,100843760271.95508,135958106716.54102,30436040,22671862.0,38200218.0,1454351,1354237.0,1554465.0,61322260.294117644,61322260.294117644,61322260.294117644,2202390.7058823532,2202390.7058823532,2202390.7058823532,12480214,12480214.0,12480214.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-No_Measure,102001818652.7162,77253246355.7826,126750390949.64981,0,7382158151210.481,6819833787535.9795,7944482514884.983,46402990350.951225,46402990350.951225,46402990350.951225,129974126545.46997,109464652529.38765,150483600561.5523,35553967,26484215.0,44623719.0,1674447,1559182.0,1789712.0,62791210.176470585,62791210.176470585,62791210.176470585,2315144.823529412,2315144.823529412,2315144.823529412,13119154,13119154.0,13119154.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,103082931517.4369,79330474198.52478,126835388836.34904,0,7087819458376.334,6547936263812.434,7627702652940.233,44623279820.926834,44623279820.926834,44623279820.926834,126738140537.98727,107054160373.17221,146422120702.80237,34122941,25418241.0,42827641.0,1607710,1497039.0,1718381.0,60401616.823529415,60401616.823529415,60401616.823529415,2223552.1764705884,2223552.1764705884,2223552.1764705884,12600129,12600129.0,12600129.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,102874539311.5213,83072752494.49367,122676326128.54895,0,5932257274889.51,5480567922267.286,6383946627511.733,38516188334.85367,38516188334.85367,38516188334.85367,113903969289.78598,97493962792.31421,130313975787.25772,28447381,21190506.0,35704256.0,1345814,1253172.0,1438456.0,52226125.47058824,52226125.47058824,52226125.47058824,1905588.5294117648,1905588.5294117648,1905588.5294117648,10798335,10798335.0,10798335.0
