region,policy_vector,month1,month2,month3,economic_costs,humanitarian_costs,total_costs,num_cases,num_deaths,d_costs,h_costs,mh_costs,hospitalization_days,icu_days
ES,"['No_Measure', 'No_Measure', 'No_Measure']",No_Measure,No_Measure,No_Measure,18945505609.283928,143458110912680.5,143477056418289.78,8702828,934851,143409436598229.9,19820069215.941177,28854245234.658897,21531923.470588237,717642.5294117647
ES,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",No_Measure,No_Measure,Restrict_Mass_Gatherings,23161612534.106342,143197619849973.12,143220781462507.22,8683445,933153,143148997816743.72,19793125452.333336,28828907777.0589,21505540.0,716607.0
ES,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,No_Measure,Restrict_Mass_Gatherings_and_Schools,36083025984.56125,142303344567276.1,142339427593260.66,8617718,927325,142254901935745.9,19699642087.52941,28742989442.658897,21413707.76470588,713020.2352941177
ES,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,25792433522.010654,143023865203247.53,143049657636769.53,8670624,932021,142975278001246.28,19775053835.411766,28812148165.8589,21487803.70588235,715913.2941176471
ES,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,37973059411.576256,142172722041391.72,142210695100803.28,8608169,926474,142124305616117.22,19685918284.666668,28730506989.8589,21400211.0,712494.0
ES,"['No_Measure', 'No_Measure', 'Lockdown']",No_Measure,No_Measure,Lockdown,44079471880.50037,141777773224336.1,141821852696216.6,8579362,923900,141729436080763.3,19644293093.31373,28692850479.458897,21359260.82352941,710898.1764705883
ES,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",No_Measure,Restrict_Mass_Gatherings,No_Measure,22730121912.113564,139548337592837.67,139571067714749.78,8485235,909370,139500557795850.6,19209989322.019608,28569807665.0589,20851091.17647059,695927.8235294118
ES,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,26913914388.659607,139087690547885.55,139114604462274.2,8451008,906368,139040003216718.6,19162265036.294117,28525066130.658897,20804276.647058822,694095.3529411765
ES,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,39745496546.462616,137640352099031.56,137680097595578.03,8344016,896935,137592955371700.17,19011521143.11765,28385206188.258896,20656276.05882353,688309.9411764706
ES,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,29526473054.643238,138802180040677.23,138831706513731.88,8429798,904507,138754550109547.02,19132590711.568626,28497340418.658897,20775171.11764706,692955.8823529412
