region,policy_vector,month1,month2,month3,economic_costs,humanitarian_costs,total_costs,num_cases,num_deaths,d_costs,h_costs,mh_costs,hospitalization_days,icu_days
US-NY,"['No_Measure', 'No_Measure', 'No_Measure']",No_Measure,No_Measure,No_Measure,22201546521.476105,1177890743242.8281,1200092289764.3042,3110098,172867,1019199454599.7225,28231283635.0872,130460005008.01834,7417742.94117647,254503.05882352943
US-NY,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",No_Measure,No_Measure,Restrict_Mass_Gatherings,24718868844.525105,1167075796448.1982,1191794665292.7234,3053689,171130,1008960623818.8157,27912454654.855156,130202717974.52734,7338572.470588235,251400.52941176473
US-NY,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,No_Measure,Restrict_Mass_Gatherings_and_Schools,32445997822.14156,1133944251956.4727,1166390249778.6143,2881683,165815,977589176392.5753,26936893983.96394,129418181579.93335,7096261.529411765,241910.4705882353
US-NY,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,26317799395.03932,1160375719666.233,1186693519061.2722,3018518,170048,1002619433057.3762,27713987047.25835,130042299561.59834,7289289.764705882,249469.23529411765
US-NY,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,32849183605.565636,1111394868550.8252,1144244052156.3909,2767610,162194,956225938943.4711,26271046273.64765,128897883333.70634,6930627.352941177,235445.64705882355
US-NY,"['No_Measure', 'No_Measure', 'Lockdown']",No_Measure,No_Measure,Lockdown,37678140229.885056,1125275000897.5073,1162953141127.3923,2837156,164416,969380057740.2832,26679853632.46379,129215089524.76035,7032360.117647059,239412.8823529412
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",No_Measure,Restrict_Mass_Gatherings,No_Measure,23544458318.209316,1092981401003.9438,1116525859322.153,2889172,159045,937785822539.1227,25743238814.4768,129452339650.34435,6758627.352941177,232340.64705882355
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,25985012825.166367,1081030542282.8811,1107015555108.0474,2822009,157132,926489386585.2264,25395153139.447235,129146002558.20735,6672664.0,228930.00000000003
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,33546977495.462795,1045870712525.4779,1079417690020.9407,2626866,151510,893243563364.9552,24371213144.472363,128255936016.05034,6419653.0,218904.0
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,27541640411.37326,1073656902996.238,1101198543407.6113,2780912,155958,919516690272.806,25181657650.827667,128958555072.60434,6619938.882352941,226838.11764705883
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,33773056200.846943,1019061004112.7985,1052834060313.6454,2487983,147198,867858473180.8988,23580054028.26633,127622476903.63335,6223119.0,211209.0
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",No_Measure,Restrict_Mass_Gatherings,Lockdown,38675661101.028435,1034568683136.4081,1073244344237.4365,2567846,149678,882547100625.6597,24034842557.678093,127986739953.07034,6336065.176470588,215633.82352941178
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",No_Measure,Restrict_Mass_Gatherings_and_Schools,No_Measure,25419722444.041138,765768971659.1123,791188694103.1534,1897409,105950,624712596040.3251,16127565195.9799,124928810422.80734,4243486.0,145092.0
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings,27534516999.395042,748611485167.7506,776146002167.1456,1784612,103210,608562914215.9584,15634238812.887968,124414332138.90434,4122623.882352941,140210.11764705883
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools,34675472232.3049,708259509030.98,742934981263.2849,1530492,96759,570534962707.1194,14469280662.83624,123255265661.02435,3836462.7647058824,128719.23529411765
US-NY,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,28936466787.658802,738862594593.2405,767799061380.8993,1721847,101668,599378266600.1418,15356273232.929354,124128054760.16934,4054455.1764705884,137462.82352941178
