region,policy_vector,month1,month2,month3,economic_costs,humanitarian_costs,total_costs,num_cases,num_deaths,d_costs,h_costs,mh_costs,hospitalization_days,icu_days
BR,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,33643271819.86361,520297901688.0056,553941173507.8693,2275915,107267,472895530628.1444,2903255309.9268293,44499115749.934395,3935119.9411764704,143872.05882352943
BR,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",No_Measure,Restrict_Mass_Gatherings,Lockdown,39102606476.412766,392889060858.0951,431991667334.5079,1649517,78849,347420681317.0335,2385740614.8292685,43082638926.23228,3246203.294117647,116346.70588235295
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",No_Measure,Restrict_Mass_Gatherings_and_Schools,No_Measure,23988306398.763424,319346011246.3868,343334317645.1502,1364716,62468,275716890145.3338,1190504052.073171,42438617048.97981,1602446.7647058824,60673.23529411765
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings,27935254050.588047,243546829095.83896,271482083146.427,983949,45559,200992214345.98895,977027957.5609757,41577586792.28904,1320595.294117647,48969.705882352944
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools,41717306698.00182,133659395074.29837,175376701772.3002,435548,21046,92693169552.73756,628740560.0487806,40337484961.51202,859517.2941176471,30060.705882352944
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,30740493507.673557,209253873787.62668,239994367295.30023,812175,37909,167189176828.52295,875543542.9024391,41189153416.2013,1186460.1764705882,43427.82352941177
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,43805993745.89317,126696903052.48694,170502896798.38013,401117,19493,85834532107.4011,602744970.2195122,40259625974.866325,824975.4705882353,28668.529411764706
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",No_Measure,Restrict_Mass_Gatherings_and_Schools,Lockdown,50766647317.45302,111202338574.78864,161968985892.24164,324916,16037,70574964840.88263,540061448.4878049,40087312285.418205,741532.7058823529,25334.29411764706
BR,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,No_Measure,25127451225.336395,1297911418675.2666,1323038869900.603,6181548,280746,1239531143514.848,5049332638.3902445,53330942522.02846,6755065.764705882,263554.23529411765
BR,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings,25655103210.532845,971084204101.0764,996739307311.6093,4547692,207836,917390663995.5804,4057244049.8780494,49636296055.61789,5443496.764705882,209422.23529411765
