Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
South America,Brazil,None,2020-03-15,7.646916230067218,1.25,10.0,1.0,0.05,0.08345423261963313,0.0,2.4898102475111004,0.10238086497712667,1.0035011005492769,6.786357852186401,0.9325255406109768
Europe,Germany,None,2020-03-15,0.7383147328750277,0.75,-10.0,1.0095861365941676,0.07426868351849972,0.04933318644762069,0.0,1.1097263380816478,1.1694142466222623,0.9164945624394438,1.6058842135427185,2.58459424373971
Europe,Spain,None,2020-03-15,1.1652853240903132,0.75,-10.0,1.1424071879146123,0.18317136317857668,0.14560972895164628,0.3520798385598633,1.2582169801587204,1.090705101680819,2.5583135195514703,1.4950394288487205,0.6551012728309983
North America,US,New York,2020-03-15,0.5679829930711636,0.9466387366352625,-10.0,1.0,0.13789393084941684,0.1273125645496743,0.5,5.965444658651796,7.041525144288004,1.5386204471390694,0.7146590796639398,3.072567755558404
