pop_pct_cum_cases,pop_pct_cum_deaths,pop_pct_active_cases,pop_pct_active_hosp,month_t,last_severity,mean_prefix_severity,cum_econ_cost_pct_gdp,cum_human_cost_pct_gdp,cum_total_cost_pct_gdp,w_humanitarian,region,prefix_str,next_npi,next_severity,best_cost,best_full_sequence
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,45997521016.722946,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0526,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,44358497107.72664,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.1053,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,42716357183.69422,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.1579,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,41077333274.69791,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.2105,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,39438309365.70161,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.2632,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,37796169441.66918,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.3158,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,36157145532.67287,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.3684,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,34518121623.67657,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.4211,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,32875981699.644146,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.4737,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,31236957790.647842,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.5263,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,29597933881.65153,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.5789,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,27958909972.655228,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.6316,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,26316770048.622803,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.6842,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,24677746139.626495,MG+Sch+T+W|MG+Sch+T+W|None
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.7368,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,22936823836.1129,MG+Sch+T+W|MG+Sch+T+W|MG+T+W
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.7895,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,20766233011.58537,MG+Sch+T+W|MG+Sch+T+W|MG+T+W
0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.8421,DE,(start),Restrict_Mass_Gatherings_and_Schools_and_Others,5,18599760955.225822,MG+Sch+T+W|MG+Sch+T+W|MG+T+W
