Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Europe,Germany,None,2020-03-01,0.8166738982819333,1.25,9.069558504722355,2.3761761701924278,0.0674460375310406,0.05013102530429226,0.0,1.4606953719421694,1.5254488229617182,1.709739170677165,6.746849609001951,0.9266434650881455
North America,US,Florida,2020-03-16,1.6044787962713631,1.2499809364409236,-8.880866745703242,1.0000735285021833,0.06047657301518163,0.08975164938532619,0.5,0.8878905963608879,4.555039283992729,0.8662466927182716,0.3398015420341961,2.0573117430303767
North America,US,New York,2020-03-08,0.45320629789296,0.970203894984446,-7.730768853808166,1.0,0.1423550370689419,0.14340650632659285,0.5,0.8618114231312054,0.8450513819886939,3.1273660500154046,6.79922901764499,4.388173518467539
North America,Spain,None,2020-03-02,1.6996143293387582,1.249944538401771,9.999984434200618,2.6848836741308104,0.16822588981966874,0.15655152500641212,0.2647745671166645,6.823661902033324,2.1718224185827575,0.09983622625589463,4.812613098567123,3.72294972158021
South America,Brazil,None,2020-03-13,7.23127306862964,1.25,10.0,1.0,0.05,0.10275228318505705,0.0,0.4321282053772441,0.1,0.7564487479872293,7.0,5.0
Asia,Singapore,None,2020-02-29,76.85030978883854,1.25,0.7526912179741048,1.0,0.05,0.01,0.10067799836236524,0.1,0.1,0.0,6.276277561849987,2.404426338515567
