Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
South America,Bolivia,None,3/31/20,8.570478117,1.147920133,-47.60565933,0.235907417,3.250619753,0.035711672,0.047096608,0.239503002,0.802912944,0.043689585,83.05349749,0.650664073
Europe,Bosnia and Herzegovina,None,3/22/20,19.35894526,0.380796989,-6.870438498,0.087015559,0.190951833,0.065786695,0.181596315,0.667263577,2.059112264,5,87.61929048,2.063068362
South America,Brazil,None,3/13/20,45.57820837,0.760769998,9.504241586,0.226627317,8.54686341,0.057523711,0.099216039,11.01594327,0.167975501,0.236708869,100.4882152,1.246374844
Europe,Bulgaria,None,3/20/20,7.766301072,1.93703074,-33.1744613,0.99921594,0.063463989,0.07730156,0.132260594,1.086005262,0.236212465,2.095680424,81.49625267,1.2832436
Africa,Burkina Faso,None,3/24/20,6.562676459,0.977995329,-975.299562,0.045648153,3.256229179,0.067216072,0.274082449,1.726733364,0.772672111,1.469809354,88.8710547,1.699296004
Africa,Burundi,None,6/16/20,6.251293351,0.515390408,2.62615408,3.84238263,0.019131898,0.003826379,0,0.265629819,0.141718555,0,5.959006345,0.985689871
Africa,Cabo Verde,None,4/26/20,10.65693234,0.913487807,-39.1935783,0.281769823,0.053368547,0.014560421,0,0.120632279,0.202610868,0.968879916,57.77892617,0.954701002
Asia,Cambodia,None,3/29/20,,1.655025934,-67.34725553,1.089583104,0.000545269,2.22E-05,0.198651863,0.040740665,0.037572473,4.984805618,78.80398365,1.714858796
Africa,Cameroon,None,3/29/20,18.39532438,1.270521497,-131.1556595,0.18814087,1.874064736,0.031979477,0.172749524,0.115097203,1.874542226,0,85.40911386,0.991525671
North America,Canada,Alberta,3/19/20,11.96378172,16.51044355,-0.129173912,22.08551333,0.39321023,0.02113677,0.091144405,0.281102971,0.00839569,0.226801012,83.00804882,1.007399617
North America,Canada,British Columbia,3/16/20,7.66835492,0.42108428,-62.54542035,0.123072526,0.071891045,0.072705733,0.159042014,2.211645077,4.513241661,2.019377405,90.10541098,1.828553891
North America,Canada,Manitoba,3/31/20,3.684550576,0.746111153,-520.6737115,0.097339385,0.146123264,0.021314577,0.304438254,0.001518183,1.007703284,3.468316741,68.70925345,2.105035353
North America,Canada,New Brunswick,4/6/20,32.67041084,3.560784481,-1739.120537,0.060659127,0.042137588,0.004075664,0.5,0.000230948,0.028395602,0,77.37906709,0.954666684
North America,Canada,Newfoundland and Labrador,3/27/20,4.349165857,0.001952426,-213.6721436,57.25614251,0.19821872,0.011683925,0.5,1.025119608,0.532477159,0.051801555,87.19642304,1.00029384
North America,Canada,Nova Scotia,3/28/20,30.52723152,84.11298231,-0.006386888,292.7981118,0.054704027,0.062046031,2.12E-05,0.964054708,0.000341917,0,86.26394332,0.997241648
North America,Canada,Ontario,3/15/20,115.9346709,0.53275247,0.118743719,0.272524749,0.596912692,0.083732701,0.056540963,18.55819825,0.003981567,1.539427276,100.2542119,1.21116992
North America,Canada,Quebec,3/19/20,44.97732315,0.936241614,-4.068223071,0.764009759,0.079867585,0.11069799,0.047578148,0.141282675,10.34152325,0,94.11686672,1.011006872
North America,Canada,Saskatchewan,3/28/20,11.36970133,0.451843011,-10.03605971,0.252832702,0.038096274,0.022748283,0.114847782,0.003209683,0.505588391,2.268702528,79.56929682,2.384594184
Africa,Central African Republic,None,5/8/20,28.99265495,1.065151055,6.589856879,3.663716703,0.031886698,0.006377676,0.5,0.804142402,0.070674974,2.666352034,35.19548585,1.109866601
Africa,Chad,None,5/2/20,4.596876935,0.658099327,4.950867956,4.573707606,12.46568181,0.0948348,0.433446354,0.855311004,1.243389858,0,43.06529507,0.853404109
South America,Chile,None,3/16/20,25.25429864,0.883789941,-7.45222265,0.221358069,0.015250595,0.06799561,0,1.901495029,0.109364403,0,98.74493993,0.999197403
South America,Colombia,None,3/19/20,18.94691211,0.509555265,-12.23578182,0.008810783,1.532456238,0.035597549,0,5.605636833,1.003865284,0.023017528,95.49520111,0.925415025
