region,n_obs,f_stat,p_value,sse_restricted,sse_unrestricted,significant_5pct,significant_1pct
Cameroon__None,146,-13.211856586468864,1.0,1.1919959448825658e-26,4.0540917773988645e-26,False,False
Canada__Alberta,146,15.114540135241002,2.2537527399890678e-14,0.158176547724413,0.0875041043570665,True,True
Canada__British_Columbia,146,0.003152319003702598,0.9999999871634107,0.01562586303503893,0.01562323138721902,False,False
Canada__Manitoba,146,0.0006662336680055424,0.999999999943891,0.01164477055305977,0.011644356010814606,False,False
Canada__New_Brunswick,146,-18.331427138398826,1.0,2.828035530338217e-30,1.3823554768833824e-28,False,False
Canada__Newfoundland_and_Labrador,146,0.0009652503999509289,0.999999999794786,0.0006748220187628414,0.0006747872144086419,False,False
Canada__Nova_Scotia,146,34.757351803960965,1.1102230246251565e-16,0.9951549658213692,0.348289583501463,True,True
Canada__Ontario,146,0.013070624365403356,0.9999981888761995,0.23340262560591674,0.23323972391333253,False,False
Canada__Quebec,146,19.096256170220897,1.1102230246251565e-16,1.0705056572150577e-16,5.2984558616153815e-17,True,True
Canada__Saskatchewan,146,0.004342923621757518,0.9999999607355039,0.001364233864473336,0.001363917347510997,False,False
Central_African_Republic__None,146,0.5977516218930194,0.7568535064506974,1.2330961274379453,1.1949289886066012,False,False
Chad__None,146,0.6089573882266393,0.7477077632985687,1.0882270476557542e-05,1.0539323954991566e-05,False,False
Chile__None,146,12.368465889679856,4.357514349351277e-12,1.3233916355119566e-22,7.967868962961086e-23,True,True
Colombia__None,146,0.005000758897531866,0.9999999357949008,0.00017999820649975266,0.00017995012092587233,False,False
Congo_(Kinshasa)__None,146,0.46204091233849,0.8604023191652139,2.238598725459793e-05,2.1846611691378655e-05,False,False
Costa_Rica__None,146,0.0034710815573526206,0.9999999820330561,1.0159032767464005,1.0157148843462624,False,False
Cote_d'Ivoire__None,146,-17.288560712611343,1.0,4.0059342843254506e-30,5.258250971363807e-29,False,False
Croatia__None,146,0.004123192917932462,0.999999967239269,0.031215981977197958,0.031209105884446017,False,False
Cuba__None,146,1.1380960673343608,0.34330699482741567,1.5526984380062508e-08,1.46368544170738e-08,False,False
Cyprus__None,146,1.8422961013106829,0.08437461270681079,0.009182968580781527,0.008359984129057325,False,False
Czechia__None,146,0.24129365254260365,0.9741346079980943,6.717117362696999e-05,6.631612311564727e-05,False,False
Denmark__None,146,0.036093741768970664,0.9999406548063938,0.0016625515278337495,0.0016593511816400163,False,False
Djibouti__None,146,9.151185131071005,3.529588954442886e-09,5.30958194050295e-19,3.565883885810642e-19,True,True
Dominican_Republic__None,146,0.03211985727212364,0.9999600976968155,0.09075267687969883,0.09059718237610921,False,False
Ecuador__None,146,0.11986325963181531,0.9968736734351141,0.015594175577376966,0.015494931979029954,False,False
Egypt__None,146,-18.714233199153718,1.0,3.000383149201542e-28,1.0692161548495488e-22,False,False
El_Salvador__None,146,0.05153254304670128,0.9998024873154149,0.004503070758356229,0.004490704940648991,False,False
Estonia__None,146,0.08136816354336616,0.9991021104031208,0.07661683243072145,0.07628515091583937,False,False
Ethiopia__None,146,2.206853752544003,0.037602367943749715,6.146337754114734e-09,5.497995030785697e-09,True,False
Finland__None,146,0.07798798525711421,0.9992185999392318,0.1414663376628011,0.14087925198959206,False,False
France__None,146,0.5664331376173314,0.7820606339835409,0.0007518374159913564,0.0007297497734200807,False,False
Gabon__None,146,0.7719300789332774,0.6118550059142573,0.0280793918655272,0.02696705033091802,False,False
Georgia__None,146,0.09476411921003756,0.9985260284272719,0.2716513371253473,0.27028269809664585,False,False
Germany__None,146,0.0935379191151509,0.9985868399233762,2.065855100738006,2.055580877038179,False,False
Ghana__None,146,0.08433972121996723,0.998990506156666,0.046055760776421685,0.045849132369585065,False,False
Greece__None,146,1.843151015234565,0.08421882644644907,0.8781720625669068,0.7994363840887371,False,False
Guatemala__None,146,0.3440940609668754,0.9321294143410331,0.0006734644576701198,0.000661305233072367,False,False
Guinea__None,146,5.998293817049187,4.497547797632784e-06,0.0014703501234850677,0.0011134633790877465,True,True
Guyana__None,146,0.42066938035495016,0.8880165171470776,0.049639576597527456,0.04854828321193636,False,False
Haiti__None,146,0.15125865780711278,0.9935346015422037,0.02209893096836679,0.021921747921256212,False,False
Honduras__None,146,0.12852070609536195,0.9961048920181459,0.04935936464085566,0.04902270033223125,False,False
Hungary__None,146,0.05201111349346428,0.9997962695327208,0.004470915397261011,0.004458524178562903,False,False
Iceland__None,146,0.19373471252663244,0.9863320566709113,1.1887337701469296,1.1765538068281074,False,False
India__None,146,0.012293119487670964,0.9999985354834658,0.020184144951857413,0.020170895008669597,False,False
Indonesia__None,146,-0.12367795333005216,1.0,1.06845601304188e-25,1.075564142835987e-25,False,False
Iran__None,146,9.113738914161596,3.829335959437685e-09,0.01591735815891946,0.010704388557214534,True,True
Iraq__None,146,-17.83420782404187,1.0,3.499830709819595e-28,7.442163083661602e-27,False,False
Ireland__None,146,1.3424702912331896,0.23542207840228901,0.03424121326173952,0.031949326601353537,False,False
Israel__None,146,0.31388371916261504,0.9466508850217853,0.10426208600851848,0.10254220583620516,False,False
Italy__None,146,0.23898659573693298,0.9748318414311767,0.8779310184265212,0.8668609645617508,False,False
Jamaica__None,146,0.008933987410611681,0.9999995161502123,0.0031073858889948316,0.00310590316610558,False,False
Japan__None,146,-1.1646117127695315e-13,1.0,0.5708898349305925,0.5708898349305961,False,False
Jordan__None,146,0.008589421183066197,0.9999995779596946,0.028600794761681928,0.028587673685426224,False,False
Kazakhstan__None,146,0.0018682006030022696,0.9999999979354526,0.00014888912280495306,0.00014887426105770148,False,False
Kenya__None,146,0.007135950967320376,0.9999997785023019,0.025944755169401177,0.025934865936411377,False,False
"Korea,_South__None",146,0.4297442744989927,0.8821642766824582,0.004210627054551382,0.004116107098732044,False,False
Kosovo__None,146,0.335858372101876,0.9362603321726689,8.673717232063396e-05,8.52079762492434e-05,False,False
Kuwait__None,146,0.07463016211475977,0.9993237667039118,0.1685425770626557,0.16787312066973928,False,False
Latvia__None,146,-9.266783318024522,1.0,2.423787457243203e-27,4.801210847377205e-27,False,False
Lebanon__None,146,0.00226075379016693,0.999999995979868,0.0019665912264829532,0.001966353683805058,False,False
Liberia__None,146,2.144246190720603,0.04331093449611112,2.5476108859717025e-25,2.285717816863994e-25,True,False
Libya__None,146,0.3658078109749555,0.9206404382903298,0.09049459917330507,0.0887596165232035,False,False
Lithuania__None,146,0.07635617997006525,0.9992709910164864,0.12771344716047014,0.12719448080419238,False,False
Luxembourg__None,146,0.04139695315541874,0.9999055486719369,0.22153327189935254,0.2210443106260258,False,False
Madagascar__None,146,1.606259306555308,0.13903287649467666,0.11287307690864823,0.1039509033125118,False,False
Malawi__None,146,0.2066869569717786,0.9834582093195277,0.6482683722266115,0.6411868854825338,False,False
Malaysia__None,146,0.05681998562981706,0.9997261280161018,0.018615660605843985,0.018559311151260798,False,False
Mali__None,146,17.440768930005788,3.3306690738754696e-16,5.872568388203506e-23,3.0397111489603275e-23,True,True
Malta__None,146,-18.71414421684965,1.0,5.8084814527554625e-28,7.682229763121786e-23,False,False
Mauritania__None,146,14.161412574827741,1.3389289676979388e-13,3.929657336496993e-17,2.2369328708311023e-17,True,True
Mauritius__None,146,6.846487436497335,6.216827970195737e-07,0.0026015415314471113,0.0019047151363490806,True,True
Mexico__None,146,1.2625942600564073,0.2738317369056473,4.021868192671882e-06,3.767674960230529e-06,False,False
Moldova__None,146,-18.68937742797371,1.0,3.434010128040217e-29,2.5800669655433073e-26,False,False
Monaco__None,146,0.06656542983457474,0.9995363687372244,1.1524906560976699e-07,1.1484058552909988e-07,False,False
Mongolia__None,146,0.0,1.0,0.4492507741576788,0.4492507741576788,False,False
Morocco__None,146,0.9278816354787399,0.48727773244970685,0.0025748491110374723,0.002453215120158707,False,False
Mozambique__None,146,0.26840835901355425,0.9651224743051542,0.03296418160408605,0.032498080119417294,False,False
Namibia__None,146,0.18506932533526935,0.9880728996810493,4.037038683905659e-05,3.997506539871299e-05,False,False
Nepal__None,146,1.8624190039771733,0.08077758411793845,1.420009021461179e-09,1.2914825239680665e-09,False,False
Netherlands__None,146,0.09166984646788323,0.9986762328130521,0.013968870166644588,0.013900778748510088,False,False
New_Zealand__None,146,6.5798942085973895,1.1532170907102568e-06,1.3146275982789484,0.9726473266611135,True,True
Nicaragua__None,146,-5.281144047696743e-14,1.0,0.015982652096955173,0.015982652096955218,False,False
Niger__None,146,0.02620874680238197,0.9999800853583264,0.002430946850217566,0.002427547149605627,False,False
Nigeria__None,146,0.020342512341500685,0.9999916574329712,0.005081027545398941,0.0050755104428282655,False,False
Norway__None,146,0.03520137102574205,0.9999454950300678,0.2031309466937744,0.20274957691075887,False,False
Oman__None,146,1.1851938298106321,0.31561959427670905,9.30856356268479e-24,8.754154485078179e-24,False,False
Pakistan__None,146,-3.3084502465777383,1.0,6.703293773118643e-26,8.142846596011206e-26,False,False
Panama__None,146,0.021851213236107912,0.9999893296961748,0.033034989271067836,0.03299646187357885,False,False
Paraguay__None,146,0.7482513598249741,0.6315649883601093,0.14003172155724514,0.13464810041500366,False,False
Peru__None,146,3.276289384493282,0.003060699229155084,9.780324223584139e-21,8.323192143740971e-21,True,True
Philippines__None,146,0.009032881435329643,0.9999994972859637,3.421951284637167e-05,3.420300397799261e-05,False,False
Poland__None,146,0.024208314977428008,0.9999848306909941,0.06148476676837311,0.06140533441922499,False,False
Portugal__None,146,0.0025242024391189063,0.9999999940917268,0.024716630471675993,0.024713297116301814,False,False
Qatar__None,146,18.21879334122436,1.1102230246251565e-16,1.3022282446001727e-20,6.598494373575538e-21,True,True
Romania__None,146,0.009167835108636585,0.9999994707084926,4.608001035788923e-05,4.605744753657793e-05,False,False
Russia__None,146,0.1851108789749889,0.988064894267332,0.001504693669775614,0.0014899558887874322,False,False
Rwanda__None,146,0.41850297731737807,0.8893955846932426,0.07164866022842832,0.07008144605438801,False,False
San_Marino__None,146,0.052495233029157935,0.9997898438159463,0.06871333033655112,0.06852112250408623,False,False
Saudi_Arabia__None,146,20.55035727086286,1.1102230246251565e-16,8.927491532731877e-24,4.255014551351043e-24,True,True
Senegal__None,146,0.09147831102269885,0.9986851790806283,0.0017736599288932999,0.0017650321797412077,False,False
Serbia__None,146,0.3095953966525604,0.9485692883119058,0.32403993614857823,0.31876649735981777,False,False
Sierra_Leone__None,146,0.06284463632468075,0.999616896162658,0.02706017659294417,0.026969609667907624,False,False
Singapore__None,146,8.219190961442493,2.7514708178522085e-08,0.03758856258827321,0.026117797874203947,True,True
Slovakia__None,146,7.592415443836834,1.1269910460409704e-07,1.1263715955688038,0.801287844235155,True,True
Slovenia__None,146,0.43067898538662536,0.8815546832522476,0.046183100063136334,0.045144179856741753,False,False
Somalia__None,146,2.77891344126727,0.009993357677834491,4.4748193950355107e-20,3.896257977811825e-20,True,True
South_Africa__None,146,0.01599432991329315,0.9999963594992668,0.0044223572844092505,0.004418580905132786,False,False
South_Sudan__None,146,1.2590938473790174,0.27562309060911205,2.3178898193343025e-08,2.171773294516054e-08,False,False
Spain__None,146,2.391431983598448,0.02466720563315028,0.008272967314080648,0.00733557968683401,True,False
Sri_Lanka__None,146,9.722992407497017,1.0272436234970428e-09,1.582024975797154e-20,1.0411146691822648e-20,True,True
Sudan__None,146,3.549520261845549,0.00158778000471671,2.1316167883332736e-07,1.7917729633919885e-07,True,True
Suriname__None,146,0.08419561130478077,0.9989961224822043,0.5019930773438392,0.49974472476228277,False,False
Sweden__None,146,0.058549028228046036,0.9996973202515607,0.09977991146435326,0.0994687162222363,False,False
Switzerland__None,146,0.004094919393613774,0.9999999680162247,0.1350170040673244,0.13498746712397214,False,False
Tajikistan__None,146,3.586544797430284,0.0014523769623652205,0.1320417965041914,0.11080609328467864,True,True
Tanzania__None,146,0.05493806562351925,0.9997552803751588,0.0025581365252262756,0.0025506487849795405,False,False
Thailand__None,146,0.6957834796796252,0.6755072064117609,0.8016973915781862,0.7729593280922624,False,False
Togo__None,146,0.3373623599168781,0.9355154439365876,0.0780414005529821,0.07665946073553277,False,False
Trinidad_and_Tobago__None,146,0.2980419600147335,0.9535568284739261,0.009800945166496482,0.009647303121321336,False,False
Tunisia__None,146,11.022036397158292,6.682487896370048e-11,0.12587670132116266,0.07921936493919862,True,True
Turkey__None,146,0.06364485646796189,0.9996004556624588,0.42463374996580566,0.42319452033577826,False,False
US__Alabama,146,2.1527834561851638,0.04248650796938169,0.03873685382345145,0.0347405064028085,True,False
US__Alaska,146,0.03295560799195945,0.9999564479415576,0.015860727954004904,0.015832846522068667,False,False
US__Arizona,146,0.027347103750789074,0.9999769649107405,0.04068477190389739,0.04062540617578098,False,False
US__Arkansas,146,0.11751250025494095,0.9970637918865456,0.05520704354921919,0.05486254550154242,False,False
US__California,146,0.010564618555773602,0.9999991340092507,0.04792228914882976,0.04789525124485843,False,False
US__Colorado,146,0.09918094494462334,0.9982925906612288,0.04777763262203581,0.04752575821544708,False,False
US__Connecticut,146,0.2243749369733061,0.9789955229875833,0.2652535031693852,0.26211092412688974,False,False
US__Delaware,146,0.13462687372830845,0.9954952924071396,0.017277136727793806,0.017153736139363124,False,False
US__District_of_Columbia,146,0.10773065891074249,0.9977736474435559,0.17501561807347463,0.17401388969959136,False,False
US__Florida,146,0.08268162636276762,0.999053862986479,0.0009100461312464535,0.0009060431400812836,False,False
US__Georgia,146,0.000427735119629173,0.9999999999880945,0.010741695255922841,0.010741449748540762,False,False
US__Hawaii,146,0.005302138968219489,0.999999921268647,1.4601608143282109e-05,1.4597472381525917e-05,False,False
US__Idaho,146,0.01546232843590102,0.9999967610620422,0.07239284915406595,0.07233308529565859,False,False
US__Illinois,146,0.3542691021394204,0.9268521264118873,0.05772936447938869,0.056656827503299874,False,False
US__Indiana,146,0.1696892137139701,0.9908137753950804,1.4530878663522897,1.4400305869162198,False,False
US__Iowa,146,0.25681519270041886,0.9691601924180836,0.12579808944599022,0.12409513816547073,False,False
US__Kansas,146,0.16616860247141646,0.9913799880652456,0.46783181597565504,0.4637143854441586,False,False
US__Kentucky,146,0.13528353263236145,0.9954263114195602,0.015208789525087911,0.015099635902155528,False,False
US__Louisiana,146,0.021913405384337118,0.9999892249381817,0.1693996013104565,0.16920147563343144,False,False
US__Maine,146,0.02143948083884673,0.9999900052277373,0.033370875878613836,0.03333268924604296,False,False
US__Maryland,146,1.2471749644898338,0.2817919961345875,0.003256407378641999,0.0030529498350194252,False,False
US__Massachusetts,146,0.600879100355125,0.7543069193355063,0.014454634935367765,0.014004962974539247,False,False
US__Michigan,146,0.08877288314354186,0.998807263904801,2.08814077367079,2.078282256455209,False,False
US__Minnesota,146,0.3673004429447865,0.9198195904037985,0.0058816361120709836,0.00576842080955877,False,False
US__Mississippi,146,0.03496908376747991,0.9999467082729426,0.025093872042337564,0.02504706966416571,False,False
US__Missouri,146,0.0035810419414251974,0.9999999799671185,0.003351363693358592,0.0033507225212579895,False,False
US__Montana,146,0.05681634740912529,0.9997261865626792,0.055542825507426924,0.0553747085551168,False,False
US__Nebraska,146,0.14552133772693607,0.9942620809540615,0.020126021167849575,0.01997072978467747,False,False
US__Nevada,146,0.007294149806581742,0.9999997609425173,2.15461771262241,2.1537782479786207,False,False
US__New_Hampshire,146,1.9233423154747684,0.07073692817626709,0.0005738445917733836,0.0005203646286558924,False,False
US__New_Jersey,146,0.1591456962967924,0.9924432615452665,0.1860651948169603,0.1844962445640063,False,False
US__New_Mexico,146,0.11513629392082239,0.9972481334742057,0.11691722657208135,0.11620231263807193,False,False
US__New_York,146,18.49775799773223,1.1102230246251565e-16,0.0016137030773516112,0.0008115464090414102,True,True
US__North_Carolina,146,-18.5275082171464,1.0,1.348459109862167e-29,1.3510968635139998e-27,False,False
US__North_Dakota,146,0.1602079390916223,0.9922880343408599,0.10465070856225558,0.10376242648957403,False,False
US__Ohio,146,0.010231666783226097,0.9999992250903499,0.28813389947701246,0.28797645402790406,False,False
US__Oklahoma,146,0.02856910739109177,0.9999732499319334,0.0013327826937857997,0.001330751177654985,False,False
US__Oregon,146,0.004072570601451938,0.9999999686210098,0.07905168550081505,0.0790344861521614,False,False
US__Pennsylvania,146,0.24974412188789658,0.9714876291507951,1.173619360252694,1.1581635452656363,False,False
US__Rhode_Island,146,0.24460578960074358,0.9731145708175303,0.21522477632936135,0.21244796702355911,False,False
US__South_Carolina,146,0.01335543745556957,0.999998048535859,0.00029561988553713326,0.0002954090670544464,False,False
US__South_Dakota,146,0.03501954039928166,0.9999464463542598,0.053278863529889545,0.05317935043921934,False,False
US__Tennessee,146,0.003161760914336008,0.9999999870286873,3.0177134239571472e-06,3.0172036702438177e-06,False,False
US__Texas,146,0.0023081942344495296,0.9999999956773701,0.9587044057509012,0.9585861750518375,False,False
US__Utah,146,0.001039681500643314,0.9999999997339121,0.10498413844465661,0.10497830632235611,False,False
US__Vermont,146,0.003632615208512471,0.9999999789421418,0.4370459410192153,0.43696112284102806,False,False
US__Virginia,146,0.017800389214279174,0.9999947332678361,0.022565526276846076,0.02254408311518573,False,False
US__Washington,146,0.010926798752757204,0.999999026580474,5.313387055581981,5.310286513411289,False,False
US__West_Virginia,146,0.0005518504775715979,0.9999999999709693,0.021179356932416606,0.021178732409858108,False,False
US__Wisconsin,146,0.06797561573265136,0.9995030589603147,0.43713662977309964,0.43555457151898347,False,False
US__Wyoming,146,0.010087939222114378,0.9999992622215574,0.006671486569086271,0.006667892240524179,False,False
Uganda__None,146,0.19863992942475503,0.9852823455016889,0.013043181998954496,0.012906191202260482,False,False
Ukraine__None,146,0.061293252472664074,0.9996474417505772,0.14853501803299549,0.14805012250048238,False,False
United_Arab_Emirates__None,146,0.03727831068863656,0.9999337774561717,0.4680191429032036,0.46708871582020733,False,False
United_Kingdom__None,146,0.006466078514240556,0.9999998428319363,0.0016127245189086542,0.0016121674898172736,False,False
Uruguay__None,146,0.0021631690450839985,0.9999999965541849,4.595333300952019,4.59480219150864,False,False
Uzbekistan__None,146,0.4609596857856789,0.8611531964767422,0.0047294396619264305,0.0046157471915032975,False,False
Venezuela__None,146,0.29836781828454534,0.9534197985811796,0.013463850546530964,0.013252560749112846,False,False
Vietnam__None,146,0.003984231210857105,0.9999999709320377,0.1437557947686594,0.1437251959833055,False,False
Yemen__None,146,1.4898062659511602,0.17625602079777702,2.5744752522542342e-12,2.3846389871008034e-12,False,False
Zambia__None,146,0.17151953124122793,0.9905105275888157,0.4558690112209284,0.45172884149580983,False,False
Zimbabwe__None,146,1.8953310996120256,0.07519964943406232,1.3210702690617916e-13,1.199580112872318e-13,False,False
