region,n_obs,f_stat,p_value,sse_restricted,sse_unrestricted,significant_5pct,significant_1pct
Afghanistan__None,146,66.39781398836593,1.1102230246251565e-16,2.3632990212539027e-14,5.196376692215412e-15,True,True
Albania__None,146,0.07078147655500323,0.9994320106109603,0.0636159160885722,0.06337621354040437,False,False
Algeria__None,146,0.04039653439098201,0.9999130520814578,0.002845528429424885,0.0028393993206756343,False,False
Andorra__None,146,0.03849931491888609,0.999926127110979,0.005130408297901674,0.005119875611454526,False,False
Angola__None,146,0.4220304776202247,0.887146499413306,0.0003714280487104174,0.00036323661023151583,False,False
Argentina__None,146,0.9572497070290126,0.46528123547566347,0.03194725613450166,0.030392649393332055,False,False
Australia__Australian_Capital_Territory,146,14.272966936107931,1.084687895058778e-13,0.1924180342754567,0.10916235153548463,True,True
Australia__New_South_Wales,146,2.6703921207455,0.012897688115556027,1.4181417562553276,1.2410525991860186,True,False
Australia__Queensland,146,0.011051092938785412,0.9999989876315839,0.003980780915080721,0.003978431585917011,False,False
Australia__South_Australia,146,0.2418285717302102,0.9739713903483994,0.0026052258004981258,0.0025719901898205765,False,False
Australia__Tasmania,146,0.22901416256945253,0.977720632323361,0.003329421887552937,0.0032891709930216234,False,False
Australia__Victoria,146,2.65816938958566,0.01327248963388572,0.00016004907174329555,0.0001401431909602046,True,False
Australia__Western_Australia,146,0.005187973300925803,0.9999999270201534,0.004575431554697699,0.004574163505331454,False,False
Austria__None,146,0.18837684938353375,0.9874254138113233,2.3079990759271913,2.2849984222976385,False,False
Azerbaijan__None,146,13.27956564296986,7.269740365245525e-13,2.049784804292428e-26,1.1989884572502514e-26,True,True
Bahrain__None,146,13.764821373067882,2.852162950262027e-13,2.2872417358955095e-24,1.3178963087890443e-24,True,True
Bangladesh__None,146,3.613762305064475,0.0013602288788580053,1.9295474843360785e-21,1.6172530124376507e-21,True,True
Belarus__None,146,6.658361987733092,9.610685749450454e-07,6.1999719426758715e-22,4.572957766112813e-22,True,True
Belgium__None,146,0.2846786679740155,0.9589926314636052,0.03758831383008679,0.03702509412519961,False,False
Benin__None,146,0.5881334514876703,0.764654131286347,0.4906714433990415,0.47572097076271935,False,False
Bolivia__None,146,2.544496544758851,0.017307452979554938,0.001702372639328574,0.0014986130238491574,True,False
Bosnia_and_Herzegovina__None,146,0.001115124782174968,0.9999999996600522,0.02962716220842815,0.029625396925221648,False,False
Brazil__None,146,-8.392215383343824e-13,1.0,0.00468071566695711,0.00468071566695732,False,False
Bulgaria__None,146,0.0919683354926922,0.998662210101458,0.28807761430120876,0.2866688266388779,False,False
Burkina_Faso__None,146,0.035966260269662834,0.9999413639068182,0.01603421156285838,0.01600345514278087,False,False
Burundi__None,146,1.2164581900102166e-10,1.0,1.8069053278522887e-06,1.8069053278405436e-06,False,False
Cambodia__None,146,0.0023412029897949293,0.9999999954575466,0.17007148766711072,0.17005021396874803,False,False
