region,t0,policy_before,policy_after,direction,severity_change,beta_post,se_beta_post,t_stat,p_value,n_obs,r_squared
Afghanistan__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-0.07059841333308267,0.018960947944518046,-3.723358849972158,0.0006893217288559406,38,0.9916487906332239
Albania__None,2020-03-09,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-1.0285476349825864e-05,1.9979541516975227e-06,-5.148004192732356,2.274873744001482e-05,29,0.9999985399188771
Albania__None,2020-03-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-1.0628985340526234e-05,3.0848874805584825e-06,-3.4455017913982333,0.001706129033254733,33,0.9999972546945708
Albania__None,2020-06-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,0.32999384339271753,0.2623305972415885,1.2579312015548678,0.21589641625259115,42,0.1438773083500441
Algeria__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.00028431470457719425,8.239410276495919e-05,-3.4506681308035123,0.0018539624416427092,30,0.9999951035767619
Algeria__None,2020-03-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-0.00047781590679189107,0.00010644766801896665,-4.488740013607012,0.00010474359214018847,32,0.9999927449195486
Andorra__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.020728274920603352,0.008182319663599205,-2.5333005520204135,0.01657382652244266,34,0.9799371849738445
Andorra__None,2020-07-07,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,0.004014550806757432,0.018767074369322796,0.21391457867933497,0.8317281375362129,42,0.34026516721435396
Angola__None,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,0.0014970209789827993,0.002728523933101827,0.5486559823871375,0.5863690249253741,42,0.9801745606739969
Angola__None,2020-03-27,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,0.001741645488272043,0.0030725334692810677,0.5668434553064657,0.5740687079472879,42,0.9786865765888341
Angola__None,2020-05-26,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,-0.029144958859332132,0.024684107819822908,-1.1807175317848384,0.24486596969631313,42,0.9828713190463689
Argentina__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,tightening,4,-2.5210142836956575e-10,4.8396551413495124e-11,-5.209078353861151,7.919755200314071e-06,39,0.999999999999981
Argentina__None,2020-06-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,0.08699864822219311,0.03513330705745841,2.476244211224183,0.017722951926528507,42,0.14756215132369144
Australia__Australian_Capital_Territory,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.22980164581610568,0.048064225930504315,-4.781136934325627,3.5105952687519704e-05,36,0.9749693931006799
Australia__Australian_Capital_Territory,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,0.5005582587086768,0.13200558448271746,3.7919475957792623,0.0005073466865348486,42,0.2702686876762074
Australia__New_South_Wales,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-1.4225037983155349,0.22415039138298626,-6.346202607717184,3.4952079897010435e-07,36,0.8779708662355169
Australia__New_South_Wales,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,-0.2072346385465996,0.084542631634366,-2.4512442366693508,0.018821140321305885,42,0.13377187454833628
Australia__Queensland,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.003626062466260553,0.001944189258419009,-1.8650768954506118,0.0710836899386873,36,0.9928682881414442
Australia__Queensland,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,0.012732390712930655,0.01333966378211101,0.9544761337992094,0.34572168631713485,42,0.0865260578706305
Australia__South_Australia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-4.2625117912340136e-07,2.049890522372818e-07,-2.0793850914047893,0.045428532155263435,36,0.9994328288761665
Australia__South_Australia,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,0.015396812923978298,0.012039601133966826,1.2788474263104872,0.20850833825169435,42,0.0944454283309526
Australia__Tasmania,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-1.992988894942341e-06,9.776916201248974e-07,-2.03846371792339,0.04958212115292482,36,0.9988514730001563
Australia__Tasmania,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,0.016886424465091254,0.014221284193549101,1.187405035668374,0.2422498629910732,42,0.09331308273600625
Australia__Victoria,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-9.147340598918683e-05,4.1978014484685576e-05,-2.1790789086167517,0.03656817291687786,36,0.9999561767752166
Australia__Victoria,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,3.5326230581409797,0.8278611776474297,4.267168401566786,0.00012220046886235458,42,0.33645659732932975
Australia__Western_Australia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.002819471756648248,0.0014098412868244771,-1.999850467564912,0.0538031656349347,36,0.9967238091158607
Australia__Western_Australia,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,0.018693946736923674,0.01799458168215281,1.0388653132995307,0.3052655275983691,42,0.09760246912839443
Austria__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.9842719219284441,0.24285201862876296,-4.052969901119318,0.00036451214344546123,31,0.7698638064564642
Austria__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,tightening,2,-0.06294723006944147,0.31023980558794967,-0.2028986253074369,0.8404601270988867,36,0.5742912438675056
Austria__None,2020-05-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,0.00024328558832916125,0.0002968659958964079,0.8195131530458489,0.4174739451109848,42,0.9567589051503859
Austria__None,2020-06-03,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,relaxing,-1,-0.5526963299801393,0.3417716885751766,-1.6171507133440264,0.11390688782856473,42,0.26450256408628203
Azerbaijan__None,2020-03-14,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-5.805120505691258e-07,1.5842275250901756e-07,-3.6643224623690496,0.0009196279532350804,34,0.9999999972019499
Azerbaijan__None,2020-03-31,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-2.6871858751635917e-07,5.065681711413334e-07,-0.5304687558851506,0.5987947289449149,42,0.9999999785734692
Azerbaijan__None,2020-05-18,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,relaxing,-2,-2.6483865523427123e-07,1.3793315859572143e-06,-0.19200506820155303,0.8487344910707499,42,0.9999998403708953
Azerbaijan__None,2020-06-03,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,tightening,2,-2.6276076920138435e-07,1.6670593983841756e-06,-0.15761932025701633,0.8755700313379999,42,0.999999766219008
Azerbaijan__None,2020-06-08,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,-2.6203296969235694e-07,1.7564963257408086e-06,-0.14917934404550695,0.8821808790668084,42,0.9999997402236838
Azerbaijan__None,2020-06-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-2.5996859759201034e-07,1.9878258979482463e-06,-0.13078036555431713,0.8966213423813121,42,0.9999996664240769
Bahrain__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-0.0002001773733337842,7.45511272890494e-05,-2.685101897355047,0.01100743622278011,38,0.9999919544489909
Bangladesh__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,0.0003650826211020657,0.0010150584995203145,0.3596665820488105,0.7211978306410187,39,0.9996050787694176
Bangladesh__None,2020-04-10,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-0.0010582946880506455,0.0003410086839796884,-3.103424451541771,0.0035517209159952046,42,0.999961144242151
Bangladesh__None,2020-05-31,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,4.3398235758018624e-05,0.002142445948781868,0.020256397031950136,0.9839421215061601,42,0.9971686552097648
Belarus__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,0.004170235242208053,0.0017624656099879134,2.3661370857821455,0.02440629539070005,34,0.9993150175898824
Belarus__None,2020-04-03,Mass_Gatherings_Authorized_But_Others_Restricted,No_Measure,relaxing,-2,-0.0033189484890414974,0.000956808663843211,-3.4687692685706724,0.0012902195570534403,42,0.9998573680419068
