region,t0,policy_before,policy_after,direction,severity_change,beta_post,se_beta_post,t_stat,p_value,n_obs,r_squared
Belarus__None,2020-04-04,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.003280056090803895,0.0011333117703119253,-2.8942222049817006,0.006194046875778625,42,0.9997991345778067
Belarus__None,2020-04-08,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools,tightening,1,-0.003033621524384473,0.0018904887472154302,-1.6046757902435573,0.11663372743413558,42,0.9994271301727538
Belarus__None,2020-04-20,Restrict_Mass_Gatherings_and_Schools,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,1,-0.0017100204018567016,0.0037708941028245326,-0.45347876530816283,0.6527173146386414,42,0.9973247556112727
Belgium__None,2020-03-14,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-0.41466187142448996,0.07126908056974743,-5.818257624618595,2.0599379482177937e-06,34,0.9609576457334054
Belgium__None,2020-03-18,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-0.23095216851183697,0.11191518344792323,-2.063635705152594,0.04652916953468944,38,0.8998893420300783
Belgium__None,2020-06-08,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,relaxing,-2,0.040870314133432575,0.0620232181442276,0.6589518466841487,0.5137987337611962,42,0.07836984693974758
Benin__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,0.01622674870706924,0.006209078157527236,2.613390956819835,0.013258260795047772,37,0.9359776497674666
Benin__None,2020-03-30,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,0.053678077234576495,0.03478919332590049,1.5429526270335583,0.1309184904559153,42,0.7935772416165568
Bolivia__None,2020-03-10,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.004133711066897628,0.0008531783437493324,-4.84507265940652,4.618692518931766e-05,30,0.9995261068930316
Bolivia__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-0.004322469111528775,0.0010727075239107882,-4.029494540851429,0.0003692503890078136,32,0.9993257935705889
Bolivia__None,2020-03-17,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-0.003320690432361743,0.0017125514222297985,-1.9390310791591265,0.060833367672069594,37,0.9986064539645635
Bolivia__None,2020-06-20,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,0.011333256173813628,0.0040445065877488424,2.8021356691921415,0.007864377821523272,42,0.9506605203254495
Bolivia__None,2020-06-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-0.011803040335492102,0.003997031444252015,-2.952951584222742,0.0053086875118899535,42,0.949685821617811
Bosnia_and_Herzegovina__None,2020-03-10,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-6.256245733171715e-06,6.043913197245117e-06,-1.0351316322715192,0.30979018422912485,30,0.9999998666894625
Bosnia_and_Herzegovina__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-6.154848152334748e-05,1.4332326214046904e-05,-4.29438184731134,0.00013821119981671792,37,0.9999994825944706
Bosnia_and_Herzegovina__None,2020-04-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-5.3916254785359684e-05,0.00016319970364502836,-0.3303698081623457,0.7428888013410302,42,0.9999389037392002
Bosnia_and_Herzegovina__None,2020-05-14,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,-4.2556527894051406e-05,0.0002290341540726364,-0.18580865402526356,0.8535578773967327,42,0.9998708469989575
Bulgaria__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-0.033953492901932544,0.011874392859901665,-2.85938770112527,0.007651420528241193,33,0.9709015652139599
Burkina_Faso__None,2020-03-12,No_Measure,Restrict_Mass_Gatherings,tightening,1,-3.4933499036278784e-05,9.018611274884997e-06,-3.873489828036107,0.0005634328313144366,32,0.9999670447574903
Burkina_Faso__None,2020-03-16,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,4,-2.7785832092541468e-05,1.2939405873241543e-05,-2.147380827585142,0.03920254843281468,36,0.9999445761425445
Burkina_Faso__None,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-5.158668085829655e-06,1.7009001100679887e-05,-0.3032904786879843,0.763322815256744,41,0.9999184831012036
Burkina_Faso__None,2020-06-01,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,relaxing,-2,-0.29728977057409256,0.17049422687603225,-1.74369405944903,0.0890914353296266,42,0.2867794402132037
Burkina_Faso__None,2020-07-01,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-2,-0.37249030785232795,0.21263546203309408,-1.751778862710842,0.08767285555030702,42,0.17465048280078843
Cambodia__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-0.004445814515495563,0.0037087785374622013,-1.1987274167461324,0.2389224943937478,37,0.9774989011552411
Cameroon__None,2020-03-18,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,5,-0.0010841388449042578,0.0008517238494847382,-1.272875997965916,0.21145251152504363,38,0.9980163175859365
Canada__Alberta,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,0.5827285191359595,0.22283506681760856,2.615066503931023,0.014206514955020344,31,0.8576862285450911
Canada__Alberta,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.5982482252985859,0.21876926031035301,-2.7346082555195004,0.009967213806318043,36,0.8682232976333926
Canada__Alberta,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-1.3592010825121073,0.09495578702578725,-14.31404156697672,0.0,40,0.9737528161337707
Canada__Alberta,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,-0.7248184528426797,0.21870171014449222,-3.3141874033074794,0.001992227157689541,42,0.8512157269273751
Canada__British_Columbia,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.0011663445092233724,0.0002654955716759406,-4.393084607252857,0.00014533294628105153,31,0.9998406204446668
Canada__British_Columbia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.0009809310630983083,0.00043406176262311225,-2.2598882176821284,0.03055245486494118,36,0.9996675379669252
Canada__British_Columbia,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-0.0004307370232554848,0.0005590354541282383,-0.7705003682229377,0.44589535983835926,40,0.9995137237276838
Canada__British_Columbia,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,-5.149070168053004e-05,0.0006134970493374157,-0.0839298277573472,0.9335415683529438,42,0.9994329791638857
Canada__Manitoba,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.0001227833397542104,2.8474491043544028e-05,-4.312046862100064,0.0001810902018333227,31,0.999889525484133
Canada__Manitoba,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-9.594355531269516e-05,4.527028406541874e-05,-2.1193495312300223,0.04167119963446009,36,0.999783072558926
Canada__Manitoba,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-3.505079023808787e-05,5.677803489427637e-05,-0.6173301049138853,0.5407978477790314,40,0.9997003434175676
Canada__Manitoba,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,4.260168689159934e-06,6.085856989782824e-05,0.07000113042932281,0.9445504741964137,42,0.9996680597507512
Canada__New_Brunswick,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-6.3568844241190965e-06,1.4676280932387344e-06,-4.331400068862706,0.00017182993552111725,31,0.9999879610157156
Canada__New_Brunswick,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-5.067697699032524e-06,2.3506394812059658e-06,-2.1558804485120815,0.0384801037424638,36,0.9999762713906841
Canada__New_Brunswick,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-1.960428192915656e-06,2.9702443205173442e-06,-0.6600225373292514,0.5133273911182568,40,0.9999670198880293
Canada__New_Brunswick,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,7.792398432274189e-08,3.205904515175772e-06,0.024306395887299066,0.9807321553393669,42,0.9999632823818156
Canada__Newfoundland_and_Labrador,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-4.381127634545804e-06,1.0324775677387797e-06,-4.243315081547848,0.00021814861680247155,31,0.9990519188872014
Canada__Newfoundland_and_Labrador,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-3.2117282334147975e-06,1.604172962871123e-06,-2.002108443260693,0.0535479567928725,36,0.9981684365709423
Canada__Newfoundland_and_Labrador,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-9.520538428429289e-07,1.9669920795927174e-06,-0.48401508715788005,0.6312277715594132,40,0.9975250270897676
Canada__Newfoundland_and_Labrador,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,4.342230235237486e-07,2.0643969825753738e-06,0.21033891600735014,0.8344982464112536,42,0.9973077085626334
Canada__Nova_Scotia,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,0.7723947475431127,0.30381397100998053,2.5423279415867905,0.01682697278309253,31,0.46081247126143743
Canada__Nova_Scotia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,0.9945417958422943,0.32428713736478565,3.0668555155289723,0.00429733708882396,36,0.665354737958453
Canada__Nova_Scotia,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,0.37933845152820456,0.3360085081535451,1.1289548994243297,0.26618362689596387,40,0.6810700454268439
Canada__Nova_Scotia,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,-0.3250008856835779,0.31496554375621505,-1.0318617135312116,0.3084936833300951,42,0.7299863510395727
Canada__Ontario,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.00043351816400381306,0.00019531613503048922,-2.2195716904603917,0.03472099267577389,31,0.9999864323762632
Canada__Ontario,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.0016450955130869454,0.000352809565137629,-4.662842722093441,4.964383818917284e-05,36,0.9999658458710564
Canada__Ontario,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-0.0020019298526375564,0.0006662873756581198,-3.004604207996837,0.0047517740989759805,40,0.9998932329624508
Canada__Ontario,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,-0.0017941256159355766,0.0009726082280560096,-1.844653956425565,0.07269268416303065,42,0.9997810611811215
Canada__Quebec,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.00871538744569449,0.0035883869286544023,-2.428775831307201,0.021823174953058633,31,0.9993495143183654
Canada__Quebec,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.02865683948437224,0.0057679616759589636,-4.968278413467067,2.0253340685894017e-05,36,0.9986366190190712
Canada__Quebec,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-0.03053648576092071,0.010143391809641163,-3.0104807478595252,0.004678754231732585,40,0.9961102294198895
Canada__Quebec,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,-0.022780243182027794,0.01390378427167317,-1.6384203564233262,0.1093780440926051,42,0.9926298628607714
Canada__Saskatchewan,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,0.0002420204975025226,0.0001953658028747529,1.238806863541413,0.2257019799871034,31,0.9999842523080275
Canada__Saskatchewan,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,-0.0008588859192026881,0.00020108727305786134,-4.271209739641505,0.0001548572865854858,36,0.9999872005525022
Canada__Saskatchewan,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,-0.0014552687922471889,0.0003248593886973633,-4.47968826784596,6.946297475507457e-05,40,0.9999708611836209
Canada__Saskatchewan,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,relaxing,-3,-0.0014979811694796636,0.0005325611405150631,-2.812787219193088,0.007651672148849764,42,0.9999249958042334
Central_African_Republic__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,0.003260471789693864,0.0009514788436327043,3.4267412370889154,0.0017427998064249994,34,0.9830823635859967
Central_African_Republic__None,2020-03-26,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,0.002331572955103055,0.0026955580512192665,0.8649685559724554,0.3923455466330643,42,0.9510537112587926
Central_African_Republic__None,2020-05-08,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-0.11765136651979183,0.12498495908528251,-0.941324199174345,0.3523332390041174,42,0.8939117807538736
Central_African_Republic__None,2020-06-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,1.1222101029502043,0.2960279368075644,3.79089255916987,0.0005089205978792144,42,0.2783457372706545
Central_African_Republic__None,2020-07-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools,relaxing,-2,0.0021899417743103428,0.00043736531920106803,5.0071226001885405,3.2979284621870164e-05,29,0.9928584866533904
Chad__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,tightening,2,0.003821653882650391,0.0021177008073163172,1.804624085445493,0.07950451656724677,39,0.9568375576433489
Chad__None,2020-04-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,1,0.0585270110874918,0.03595885134631345,1.6276106965661479,0.11166087440343264,42,0.7527539299767358
Chile__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-0.0014788671854305633,0.0003682030602749744,-4.016444579048701,0.00034897492735219693,34,0.9999375643267077
Chile__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,tightening,3,-0.0015761799086527455,0.00048128914423445113,-3.274912653930417,0.002486744961069265,36,0.9999025749046621
Chile__None,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,tightening,1,-0.000861475643240993,0.001057195274440438,-0.8148689878480234,0.420095708781937,42,0.9995964171829111
Chile__None,2020-05-08,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,relaxing,-1,0.00010170650391706088,0.002073204173169443,0.04905763997261084,0.961123742884394,42,0.9970432495751029
Chile__None,2020-07-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,relaxing,-1,0.00023040842405257916,0.0012390664297580707,0.18595324553952017,0.8534452594908197,42,0.9966151621581635
Colombia__None,2020-03-09,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,tightening,2,-7.02800603018445e-08,1.4861908352096098e-08,-4.728871867382517,6.875230308311941e-05,29,0.9999999999166536
