region,t0,policy_before,policy_after,severity_change,direction
US__Ohio,2020-03-15,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
US__Ohio,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Ohio,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Ohio,2020-05-21,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Oklahoma,2020-03-17,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Oklahoma,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools,1,tightening
US__Oklahoma,2020-04-01,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
US__Oklahoma,2020-05-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
US__Oregon,2020-03-12,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Oregon,2020-03-16,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
US__Oregon,2020-03-17,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
US__Oregon,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Pennsylvania,2020-03-17,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Pennsylvania,2020-04-01,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
US__Pennsylvania,2020-06-06,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Rhode_Island,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Rhode_Island,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Rhode_Island,2020-03-28,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Rhode_Island,2020-05-10,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__South_Carolina,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__South_Carolina,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__South_Carolina,2020-04-07,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__South_Carolina,2020-05-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__South_Carolina,2020-06-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools,-2,relaxing
US__South_Dakota,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__South_Dakota,2020-04-06,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools,1,tightening
US__South_Dakota,2020-04-29,Restrict_Mass_Gatherings_and_Schools,Mass_Gatherings_Authorized_But_Others_Restricted,-1,relaxing
US__Tennessee,2020-03-20,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Tennessee,2020-03-23,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Tennessee,2020-04-02,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Tennessee,2020-04-30,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Texas,2020-03-19,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Texas,2020-03-21,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Texas,2020-04-02,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Texas,2020-05-02,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Utah,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Utah,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Vermont,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Vermont,2020-03-17,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
US__Vermont,2020-03-18,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Vermont,2020-03-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Vermont,2020-05-16,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Virginia,2020-03-15,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Virginia,2020-03-16,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
US__Virginia,2020-03-17,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
US__Virginia,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Virginia,2020-06-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Washington,2020-03-11,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Washington,2020-03-13,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
US__Washington,2020-03-16,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
US__Washington,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Washington,2020-06-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__West_Virginia,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__West_Virginia,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__West_Virginia,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__West_Virginia,2020-05-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Wisconsin,2020-03-17,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,4,tightening
US__Wisconsin,2020-03-18,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Wisconsin,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Wisconsin,2020-05-14,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Wyoming,2020-03-19,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Wyoming,2020-03-20,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Wyoming,2020-05-16,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools,-2,relaxing
Uganda__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Uganda__None,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Uganda__None,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Ukraine__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Ukraine__None,2020-06-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
United_Arab_Emirates__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
United_Arab_Emirates__None,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
United_Arab_Emirates__None,2020-05-02,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
United_Arab_Emirates__None,2020-07-05,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
United_Kingdom__None,2020-03-22,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
United_Kingdom__None,2020-03-23,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,2,tightening
United_Kingdom__None,2020-05-13,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
United_Kingdom__None,2020-06-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Uruguay__None,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
Uruguay__None,2020-03-14,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,4,tightening
Uruguay__None,2020-04-02,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Uruguay__None,2020-04-13,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Uruguay__None,2020-04-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Uzbekistan__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Uzbekistan__None,2020-03-27,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Uzbekistan__None,2020-05-08,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Uzbekistan__None,2020-06-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Uzbekistan__None,2020-07-10,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Venezuela__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Venezuela__None,2020-03-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,2,tightening
Venezuela__None,2020-06-15,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Venezuela__None,2020-07-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Vietnam__None,2020-03-26,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Vietnam__None,2020-04-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Vietnam__None,2020-04-15,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Vietnam__None,2020-05-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Yemen__None,2020-03-15,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Yemen__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Yemen__None,2020-07-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Zambia__None,2020-03-26,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Zambia__None,2020-04-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Zambia__None,2020-05-08,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Zimbabwe__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Zimbabwe__None,2020-03-24,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Zimbabwe__None,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Zimbabwe__None,2020-06-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Zimbabwe__None,2020-07-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
