region,t0,policy_before,policy_after,severity_change,direction
Spain__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Spain__None,2020-03-14,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,2,tightening
Spain__None,2020-05-27,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
Spain__None,2020-06-01,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Spain__None,2020-06-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Sri_Lanka__None,2020-03-14,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Sri_Lanka__None,2020-03-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Sri_Lanka__None,2020-04-20,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Sri_Lanka__None,2020-04-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Sri_Lanka__None,2020-06-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Sudan__None,2020-03-14,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Suriname__None,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
Suriname__None,2020-03-14,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
Suriname__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Suriname__None,2020-03-28,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Suriname__None,2020-05-24,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Suriname__None,2020-06-04,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Sweden__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Sweden__None,2020-03-17,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Switzerland__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Switzerland__None,2020-05-11,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Tajikistan__None,2020-04-18,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Tanzania__None,2020-03-16,No_Measure,Restrict_Mass_Gatherings,1,tightening
Tanzania__None,2020-03-17,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
Tanzania__None,2020-03-26,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
Tanzania__None,2020-06-29,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Thailand__None,2020-04-03,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Thailand__None,2020-07-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Togo__None,2020-03-16,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,4,tightening
Togo__None,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Togo__None,2020-04-02,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Togo__None,2020-06-09,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Trinidad_and_Tobago__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
